id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
af69e7f0,Joe Bryan,eng ENG,"MF,DF",Nice,29-175,1993,1.8,5,4,3,2,0,4,4,100.0,0,2,0,2,1,6,1,0,Matches
3b676989,Adam Buksa,pl POL,"FW,MF",Lens,26-242,1996,0.7,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
7b082ec2,Maxime Busi,be BEL,DF,Reims,23-148,1999,7.1,16,12,8,7,1,10,16,62.5,6,8,3,5,7,23,15,0,Matches
db87a2c4,Marcin Bułka,pl POL,GK,Nice,23-158,1999,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
148e136f,Rémy Cabella,fr FRA,"MF,FW",Lille,33-003,1990,18.3,43,27,14,18,11,17,36,47.2,19,32,2,30,13,56,6,1,Matches
46359159,Jimmy Cabot,fr FRA,"DF,MF",Lens,28-327,1994,5.7,20,12,10,8,2,12,26,46.2,14,5,0,5,4,24,12,0,Matches
928a4a61,Jens Cajuste,se SWE,MF,Reims,23-213,1999,10.6,37,18,20,11,6,19,35,54.3,16,21,5,16,15,52,15,0,Matches
94f8d10c,Duje Ćaleta-Car,hr CRO,DF,Marseille,26-175,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
8577e60a,Mahdi Camara,fr FRA,MF,Brest,24-254,1998,15.3,44,25,12,29,3,18,28,64.3,10,31,3,28,28,72,14,0,Matches
489e80e3,Mohamed Camara,ml MLI,MF,Monaco,23-064,2000,16.4,57,34,25,28,4,30,53,56.6,23,35,4,31,18,75,10,0,Matches
5a6b06cd,Ousmane Camara,gn GUI,"FW,MF",Auxerre,21-128,2001,0.3,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
7d3dfdfd,Ousmane Camara,fr FRA,DF,Angers,20-005,2003,4.0,7,4,3,4,0,4,8,50.0,4,4,2,2,6,13,13,0,Matches
9f4a940f,Axel Camblan,fr FRA,"FW,MF",Brest,19-193,2003,0.8,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches
79b2399c,Pierrick Capelle,fr FRA,"MF,DF",Angers,35-330,1987,10.6,27,16,13,12,2,16,34,47.1,18,10,1,9,13,40,17,0,Matches
f81ef10d,Maxence Caqueret,fr FRA,MF,Lyon,23-024,2000,21.3,62,33,19,25,18,33,77,42.9,44,29,2,27,22,84,16,0,Matches
5e080f73,Irvin Cardona,fr FRA,"FW,MF",Brest,25-215,1997,2.6,2,0,1,1,0,0,3,0.0,3,3,0,3,2,4,2,0,Matches
