id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
dee86451,William Carvalho,pt POR,MF,Betis,26,1992,26.5,7,0,0,24,35,2,3,12,27,0,0,0,202,40,17,70.2,Matches
4d224fe8,Casemiro,br BRA,MF,Real Madrid,26,1992,25.7,7,1,1,47,49,0,8,41,52,1,2,0,184,83,51,61.9,Matches
958bba56,Santiago Cáseres,ar ARG,MF,Villarreal,21,1997,17.6,10,0,0,34,13,0,0,14,35,0,0,0,98,25,42,37.3,Matches
274ab13c,Catena,es ESP,DF,Rayo Vallecano,23,1994,2.0,1,0,0,4,2,0,0,8,4,0,1,0,7,6,4,60.0,Matches
e2e9c250,Santi Cazorla,es ESP,"MF,FW",Villarreal,33,1984,29.4,2,0,0,22,58,0,158,28,34,0,0,0,201,9,33,21.4,Matches
c0617e2b,Dani Ceballos,es ESP,"MF,FW",Real Madrid,21,1996,13.9,3,0,0,16,40,1,8,15,21,0,0,0,102,9,18,33.3,Matches
c4b8bcf4,Charles,br BRA,FW,Eibar,34,1984,19.3,4,0,0,39,29,13,12,4,5,1,0,0,54,101,125,44.7,Matches
e98f3a6a,Chechu,es ESP,DF,Rayo Vallecano,36,1982,1.0,0,0,0,0,1,0,0,2,0,0,0,0,3,2,1,66.7,Matches
7f203b54,Chema,es ESP,DF,Levante,26,1992,13.9,7,0,0,19,5,0,0,19,19,0,0,0,51,31,16,66.0,Matches
0ac94a23,Denis Cheryshev,ru RUS,MF,Valencia,27,1990,19.0,2,0,0,42,19,10,95,15,32,0,0,0,113,33,43,43.4,Matches
8d957256,Leandro Chichizola,ar ARG,GK,Getafe,28,1990,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
b8a642fc,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,19,1999,19.0,2,0,0,20,20,19,24,10,11,0,0,0,102,15,29,34.1,Matches
04ac8285,Jasper Cillessen,nl NED,GK,Barcelona,29,1989,3.0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches
6d8f8441,Coke,es ESP,DF,Levante,31,1987,20.2,5,1,1,26,31,1,44,40,27,0,0,0,113,24,37,39.3,Matches
85dace26,Álex Collado,es ESP,FW,Barcelona,19,1999,0.9,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
5ae499d0,Santi Comesaña,es ESP,MF,Rayo Vallecano,21,1996,22.6,6,0,0,28,28,1,7,30,35,0,0,0,137,36,51,41.4,Matches
8b0b02c9,Duje Čop,hr CRO,FW,Valladolid,28,1990,7.6,2,0,0,6,8,3,6,3,4,1,0,0,15,14,32,30.4,Matches
a6951bf8,Francis Coquelin,fr FRA,MF,Valencia,27,1991,19.6,5,0,0,22,29,0,1,49,31,0,0,0,162,35,19,64.8,Matches
49ea92be,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,21,1997,14.7,3,0,0,19,20,2,44,17,23,0,0,0,96,22,18,55.0,Matches
01eb744d,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,23,1995,21.3,7,1,0,38,36,11,34,17,19,1,0,0,123,10,25,28.6,Matches
a190d597,Diego Costa,es ESP,FW,Atlético Madrid,29,1988,12.4,4,1,0,22,15,11,4,2,1,0,0,0,24,29,61,32.2,Matches
808d48f3,Jaume Costa,es ESP,DF,Villarreal,30,1988,16.6,6,0,0,20,23,0,44,21,21,0,0,1,82,25,23,52.1,Matches
545e2f01,David Costas,es ESP,DF,Celta Vigo,23,1995,13.0,4,0,0,16,7,1,1,18,13,0,0,0,63,28,10,73.7,Matches
1840e36d,Thibaut Courtois,be BEL,GK,Real Madrid,26,1992,27.0,2,0,0,0,5,0,0,2,0,0,0,0,22,7,0,100.0,Matches
0ef89a37,Philippe Coutinho,br BRA,"FW,MF",Barcelona,26,1992,22.4,2,0,0,19,45,8,49,12,11,1,0,0,81,6,19,24.0,Matches
3c05c659,Sebastián Cristóforo,uy URU,MF,Getafe,24,1993,5.0,3,0,0,13,17,0,6,8,8,1,0,0,27,7,17,29.2,Matches
71b47ab9,Cucho,co COL,FW,Huesca,19,1999,23.9,6,0,0,33,40,14,50,9,13,1,0,0,86,58,107,35.2,Matches
1daec722,Marc Cucurella,es ESP,"MF,FW",Eibar,20,1998,26.2,6,0,0,42,16,8,72,20,37,0,0,0,146,40,66,37.7,Matches
75751c99,Iván Cuéllar,es ESP,GK,Leganés,34,1984,33.9,5,0,0,0,7,0,0,2,0,0,0,0,36,10,0,100.0,Matches
070a3904,Sergi Darder,es ESP,MF,Espanyol,24,1993,30.1,8,1,1,31,30,1,56,22,35,0,0,0,143,17,24,41.5,Matches
248c409d,Moisés Delgado,es ESP,DF,Valladolid,24,1994,3.0,1,0,0,4,3,0,10,3,6,0,0,0,12,3,4,42.9,Matches
b19db005,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,21,1997,18.5,1,0,0,22,22,9,82,5,15,0,0,0,64,8,9,47.1,Matches
549c6ba7,Franco Di Santo,ar ARG,FW,Rayo Vallecano,29,1989,1.9,1,1,0,5,4,2,2,0,2,0,0,0,4,8,6,57.1,Matches
d2110326,Mouctar Diakhaby,gn GUI,DF,Valencia,21,1996,17.6,9,0,0,24,9,1,0,20,8,0,2,0,96,36,30,54.5,Matches
407feb71,Brahim Díaz,es ESP,FW,Real Madrid,18,1999,4.2,0,0,0,4,14,0,4,0,7,0,0,0,13,0,5,0.0,Matches
17a1299d,Javier Díaz,es ESP,GK,Sevilla,21,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
70438d35,Adrián Diéguez,es ESP,DF,Huesca,22,1996,8.3,3,0,0,9,9,0,0,12,10,0,1,0,35,17,13,56.7,Matches
fc70e345,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,24,1993,21.0,3,0,0,1,4,0,0,0,0,0,0,0,12,6,0,100.0,Matches
7329018e,Papakouli Diop,sn SEN,MF,Eibar,32,1986,26.1,11,0,0,68,47,1,11,37,40,0,0,0,170,98,76,56.3,Matches
a4971d84,Djené,tg TOG,DF,Getafe,26,1991,33.1,13,2,1,51,30,0,8,74,34,1,3,0,265,87,71,55.1,Matches
ac295d9e,Marko Dmitrović,rs SRB,GK,Eibar,26,1992,24.0,3,0,0,3,0,0,0,2,0,0,2,0,56,7,0,100.0,Matches
c9cb972b,Jaume Doménech,es ESP,GK,Valencia,27,1990,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,100.0,Matches
e208bcc8,Cheick Doukouré,ci CIV,MF,Levante,25,1992,3.5,1,0,0,13,6,0,1,3,7,0,1,0,15,4,11,26.7,Matches
c49afee6,Seydou Doumbia,ci CIV,FW,Girona,30,1987,6.0,2,0,0,10,5,4,1,3,1,0,0,0,16,5,36,12.2,Matches
aa0ac32d,Óscar Duarte,cr CRC,"DF,MF",Espanyol,29,1989,7.3,0,0,0,8,2,1,1,13,5,0,0,1,35,23,10,69.7,Matches
1fe0492d,Rubén Duarte,es ESP,DF,Alavés,22,1995,30.8,10,1,0,35,61,1,80,57,35,0,0,0,148,51,44,53.7,Matches
37e103f8,Hugo Duro,es ESP,"MF,FW",Getafe,18,1999,4.6,0,0,0,9,17,0,4,3,4,1,0,0,18,8,11,42.1,Matches
525f9bf4,Raphael Dwamena,gh GHA,FW,Levante,22,1995,2.5,0,0,0,8,6,4,3,0,0,1,0,0,5,6,12,33.3,Matches
7f8fb807,Dennis Eckert,de GER,FW,Celta Vigo,21,1997,2.4,0,0,0,3,6,1,2,2,2,0,0,0,6,13,11,54.2,Matches
f7dc2ae5,Aritz Elustondo,es ESP,DF,Real Sociedad,24,1994,25.0,5,0,0,22,27,0,28,39,29,0,0,0,137,64,39,62.1,Matches
