id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
0afff3b7,Omri Altman,il ISR,"FW,MF",cy AÉK Lárnaka,29-009,1994,4.2,4,4,3,0,1,1,6,16.7,5,2,0,2,2,6,3,1,Matches
8b3ab7ad,Edson Álvarez,mx MEX,MF,nl Ajax,25-159,1997,2.0,5,4,2,3,0,1,1,100.0,0,5,2,3,1,6,7,1,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",de Leverkusen,26-156,1996,2.3,6,3,2,4,0,2,3,66.7,1,1,0,1,3,9,0,0,Matches
7fdb872a,Isak Amundsen,no NOR,DF,no Bodø/Glimt,23-169,1999,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
9f1893b9,Felipe Anderson,br BRA,FW,it Lazio,29-351,1993,4.9,9,5,3,2,4,3,6,50.0,3,2,0,2,2,11,2,0,Matches
b5f66351,Joel Andersson,se SWE,DF,dk Midtjylland,26-141,1996,4.2,11,4,5,4,2,7,14,50.0,7,4,1,3,3,14,6,0,Matches
8382b207,Leandro Andrade,cv CPV,"FW,MF",az Qarabağ Ağdam,23-189,1999,0.8,3,2,1,0,2,2,2,100.0,0,1,0,1,0,3,0,0,Matches
4f9f721c,Valdemar Andreasen,dk DEN,FW,dk Midtjylland,18-066,2005,1.3,2,1,0,1,1,1,3,33.3,2,3,0,3,1,3,1,0,Matches
40dc75f0,Henry Andreou,cy CYP,MF,cy AÉK Lárnaka,21-364,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
e0b113a7,Robert Andrich,de GER,MF,de Leverkusen,28-191,1994,3.3,9,6,5,2,2,3,4,75.0,1,6,2,4,6,15,3,1,Matches
4e3f5992,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,28-280,1994,1.0,1,1,0,1,0,0,2,0.0,2,0,0,0,3,4,2,0,Matches
2a70dcc9,Thanasis Androutsos,gr GRE,DF,gr Olympiacos,25-330,1997,1.0,3,2,2,1,0,3,3,100.0,0,3,1,2,1,4,0,0,Matches
4a7078f9,Ángel,es ESP,DF,cy AÉK Lárnaka,30-057,1993,4.9,5,3,2,3,0,3,12,25.0,9,7,3,4,5,10,8,0,Matches
