id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
db87a2c4,Marcin Bułka,pl POL,GK,Nice,23-195,1999,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
148e136f,Rémy Cabella,fr FRA,"MF,FW",Lille,33-040,1990,21.9,144,6.56,101,28,4,5,5,1,13,0.59,10,1,0,1,1,0,Matches
46359159,Jimmy Cabot,fr FRA,"DF,MF",Lens,28-364,1994,5.7,31,5.45,23,7,0,0,0,1,1,0.18,1,0,0,0,0,0,Matches
928a4a61,Jens Cajuste,se SWE,MF,Reims,23-250,1999,12.6,40,3.18,31,0,3,1,1,4,3,0.24,2,0,1,0,0,0,Matches
94f8d10c,Duje Ćaleta-Car,hr CRO,DF,Marseille,26-212,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8577e60a,Mahdi Camara,fr FRA,MF,Brest,24-291,1998,17.3,32,1.84,21,0,4,3,2,2,2,0.12,0,0,1,0,1,0,Matches
489e80e3,Mohamed Camara,ml MLI,MF,Monaco,23-101,2000,20.1,35,1.74,32,0,1,1,1,0,8,0.40,7,0,0,1,0,0,Matches
5a6b06cd,Ousmane Camara,gn GUI,"FW,MF",Auxerre,21-165,2001,0.3,2,7.20,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
7d3dfdfd,Ousmane Camara,fr FRA,DF,Angers,20-042,2003,4.6,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9f4a940f,Axel Camblan,fr FRA,"FW,MF",Brest,19-230,2003,0.8,3,3.97,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79b2399c,Pierrick Capelle,fr FRA,"MF,DF",Angers,36-002,1987,14.2,26,1.83,18,7,0,1,0,0,3,0.21,2,1,0,0,0,0,Matches
f81ef10d,Maxence Caqueret,fr FRA,MF,Lyon,23-061,2000,24.1,85,3.53,63,9,6,3,3,1,13,0.54,9,1,1,1,0,1,Matches
5e080f73,Irvin Cardona,fr FRA,"FW,MF",Brest,25-252,1997,2.6,3,1.16,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
e3e32fbb,Igor Carioca,br BRA,DF,Lorient,26-239,1996,4.3,9,2.07,7,0,1,0,0,1,1,0.23,1,0,0,0,0,0,Matches
