id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
555d5edd,13,683,7.6,9,2,4,0,1.0,4,10.0,-6.0,0.1,7.6,10.3,-2.7,0.12,0,0,0,0.0
5585dc1e,0,0,0.0,0,0,0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
55a1cac2,33,2240,24.9,24,17,9,2,1.33,28,29.0,-1.0,-0.5,31.3,25.0,6.3,-0.02,0,0,0,0.0
55e098cd,4,58,0.6,0,0,4,23,0.75,0,0.0,0.0,-0.13,0.7,0.2,0.5,0.56,0,0,0,0.0
563a68ad,33,2823,31.4,32,24,1,1,1.18,35,46.0,-11.0,-0.35,37.4,43.0,-5.6,0.14,0,0,0,0.0
570bb4b9,31,1775,19.7,21,3,10,1,1.39,35,31.0,4.0,0.53,28.0,31.2,-3.2,0.25,0,0,0,0.0
5722eced,13,918,10.2,13,2,0,2,0.69,9,19.0,-10.0,-0.08,9.3,21.2,-12.0,-0.33,0,0,0,0.0
57469b2d,28,784,8.7,5,1,23,9,1.39,21,14.0,7.0,0.5,22.2,11.5,10.7,0.68,0,0,0,0.0
59be3a74,4,65,0.7,0,0,4,12,1.75,1,0.0,1.0,0.9,0.7,0.6,0.2,0.05,0,0,0,0.0
59bf127b,14,501,5.6,5,2,9,15,2.29,12,9.0,3.0,-0.54,10.8,7.4,3.4,-0.02,0,0,0,0.0
59f2d958,4,63,0.7,0,0,4,6,0.25,1,2.0,-1.0,-0.57,0.5,0.5,0.0,0.46,0,0,0,0.0
5a2cb25d,23,944,10.5,8,6,15,8,1.78,12,13.0,-1.0,-0.42,11.5,11.0,0.5,-0.64,0,0,0,0.0
5a332121,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
5aa53281,33,2878,32.0,33,27,0,1,1.67,45,35.0,10.0,-0.68,51.2,34.4,16.8,-1.13,0,0,0,0.0
5add9b29,1,18,0.2,0,0,1,0,1.0,0,0.0,0.0,0.93,0.2,0.6,-0.5,-1.48,0,0,0,0.0
5b418e15,4,38,0.4,0,0,4,18,1.5,1,0.0,1.0,2.69,0.2,0.7,-0.5,-0.89,0,0,0,0.0
5bd72174,38,2946,32.7,33,19,5,0,2.97,44,55.0,-11.0,0.99,33.7,49.4,-15.700000000000001,0.38,0,0,0,0.0
5c397195,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
5c522c88,2,18,0.2,0,0,2,4,2.0,0,1.0,-1.0,-4.13,0.2,0.1,0.1,0.97,0,0,0,0.0
5cbb5ad6,1,7,0.1,0,0,1,2,1.0,0,0.0,0.0,-0.16,0.1,0.0,0.1,0.85,0,0,0,0.0
5dafcdce,1,1,0.0,0,0,1,3,3.0,0,0.0,0.0,-0.08,0.0,0.1,-0.1,-5.87,0,0,0,0.0
5e861944,33,1650,18.3,20,0,13,2,2.15,25,16.0,9.0,-1.24,26.3,15.0,11.3,-0.1,0,0,0,0.0
