,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
80,1b625237,0,0,0,0,0,0,13,0,0,0,0,0.0,0.0,0.0,0,0,0,0
81,1b62a7df,1,11,0,0,0,1,11,0,0,0,0,0.1,0.6,-0.6,0,0,0,0
82,1b729ba2,24,1700,18,22,11,2,8,0,14,19,-5,19.1,22.7,-3.6,0,0,0,0
83,1c17dfe0,5,99,1,0,0,5,7,0,1,2,-1,0.7,2.1,-1.5,0,0,0,0
84,1c50f354,17,967,10,11,4,6,19,4,14,11,3,9.0,15.2,-6.2,0,0,0,0
85,1c529186,17,1057,11,11,7,6,15,1,17,10,7,13.8,11.4,2.5,0,0,0,0
86,1c8c5aed,20,1564,17,17,16,3,14,1,25,18,7,19.4,21.5,-2.1,0,0,0,0
87,1c9cfad4,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
88,1ca1ee8a,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
89,1ceeae3e,11,189,2,0,0,11,11,0,2,5,-3,3.2,3.3,-0.2,0,0,0,0
90,1d00a56c,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
91,1e12c53b,30,2616,29,30,27,0,5,0,32,42,-10,27.3,42.6,-15.3,0,0,0,0
92,1e330270,0,0,0,0,0,0,29,0,0,0,0,0.0,0.0,0.0,0,0,0,0
93,1ea5f91c,36,2654,29,28,19,8,0,1,41,47,-6,33.8,37.0,-3.2,0,0,0,0
94,1f9328da,31,2613,29,31,23,0,2,1,42,20,22,46.8,29.6,17.2,0,0,0,0
95,1fca9171,24,1591,17,20,8,4,6,0,19,21,-2,16.9,20.7,-3.8,0,0,0,0
96,2054d037,26,1532,17,18,4,8,4,1,23,23,0,19.1,18.4,0.7,0,0,0,0
97,211c0e82,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
98,2146785a,21,1564,17,18,15,3,11,1,26,18,8,24.9,16.8,8.1,0,0,0,0
99,21b6d3e9,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,0,0,0,0
100,2258c078,29,2480,27,29,21,0,5,0,27,44,-17,27.1,40.3,-13.3,0,0,0,0
101,22ca11f1,1,18,0,0,0,1,14,1,1,1,0,0.0,0.3,-0.3,0,0,0,0
102,23214a49,7,541,6,6,3,1,22,0,5,11,-6,4.7,9.5,-4.8,0,0,0,0
103,2334478a,12,613,6,7,2,5,21,2,10,1,9,8.6,3.0,5.6,0,0,0,0
104,23f9e9d3,11,468,5,4,1,7,5,0,3,5,-2,4.3,8.6,-4.4,0,0,0,0
105,24228180,25,1251,13,13,4,12,12,1,11,30,-19,11.1,23.1,-12.1,0,0,0,0
106,24eb64e4,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
107,251d982a,9,326,3,2,2,7,28,0,4,8,-4,4.0,7.5,-3.4,0,0,0,0
108,263b855a,5,393,4,4,4,1,5,0,3,10,-7,2.9,6.6,-3.7,0,0,0,0
109,2648e18f,27,2166,24,23,21,4,6,1,36,31,5,29.6,31.8,-2.1,0,0,0,0
110,269b4638,22,943,10,9,3,13,11,0,9,21,-12,10.6,14.5,-3.9,0,0,0,0
111,26c54163,0,0,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0
112,27f0ddef,29,2499,27,27,26,2,5,1,28,40,-12,26.2,36.2,-10.0,0,0,0,0
113,28b0cf21,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
114,29e26e8f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
115,2a1beb34,34,2571,28,29,24,5,1,1,37,25,12,47.5,26.8,20.7,0,0,0,0
116,2a7d27c1,0,0,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0,0,0,0
117,2c38b327,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
118,2c851997,37,2214,24,28,6,9,0,1,33,42,-9,31.6,41.6,-10.1,0,0,0,0
119,2d970560,21,1451,16,17,12,4,17,1,25,14,11,28.5,14.9,13.6,0,0,0,0
120,2ead2809,28,1495,16,13,7,15,5,0,14,21,-7,22.4,18.3,4.1,0,0,0,0
121,2ec0f902,15,786,8,10,2,5,9,0,4,13,-9,6.3,16.9,-10.6,0,0,0,0
122,2edeb221,23,1696,18,20,13,3,6,0,17,35,-18,16.4,36.3,-19.9,0,0,0,0
123,2f3452eb,35,3125,34,35,33,0,2,2,66,25,41,60.2,24.0,36.2,0,0,0,0
124,2f557579,37,3090,34,36,24,1,0,2,72,27,45,61.2,25.3,35.8,0,0,0,0
125,2fb3ad46,5,288,3,3,2,2,9,0,2,4,-2,1.6,5.9,-4.4,0,0,0,0
126,2fec6b88,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
127,30223b33,33,2970,33,33,33,0,0,1,36,46,-10,32.5,44.8,-12.3,0,0,0,0
128,30f5ccac,0,0,0,0,0,0,17,0,0,0,0,0.0,0.0,0.0,0,0,0,0
129,30f5ffa9,38,3420,38,38,38,0,0,1,66,30,36,56.7,37.2,19.6,0,0,0,0
130,31377e38,0,0,0,0,0,0,15,0,0,0,0,0.0,0.0,0.0,0,0,0,0
131,314f2124,31,2726,30,31,28,0,2,1,51,25,26,44.5,30.8,13.7,0,0,0,0
132,315e1ac9,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
133,31d7f557,13,641,7,6,6,7,25,2,14,4,10,12.0,3.8,8.1,0,0,0,0
134,322ba2df,13,1170,13,13,13,0,2,1,18,26,-8,16.1,23.4,-7.3,0,0,0,0
