id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
ed9f7cfe,23,1129,12.5,11,7,12,12,2.04,26,11.0,15.0,0.14,23.2,12.0,11.1,0.71,0,0,0,0.0
ee8508c0,38,3420,38.0,38,38,0,0,2.26,67,25.0,42.0,0.0,52.8,37.1,15.7,0.0,3420,38,38,38.0
ee923664,8,562,6.2,5,4,3,15,2.38,9,7.0,2.0,0.45,6.5,11.5,-5.0,-0.95,0,0,0,0.0
eeba07f8,27,1666,18.5,18,7,9,0,1.15,26,28.0,-2.0,0.71,22.3,26.4,-4.1,0.34,0,0,0,0.0
ef322658,24,1318,14.6,17,5,7,1,1.88,12,20.0,-8.0,-0.89,17.4,14.8,2.5,0.19,0,0,0,0.0
efaefda0,4,133,1.5,2,0,2,0,2.5,3,0.0,3.0,1.04,2.6,0.3,2.3,0.94,0,0,0,0.0
efecd633,24,1460,16.2,17,7,7,9,1.08,14,23.0,-9.0,0.09,16.2,23.1,-6.8,-0.15,0,0,0,0.0
f0101a48,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
f08ccd2d,0,0,0.0,0,0,0,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
f090a37a,14,292,3.2,2,1,12,23,2.14,10,4.0,6.0,0.67,6.4,4.6,1.8,-0.34,0,0,0,0.0
f0da930c,21,1765,19.6,20,18,1,4,2.33,37,13.0,24.0,0.24,28.2,18.1,10.1,0.21,0,0,0,0.0
f0fe87dc,0,0,0.0,0,0,0,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
f11fe861,27,2263,25.1,25,25,2,8,0.89,22,34.0,-12.0,0.38,25.2,33.7,-8.4,0.0,0,0,0,0.0
f127d782,22,1980,22.0,22,22,0,16,0.91,21,32.0,-11.0,0.0,24.3,29.7,-5.3,0.02,1980,22,22,22.0
f1bed920,22,1095,12.2,11,5,11,8,0.55,11,21.0,-10.0,-0.32,10.8,18.1,-7.3,-0.87,0,0,0,0.0
f1d74479,0,0,0.0,0,0,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
f28876e5,1,26,0.3,0,0,1,8,3.0,1,1.0,0.0,-0.56,0.6,0.9,-0.3,-1.75,0,0,0,0.0
f2a68b97,13,865,9.6,10,7,3,14,1.46,10,8.0,2.0,1.05,8.7,10.2,-1.5,0.52,0,0,0,0.0
f2ad9da9,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
f4c69aa6,14,542,6.0,4,0,10,3,2.21,12,6.0,6.0,-0.29,9.1,5.6,3.5,-0.34,0,0,0,0.0
f520049f,7,321,3.6,4,2,3,18,1.14,2,5.0,-3.0,-0.84,2.7,5.5,-2.8,-0.58,0,0,0,0.0
f6798fc3,33,2970,33.0,33,33,0,2,2.06,46,28.0,18.0,0.15,46.6,30.2,16.5,-0.13,2970,33,33,33.0
f681a8ef,20,767,8.5,9,0,11,11,1.05,8,17.0,-9.0,-0.75,7.9,11.8,-3.9,-0.08,0,0,0,0.0
f6ac68c1,33,2953,32.8,33,32,0,1,2.39,63,20.0,43.0,1.5,44.8,32.0,12.7,-0.19,0,0,0,0.0
f6f6b6e8,19,1379,15.3,15,14,4,3,0.95,13,22.0,-9.0,0.03,16.4,20.2,-3.8,0.15,0,0,0,0.0
f76fdcd2,0,0,0.0,0,0,0,23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
f7c12fbf,25,1988,22.1,21,16,4,7,1.28,30,25.0,5.0,0.73,26.4,27.7,-1.3,0.46,0,0,0,0.0
f7c491f1,14,741,8.2,9,5,5,23,1.36,10,14.0,-4.0,-0.02,8.1,16.0,-7.8,-0.71,0,0,0,0.0
f7dc2ae5,23,1884,20.9,22,18,1,1,1.83,36,15.0,21.0,1.0,35.3,18.5,16.8,0.53,0,0,0,0.0
f8eca1b6,28,1318,14.6,15,0,13,2,0.93,11,13.0,-2.0,0.42,15.3,14.7,0.6,0.32,0,0,0,0.0
f934c5c9,1,14,0.2,0,0,1,7,3.0,0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0,0,0,0.0
fa4e4764,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
faed84db,31,2187,24.3,25,15,6,2,1.26,28,35.0,-7.0,-0.58,28.6,30.1,-1.5,0.54,0,0,0,0.0
fb5d47b3,24,1851,20.6,21,17,3,1,1.64,34,23.0,11.0,0.25,32.1,21.0,11.1,0.38,0,0,0,0.0
fbd6378b,28,2392,26.6,27,25,1,5,1.57,37,31.0,6.0,0.75,36.3,30.4,5.9,0.54,0,0,0,0.0
fce521d7,1,30,0.3,0,0,1,11,0.0,0,1.0,-1.0,-4.14,0.5,0.1,0.4,0.77,0,0,0,0.0
fd01216a,6,65,0.7,0,0,6,8,0.17,0,0.0,0.0,0.4,0.6,0.8,-0.2,-0.17,0,0,0,0.0
fd47b4f2,8,468,5.2,6,3,2,5,0.5,3,6.0,-3.0,-0.03,4.1,5.1,-1.1,-0.01,0,0,0,0.0
fd51b456,24,1848,20.5,21,15,3,2,2.21,37,16.0,21.0,-0.01,31.6,20.1,11.4,-0.16,0,0,0,0.0
fd771f95,29,1175,13.1,11,7,18,3,2.03,27,12.0,15.0,-0.13,31.8,15.1,16.7,0.64,0,0,0,0.0
fe05804b,28,2272,25.2,26,22,2,1,1.21,22,37.0,-15.0,-0.05,23.1,36.4,-13.3,0.05,0,0,0,0.0
fe0a346d,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
fea23125,4,360,4.0,4,4,0,34,0.25,5,10.0,-5.0,-0.75,4.0,6.8,-2.9,-0.2,360,4,4,4.0
fed17f5a,32,2735,30.4,31,27,1,1,1.13,41,41.0,0.0,0.39,35.4,40.4,-5.0,0.45,0,0,0,0.0
ffacd3d5,17,1025,11.3,11,7,6,12,4.5,17,13.0,4.0,1.53,14.8,15.6,-0.8,-1.08,0,0,0,0.0
