,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
353,80211dc5,2,66,0,1,0,1,2,0,0,1,-1,0.7,1.9,-1.2,0,0,0,0
354,8059806f,22,1270,14,15,1,7,0,1,7,14,-7,14.0,19.3,-5.3,0,0,0,0
355,805a2a11,1,30,0,0,0,1,0,3,1,0,1,1.8,0.2,1.6,0,0,0,0
356,808d48f3,20,1739,19,20,14,0,1,1,18,19,-1,15.1,22.5,-7.5,0,0,0,0
357,81442ecb,19,1210,13,14,8,5,0,1,16,25,-9,16.9,22.3,-5.4,0,0,0,0
358,819aa8e7,5,275,3,3,0,2,0,2,6,3,3,7.0,3.9,3.1,0,0,0,0
359,81d5c497,3,22,0,0,0,3,2,0,0,0,0,0.3,0.1,0.2,0,0,0,0
360,81f0781e,14,946,10,11,7,3,1,2,14,7,7,16.5,14.4,2.1,0,0,0,0
361,8249ff06,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
362,82cfae2a,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
363,84399660,12,673,7,8,3,4,1,2,16,14,2,14.9,12.4,2.6,0,0,0,0
364,8455ad90,23,1779,19,21,7,2,0,1,19,21,-2,18.0,21.8,-3.8,0,0,0,0
365,84a85b48,1,5,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
366,852ddfb8,13,812,9,8,5,5,11,1,10,11,-1,10.1,12.1,-2.1,0,0,0,0
367,853b7c48,19,1710,19,19,19,0,0,1,18,29,-11,21.2,19.7,1.6,0,0,0,0
368,857cb4f3,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
369,85bed4ee,17,992,11,13,2,4,6,1,13,11,2,15.0,12.8,2.2,0,0,0,0
370,85dace26,9,536,6,8,2,1,6,0,4,15,-11,4.2,11.4,-7.2,0,0,0,0
371,8696bc90,17,593,6,3,0,14,3,1,11,6,5,8.6,8.1,0.5,0,0,0,0
372,86ff856b,10,267,3,2,0,8,11,0,3,5,-2,4.0,4.5,-0.6,0,0,0,0
373,873619c6,24,1733,19,21,3,3,0,1,27,21,6,24.0,22.9,1.1,0,0,0,0
374,873ce3a2,1,33,0,0,0,1,1,0,2,1,1,0.1,1.1,-1.0,0,0,0,0
375,87b498b0,0,0,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0,0,0,0
376,88050721,23,880,9,9,1,14,1,1,12,13,-1,12.9,12.1,0.8,0,0,0,0
377,881ef58c,1,5,0,0,0,1,6,1,0,0,0,0.0,0.1,-0.1,0,0,0,0
378,89151b16,8,375,4,4,2,4,5,1,5,7,-2,3.4,9.2,-5.9,0,0,0,0
379,89b1ce31,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
380,89f951b5,19,1067,11,13,6,6,3,1,12,19,-7,12.3,20.8,-8.5,0,0,0,0
381,8a52eeb5,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
382,8aae94b9,7,537,6,6,5,1,8,1,4,10,-6,6.4,8.8,-2.4,0,0,0,0
383,8aafd64f,14,650,7,7,1,7,1,1,11,8,3,9.0,8.6,0.4,0,0,0,0
384,8ac501f5,21,1206,13,14,7,7,2,1,7,17,-10,11.3,19.8,-8.5,0,0,0,0
385,8b298f56,15,608,6,6,1,9,8,1,7,8,-1,5.2,10.8,-5.6,0,0,0,0
386,8c3c640c,10,504,5,5,2,5,0,1,5,3,2,6.8,4.5,2.2,0,0,0,0
387,8c725b43,20,1611,17,18,14,2,1,1,26,19,7,28.7,23.0,5.6,0,0,0,0
388,8cfc2f69,10,243,2,1,0,9,11,0,1,2,-1,3.2,2.9,0.3,0,0,0,0
389,8d78e732,20,1587,17,19,13,1,0,2,38,8,30,39.2,12.4,26.8,0,0,0,0
390,8d8bbf13,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
391,8e010ff4,15,364,4,2,0,13,9,0,4,7,-3,5.3,7.4,-2.1,0,0,0,0
392,8e088e04,16,654,7,6,0,10,7,1,10,8,2,9.0,9.0,0.0,0,0,0,0
393,8e48dc61,5,135,1,1,0,4,12,2,2,0,2,2.8,1.2,1.6,0,0,0,0
394,8e613398,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
395,8e92be30,2,152,1,2,0,0,0,1,2,3,-1,1.7,2.0,-0.2,0,0,0,0
396,8f29e08b,0,0,0,0,0,0,17,0,0,0,0,0.0,0.0,0.0,0,0,0,0
397,8f3565b3,19,1085,12,14,1,5,5,1,11,10,1,12.9,10.6,2.3,0,0,0,0
398,8f5e92a6,21,1456,16,15,10,6,0,2,32,11,21,36.1,11.9,24.1,0,0,0,0
399,8f696594,7,248,2,3,0,4,8,5,9,1,8,6.699999999999999,1.7000000000000002,5.0,0,0,0,0
400,8f8c6934,25,2250,25,25,25,0,0,1,25,34,-9,20.0,28.1,-8.1,0,0,0,0
401,8fae77ea,17,1517,16,17,16,0,5,1,13,23,-10,15.3,29.1,-13.9,0,0,0,0
402,90162357,2,39,0,0,0,2,21,2,0,1,-1,1.9,0.5,1.5,0,0,0,0
403,90bbd822,22,1834,20,21,11,1,0,1,22,21,1,23.0,24.3,-1.4,0,0,0,0
404,9109185e,0,0,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0,0,0,0
405,912668ea,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
406,91f7631f,20,1573,17,18,12,2,0,1,17,16,1,16.5,17.1,-0.6,0,0,0,0
407,922da988,5,165,1,1,0,4,8,0,1,6,-5,0.9,5.2,-4.3,0,0,0,0
408,924ff27e,0,0,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0,0,0,0
409,93090f69,24,2104,23,24,22,0,0,1,24,32,-8,19.2,27.0,-7.8,0,0,0,0
410,93551864,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
411,937c6ae6,1,7,0,0,0,1,5,1,0,1,-1,0.1,0.2,-0.1,0,0,0,0
412,958d67bb,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0
413,9602ef3b,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
414,962e54cb,13,401,4,4,0,9,7,0,5,5,0,5.7,5.0,0.7,0,0,0,0
415,963829d0,13,408,4,4,0,9,3,1,5,4,1,5.1,7.0,-1.9,0,0,0,0
416,968a1c2f,17,589,6,4,0,13,7,1,2,9,-7,6.4,5.7,0.7,0,0,0,0
417,96f2f88f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
418,974322dc,21,1474,16,15,12,6,2,1,13,26,-13,10.4,17.6,-7.2,0,0,0,0
419,97852360,4,360,4,4,4,0,12,2,5,5,0,4.7,4.9,-0.2,0,0,0,0
420,9939e168,24,1562,17,16,11,8,0,1,11,20,-9,16.8,19.7,-3.0,0,0,0,0
421,99ea2ddd,4,223,2,2,1,2,4,0,0,7,-7,1.2,5.4,-4.2,0,0,0,0
422,9a0408b6,22,978,10,9,6,13,2,1,8,16,-8,11.0,16.2,-5.3,0,0,0,0
423,9a26fa06,1,90,1,1,1,0,2,1,0,0,0,0.5,0.4,0.0,0,0,0,0
424,9a64e67e,21,1716,19,19,18,2,0,1,22,15,7,23.3,15.6,7.7,0,0,0,0
425,9a76c2e9,13,586,6,7,1,6,7,1,15,13,2,10.2,10.3,-0.1,0,0,0,0
426,9a93efc9,8,600,6,5,5,3,14,1,6,7,-1,8.8,9.6,-0.8,0,0,0,0
427,9ad74b4d,0,0,0,0,0,0,22,0,0,0,0,0.0,0.0,0.0,0,0,0,0
428,9c36ed83,14,791,8,8,1,6,2,1,12,6,6,12.2,10.4,1.8,0,0,0,0
429,9cdc85e5,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
430,9d33c71a,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
431,9e1035f8,21,925,10,9,4,12,1,2,15,6,9,21.3,10.3,11.0,0,0,0,0
432,9f0ea33f,7,630,7,7,7,0,9,1,5,11,-6,6.9,9.0,-2.1,0,0,0,0
433,9f323c71,24,1801,20,21,15,3,0,1,30,22,8,25.9,17.1,8.7,0,0,0,0
434,9f979eb2,1,2,0,0,0,1,4,1,0,0,0,0.0,0.1,0.0,0,0,0,0
435,9fec8860,2,79,0,1,0,1,3,0,0,3,-3,0.2,2.2,-2.0,0,0,0,0
436,a01c3d54,13,1170,13,13,13,0,11,1,12,10,2,11.9,13.9,-2.0,0,0,0,0
437,a0255c67,6,186,2,2,0,4,14,2,3,4,-1,1.9,2.9000000000000004,-1.0,0,0,0,0
438,a08b974a,10,477,5,4,1,6,0,1,10,13,-3,8.6,8.2,0.4,0,0,0,0
439,a0b4bb3e,12,799,8,10,4,2,0,0,9,14,-5,8.3,15.4,-7.1,0,0,0,0
440,a10361d2,24,2056,22,24,18,0,0,1,36,36,0,32.0,28.7,3.3,0,0,0,0
441,a21417e2,7,531,5,6,3,1,2,1,6,7,-1,5.1,8.2,-3.1,0,0,0,0
442,a254bbe0,19,645,7,7,0,12,5,1,3,10,-7,6.2,7.3,-1.1,0,0,0,0
443,a2b1bca6,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
444,a2c1a8d3,3,225,2,2,2,1,17,0,1,1,0,3.5,2.5,1.0,0,0,0,0
445,a2d9cf74,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
446,a300ac7e,14,628,7,5,2,9,1,0,7,14,-7,6.5,14.9,-8.5,0,0,0,0
447,a30a31ee,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
