id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
5ea8ef20,Mattéo Guendouzi,fr FRA,MF,Marseille,23-362,1999,20.6,1240,29,172,696,395,53,1239,26,11,42.3,11,42.3,999,6206,3153,41,49,8,21,13,915,90,Matches
b73f17f8,Evann Guessand,fr FRA,"FW,MF",Nantes,21-284,2001,13.0,469,10,68,213,202,45,469,73,36,49.3,30,41.1,353,2865,1235,43,22,7,46,25,325,89,Matches
7155e3e1,Pape Gueye,sn SEN,"MF,DF",Marseille,24-077,1999,5.5,388,9,72,246,73,7,388,7,1,14.3,4,57.1,297,1687,881,9,4,1,7,6,271,13,Matches
5d8d7454,Frederic Guilbert,fr FRA,DF,Strasbourg,28-108,1994,8.6,604,35,160,299,157,4,604,21,9,42.9,9,42.9,351,1929,872,14,14,1,13,5,294,35,Matches
923f4dda,Sehrou Guirassy,gn GUI,MF,Rennes,27-030,1996,0.3,13,1,1,3,9,5,13,0,0,,0,,9,43,0,0,0,0,0,1,8,6,Matches
7091324a,Rafik Guitane,fr FRA,FW,Reims,23-320,1999,0.0,3,1,2,1,0,0,3,0,0,,0,,1,7,0,0,0,0,0,1,0,0,Matches
d56b9520,Malo Gusto,fr FRA,DF,Lyon,19-327,2003,16.0,1477,43,319,704,471,19,1477,48,20,41.7,19,39.6,1091,6147,2833,60,70,8,17,10,982,137,Matches
576817b7,Jaouen Hadjam,dz ALG,DF,Nantes,20-016,2003,7.1,457,26,129,234,104,11,457,35,22,62.9,11,31.4,291,2065,957,16,13,5,12,10,256,29,Matches
5167c97e,Massadio Haïdara,ml MLI,"DF,MF",Lens,30-130,1992,15.1,1028,62,290,549,194,23,1028,19,8,42.1,5,26.3,726,3925,1930,20,22,5,19,5,663,47,Matches
e42d61c7,Achraf Hakimi,ma MAR,"DF,MF",Paris S-G,24-158,1998,18.8,1393,39,290,572,548,67,1393,58,22,37.9,26,44.8,1105,6156,3446,74,56,20,20,19,1034,192,Matches
a94571f6,Mathis Hamdi,fr FRA,DF,Troyes,19-175,2003,0.8,44,2,14,16,14,0,44,1,0,0.0,1,100.0,28,186,28,0,0,0,2,0,27,7,Matches
0b4d8274,Romain Hamouma,fr FRA,"FW,MF",Ajaccio,36-013,1987,10.2,418,3,17,193,212,37,418,34,15,44.1,18,52.9,307,2035,822,26,13,11,35,13,299,93,Matches
52cd0e88,Saïd Hamulic,nl NED,FW,Toulouse,22-150,2000,0.9,20,0,0,12,9,0,20,5,3,60.0,2,40.0,17,163,20,1,1,0,3,2,16,3,Matches
e7d59f4f,Amine Harit,ma MAR,"MF,FW",Marseille,25-297,1997,5.7,341,10,33,139,176,30,341,36,13,36.1,18,50.0,284,1842,791,19,13,9,18,17,273,54,Matches
07ace8c3,Rhys Healey,wls WAL,FW,Toulouse,28-126,1994,0.7,22,0,2,6,14,8,22,0,0,,0,,17,85,16,1,0,1,3,2,21,6,Matches
563fcd6b,Gauthier Hein,fr FRA,"MF,FW",Auxerre,26-247,1996,14.2,669,10,96,325,257,42,669,28,12,42.9,14,50.0,513,3482,1519,45,26,17,23,19,471,97,Matches
f28474a4,Henrique,br BRA,DF,Lyon,28-351,1994,1.5,97,3,18,64,15,0,97,2,0,0.0,2,100.0,64,318,109,0,1,0,0,0,61,0,Matches
3681cfff,Christophe Hérelle,mq MTQ,DF,Brest,30-232,1992,11.8,552,85,323,210,25,5,552,2,1,50.0,1,50.0,378,1879,787,2,2,0,3,1,322,2,Matches
61b77d0a,Noah Holm,no NOR,"FW,MF",Reims,21-323,2001,2.2,86,6,17,49,21,5,86,9,3,33.3,6,66.7,60,325,109,1,2,0,5,6,58,8,Matches
db7849ca,Franck Honorat,fr FRA,"FW,MF",Brest,26-243,1996,24.1,1134,18,159,405,593,77,1134,49,12,24.5,32,65.3,789,5379,2476,89,55,26,48,16,730,213,Matches
00891164,Cédric Hountondji,bj BEN,DF,Angers,29-082,1994,29.2,1525,194,785,711,32,18,1525,2,1,50.0,1,50.0,1059,5330,2623,5,8,2,8,3,935,1,Matches
910e3cad,Ilyes Housni,fr FRA,FW,Paris S-G,17-332,2005,0.1,5,0,1,2,2,0,5,0,0,,0,,6,25,13,0,0,0,1,2,6,1,Matches
d14229f3,Adrien Hunou,fr FRA,"MF,FW",Angers,29-082,1994,20.0,790,7,110,395,297,55,790,28,10,35.7,14,50.0,603,3367,1286,29,30,9,48,20,564,119,Matches
fb0ee44e,Mounaim El Idrissy,fr FRA,FW,Ajaccio,24-060,1999,23.4,803,23,57,402,350,94,803,25,10,40.0,12,48.0,506,2759,680,19,17,3,75,33,552,156,Matches
c9f49454,Rareş Ilie,ro ROU,"MF,FW",Nice,19-357,2003,1.6,75,1,13,28,36,5,75,6,5,83.3,1,16.7,58,378,165,7,11,1,3,10,54,6,Matches
546bb36e,Bonke Innocent,ng NGA,MF,Lorient,27-081,1996,10.2,538,51,195,318,30,2,538,7,5,71.4,0,0.0,362,1557,524,3,3,0,6,4,312,0,Matches
cf182add,Ismaily,br BRA,DF,Lille,33-090,1990,16.1,1124,41,259,556,320,39,1124,27,10,37.0,13,48.1,742,3735,1735,31,37,8,19,23,677,94,Matches
dbd3a428,Junya Ito,jp JPN,FW,Reims,30-033,1993,24.6,1128,6,115,417,618,89,1128,106,48,45.3,44,41.5,855,6264,3043,100,65,34,76,35,812,234,Matches
a0415710,Ismail Jakobs,sn SEN,"DF,MF",Monaco,23-237,1999,7.7,526,13,84,243,205,28,526,7,3,42.9,3,42.9,350,2169,999,29,23,7,10,4,357,78,Matches
96f4ebc0,Marin Jakoliš,hr CRO,FW,Angers,26-106,1996,0.3,14,0,1,3,10,3,14,2,0,0.0,2,100.0,11,79,34,2,0,1,1,1,11,2,Matches
eeba07f8,Luis Javier Suárez,co COL,FW,Marseille,25-130,1997,3.3,119,7,15,53,53,20,119,4,4,100.0,0,0.0,78,440,181,5,5,0,7,1,80,17,Matches
300ec91c,Dany Jean,ht HAI,"DF,MF",Strasbourg,20-134,2002,0.1,13,0,1,4,8,0,13,1,0,0.0,1,100.0,9,74,21,1,1,0,1,1,8,2,Matches
5cb215fc,Julian Jeanvier,gn GUI,DF,Auxerre,31-011,1992,15.5,819,132,461,339,21,12,819,3,2,66.7,1,33.3,572,3015,1553,4,4,0,6,1,514,5,Matches
45cce300,Jefferson,br BRA,FW,Lyon,23-102,1999,0.6,23,0,2,11,10,1,23,2,1,50.0,1,50.0,18,123,44,1,2,0,2,1,17,9,Matches
5b4bc323,Paul Joly,fr FRA,DF,Auxerre,22-308,2000,9.6,783,54,283,328,179,4,783,28,13,46.4,8,28.6,519,3094,1511,19,27,1,9,12,445,48,Matches
56ae428b,Jubal,br BRA,DF,Auxerre,29-225,1993,27.7,1401,241,782,585,41,23,1401,6,1,16.7,2,33.3,892,4767,2274,6,11,0,18,2,783,0,Matches
f323d995,Christopher Jullien,fr FRA,DF,Montpellier,30-020,1993,23.9,1137,192,612,492,37,27,1137,1,1,100.0,0,0.0,704,3537,1587,2,4,1,14,2,629,5,Matches
c066d1a5,Issa Kaboré,bf BFA,DF,Marseille,21-334,2001,7.0,434,21,97,165,176,26,434,26,9,34.6,13,50.0,298,1973,971,23,18,6,18,7,283,86,Matches
32f3d97e,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,28-321,1994,0.9,54,0,8,23,23,2,54,1,0,0.0,0,0.0,42,236,79,1,1,1,1,4,40,12,Matches
5b1bf5e3,Gaël Kakuta,cd COD,FW,Lens,31-294,1991,0.2,18,0,4,11,4,0,18,0,0,,0,,16,103,53,2,2,0,0,0,16,1,Matches
bf4c41f9,Arnaud Kalimuendo,fr FRA,FW,Rennes,21-081,2002,17.0,557,10,42,231,294,85,557,50,23,46.0,23,46.0,413,2426,735,33,19,22,50,31,405,162,Matches
dd211559,Gedeon Kalulu,cd COD,DF,Lorient,25-225,1997,22.0,1381,112,512,626,257,33,1381,36,20,55.6,12,33.3,910,6055,2966,54,42,5,26,16,797,60,Matches
32e2163d,Justin-Noël Kalumba,fr FRA,DF,Angers,18-107,2004,1.6,51,2,11,22,19,1,51,4,2,50.0,2,50.0,40,250,113,2,2,0,8,1,37,3,Matches
a426a912,Waren Kamanzi,no NOR,DF,Toulouse,22-151,2000,3.0,176,10,72,74,33,1,176,6,4,66.7,1,16.7,119,658,393,6,7,1,5,1,98,5,Matches
3814120d,Bingourou Kamara,sn SEN,GK,Montpellier,26-172,1996,4.5,143,120,143,0,0,0,143,0,0,,0,,86,416,244,0,0,0,0,0,57,0,Matches
c5908bc4,Nordine Kandil,fr FRA,"MF,FW",Strasbourg,21-162,2001,1.1,87,1,11,33,46,5,87,13,6,46.2,7,53.8,69,536,294,9,10,3,5,3,61,9,Matches
c43a8336,Kévin Keben Biakolo,cm CMR,DF,Toulouse,19-075,2004,3.4,164,12,58,68,41,3,164,8,1,12.5,5,62.5,99,526,202,5,8,1,8,5,80,16,Matches
c9f2f83a,Check Keita,fr FRA,DF,Reims,20-009,2003,5.9,303,23,134,159,12,4,303,3,2,66.7,0,0.0,216,1567,814,7,5,0,3,0,193,0,Matches
796b1c41,Saîf-Eddine Khaoui,tn TUN,MF,Clermont Foot,27-349,1995,19.4,855,14,131,458,288,37,855,43,20,46.5,17,39.5,585,3163,1335,20,25,4,36,19,521,72,Matches
2677a1de,Wahbi Khazri,tn TUN,"FW,MF",Montpellier,32-062,1991,14.5,552,13,70,273,223,56,552,46,22,47.8,17,37.0,398,2742,1144,33,15,18,42,25,363,78,Matches
3670aa71,Anthony Khelifa,fr FRA,DF,Ajaccio,17-203,2005,0.1,12,0,4,8,0,0,12,0,0,,0,,10,43,15,1,0,0,0,0,8,0,Matches
aef6e670,Presnel Kimpembe,fr FRA,DF,Paris S-G,27-241,1995,8.1,567,59,203,327,39,7,567,3,2,66.7,0,0.0,430,2001,1090,4,8,0,4,5,407,4,Matches
3935e52e,Sead Kolašinac,ba BIH,DF,Marseille,29-295,1993,17.5,1102,52,294,573,248,36,1102,10,3,30.0,6,60.0,801,4467,2436,38,29,4,22,6,686,63,Matches
1361e5bc,Cheick Konaté,ci CIV,DF,Clermont Foot,19-039,2004,5.7,333,12,141,169,34,2,333,29,23,79.3,5,17.2,220,1459,771,10,15,1,3,5,196,5,Matches
04bb2b06,Ibrahima Koné,ml MLI,FW,Lorient,23-299,1999,11.1,351,8,41,158,155,32,350,14,9,64.3,3,21.4,238,1210,387,8,9,2,43,16,264,68,Matches
e6eadfb8,Youssouf Koné,ml MLI,DF,Ajaccio,27-280,1995,7.5,377,37,146,190,46,1,377,14,5,35.7,3,21.4,242,1296,621,13,9,1,11,2,205,10,Matches
86a2ba20,Rominigue Kouamé,ml MLI,MF,Troyes,26-115,1996,23.5,1358,91,385,810,195,15,1358,53,35,66.0,13,24.5,1068,6797,3015,53,40,4,34,22,937,30,Matches
562a4799,Boubakar Kouyaté,ml MLI,DF,Montpellier,25-361,1997,8.0,490,52,249,228,19,13,490,0,0,,0,,322,2046,1081,3,2,0,2,0,284,1,Matches
c385bf49,Sael Kumbedi,fr FRA,DF,Lyon,18-016,2005,9.6,603,23,163,278,163,18,603,30,14,46.7,14,46.7,386,2068,894,8,15,3,11,9,341,55,Matches
397ba086,Grejohn Kyei,fr FRA,FW,Clermont Foot,27-242,1995,17.6,588,16,40,320,235,62,585,53,25,47.2,25,47.2,429,2256,618,19,9,10,74,38,465,116,Matches
c90f380c,Rémy Labeau Lascary,gp GLP,"FW,MF",Lens,20-039,2003,1.3,51,1,9,13,29,11,51,7,2,28.6,5,71.4,38,287,96,3,1,0,7,3,37,15,Matches
7cdda3bf,Gaëtan Laborde,fr FRA,FW,Nice,28-343,1994,20.5,749,13,74,337,342,104,748,41,19,46.3,20,48.8,518,2971,1261,38,28,13,47,19,524,138,Matches
7cdda3bf,Gaëtan Laborde,fr FRA,FW,Rennes,28-343,1994,2.8,92,2,3,41,51,24,92,2,2,100.0,0,0.0,61,349,150,8,4,4,11,4,59,20,Matches
9dbb75ca,Alexandre Lacazette,fr FRA,FW,Lyon,31-318,1991,24.5,967,11,68,371,536,153,962,62,31,50.0,23,37.1,726,3338,1158,31,21,13,45,41,707,175,Matches
eb0db257,Qazim Laçi,al ALB,MF,Ajaccio,27-082,1996,2.4,171,3,20,109,44,1,171,4,2,50.0,1,25.0,118,585,207,0,3,0,1,0,109,4,Matches
4e7db402,Alban Lafont,fr FRA,GK,Nantes,24-078,1999,29.0,1045,904,1043,3,0,0,1045,3,1,33.3,2,66.7,684,3606,1968,1,0,0,1,0,436,0,Matches
770d7eb8,Kenny Lala,fr FRA,DF,Brest,31-190,1991,8.7,548,39,232,213,111,4,548,17,8,47.1,8,47.1,311,1759,816,15,10,0,9,6,257,17,Matches
01870104,Mohamed Lamine Bayo,gn GUI,"FW,MF",Lille,24-311,1998,6.4,166,2,6,60,103,35,166,13,9,69.2,2,15.4,123,658,245,8,7,5,18,12,134,43,Matches
f066022d,Julien Laporte,fr FRA,DF,Lorient,29-158,1993,17.1,929,220,551,364,15,6,929,1,1,100.0,0,0.0,648,3629,1904,4,4,0,5,2,612,0,Matches
0ed063d6,Yasser Larouci,dz ALG,"DF,FW",Troyes,22-100,2001,13.7,742,43,212,340,206,20,742,59,24,40.7,29,49.2,533,3908,1980,56,40,12,27,29,463,85,Matches
2d22cea7,Armand Lauriente,fr FRA,FW,Lorient,24-128,1998,3.0,136,0,26,52,64,19,136,17,14,82.4,1,5.9,103,800,445,14,5,5,4,4,87,21,Matches
afe39ca8,Théo Le Bris,fr FRA,"MF,DF",Lorient,20-192,2002,14.1,668,22,170,272,233,42,668,37,14,37.8,23,62.2,477,3059,1457,48,29,18,20,7,434,91,Matches
547a72ad,Julien Le Cardinal,fr FRA,DF,Lens,25-251,1997,1.6,142,7,24,63,56,5,142,4,2,50.0,1,25.0,92,532,211,4,9,0,4,1,87,13,Matches
88c4d190,Jérémy Le Douaron,fr FRA,"MF,FW",Brest,24-355,1998,16.1,507,24,77,214,226,56,507,52,15,28.8,31,59.6,334,2240,575,23,11,9,55,28,353,82,Matches
6f806d99,Enzo Le Fée,fr FRA,MF,Lorient,23-067,2000,26.9,2072,74,458,1159,492,27,2072,115,52,45.2,45,39.1,1546,9544,4330,72,69,11,53,45,1395,64,Matches
