id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
466fb2c5,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
46b5375e,1,9,0,0,0,1,16,3,0,0,0,0.0,0.0,0.0,0,0,0,0
46ee5234,33,2827,31,32,27,1,0,0,23,44,-21,31.2,39.8,-8.7,0,0,0,0
47a34c4f,13,867,9,11,5,2,11,1,18,12,6,16.8,12.2,4.7,0,0,0,0
47b7e3af,36,3067,34,34,29,2,0,0,25,52,-27,28.0,43.6,-15.6,0,0,0,0
4806ec67,38,3420,38,38,38,0,0,1,44,58,-14,40.5,52.4,-11.9,3420,38,38,38
4830e0af,5,220,2,2,0,3,8,0,1,5,-4,1.6,3.0,-1.4,0,0,0,0
495945ef,19,1111,12,12,10,7,19,1,16,17,-1,13.4,17.1,-3.7,0,0,0,0
49b05a83,7,135,1,1,0,6,18,1,2,3,-1,2.5,0.7,1.8,0,0,0,0
4a537185,13,614,6,8,0,5,5,0,7,17,-10,5.8,13.4,-7.6,0,0,0,0
4ab53cdb,37,2812,31,31,13,6,1,0,24,41,-17,28.6,38.3,-9.7,0,0,0,0
4ae7add0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
4b40d9ca,35,3115,34,34,34,1,3,1,31,35,-4,29.3,46.2,-17.0,3115,35,34,34
4b511457,34,2897,32,34,28,0,3,0,27,47,-20,32.0,40.0,-7.9,0,0,0,0
4c370d81,37,2763,30,32,12,5,1,2,73,32,41,61.2,28.5,32.6,0,0,0,0
4cde5509,5,106,1,1,0,4,3,2,1,2,-1,2.2,1.0,1.2,0,0,0,0
4d034881,25,1963,21,22,13,3,4,2,63,12,51,45.8,13.1,32.7,0,0,0,0
4e9a0555,24,1624,18,20,7,4,1,1,22,11,11,17.0,23.0,-6.0,0,0,0,0
4f974391,36,3069,34,35,30,1,1,1,45,60,-15,34.5,47.8,-13.3,0,0,0,0
4fb9c88f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
5167c97e,1,4,0,0,0,1,6,3,0,0,0,0.0,0.0,0.0,0,0,0,0
51a3caf1,5,228,2,3,1,2,7,0,3,10,-7,1.0,6.7,-5.7,0,0,0,0
51b41c5c,30,2130,23,24,19,6,4,1,22,38,-16,23.4,31.7,-8.3,0,0,0,0
51cf8561,8,532,5,6,3,2,12,3,16,3,13,10.6,3.4,7.2,0,0,0,0
52105203,17,1435,15,16,15,1,2,0,16,26,-10,23.7,20.1,3.6,0,0,0,0
5271c8f1,7,363,4,4,3,3,1,2,14,1,13,9.2,2.5,6.7,0,0,0,0
53538b39,30,1406,15,14,8,16,8,0,8,21,-13,12.9,21.5,-8.7,0,0,0,0
53af52f3,33,2965,32,33,32,0,0,1,49,47,2,44.7,39.6,5.1,2965,33,33,32
53cad200,37,3330,37,37,37,0,1,1,61,38,23,52.9,33.8,19.1,0,0,0,0
54dd7308,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
5515376c,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
5540c9dc,38,3386,37,38,37,0,0,0,30,55,-25,35.6,47.8,-12.2,0,0,0,0
562eed5c,17,1452,16,17,15,0,3,1,14,27,-13,14.9,19.4,-4.5,0,0,0,0
56f6f826,3,200,2,2,2,1,28,1,1,5,-4,2.0,2.9,-0.9,0,0,0,0
