id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
6ce1f46f,Toni Kroos,de GER,MF,Real Madrid,33-072,1990,20,1440,72,64.0,16.0,17,83,7,3,12,1,2.20,29,12,+17,+1.06,-0.49,29.2,15.1,+14.1,+0.88,-0.85,Matches
16aa3654,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,21-286,2001,22,1592,72,70.8,17.7,19,78,4,3,37,2,1.86,27,16,+11,+0.62,+0.90,21.3,14.2,+7.1,+0.40,-0.01,Matches
60abea75,César de la Hoz,es ESP,MF,Almería,30-352,1992,14,1111,79,49.4,12.3,12,88,10,2,29,6,1.57,19,19,0,0.00,+1.19,16.8,18.3,-1.5,-0.12,+0.83,Matches
e9241b40,Luca de la Torre,us USA,MF,Celta Vigo,24-298,1998,16,701,44,31.2,7.8,8,72,0,8,16,6,1.63,12,5,+7,+0.90,+1.60,9.9,7.5,+2.3,+0.30,+0.26,Matches
abe66106,Érik Lamela,ar ARG,"FW,MF",Sevilla,31-013,1992,21,1300,62,57.8,14.4,13,80,6,8,32,2,1.00,13,24,-11,-0.76,-0.76,15.9,26.1,-10.1,-0.70,-0.80,Matches
e7af9060,Cyle Larin,ca CAN,FW,Valladolid,27-334,1995,7,423,60,18.8,4.7,4,86,3,3,26,0,1.57,6,6,0,0.00,+0.79,5.0,8.1,-3.1,-0.66,+0.05,Matches
2bea832e,Latasa,es ESP,"FW,DF",Getafe,21-359,2001,11,123,11,5.5,1.4,0,,0,11,11,12,0.64,2,0,+2,+1.46,+1.93,1.7,2.6,-0.8,-0.60,-0.33,Matches
8e088e04,Toni Lato,es ESP,"DF,MF",Valencia,25-116,1997,16,654,41,29.1,7.3,6,75,0,10,20,7,1.06,10,8,+2,+0.28,+0.39,9.1,9.1,+0.1,+0.01,-0.05,Matches
86ff856b,Lázaro,br BRA,"MF,FW",Almería,21-005,2002,10,267,27,11.9,3.0,2,59,0,8,19,12,0.30,3,5,-2,-0.67,-0.08,3.9,4.7,-0.8,-0.27,+0.31,Matches
9a64e67e,Robin Le Normand,fr FRA,DF,Real Sociedad,26-126,1996,22,1806,82,80.3,20.1,20,89,19,2,13,0,1.77,23,16,+7,+0.35,-0.06,24.2,17.2,+7.0,+0.35,-0.27,Matches
2fa2a875,Benjamin Lecomte,fr FRA,GK,Espanyol,31-325,1991,10,899,90,40.0,10.0,10,90,9,0,,4,0.80,10,14,-4,-0.40,-0.13,11.2,11.2,0.0,0.00,+0.17,Matches
6c4776b1,Jeremías Ledesma,ar ARG,GK,Cádiz,30-032,1993,25,2250,90,100.0,25.0,25,90,25,0,,0,1.08,20,37,-17,-0.68,,21.9,40.1,-18.2,-0.73,,Matches
6eaed4eb,Florian Lejeune,fr FRA,DF,Rayo Vallecano,31-301,1991,23,1938,84,86.1,21.5,23,84,20,0,,1,1.48,24,25,-1,-0.05,-0.62,25.0,29.0,-4.0,-0.19,-0.84,Matches
59b7d823,Iñigo Lekue,es ESP,DF,Athletic Club,29-317,1993,18,1253,70,55.7,13.9,13,84,8,5,32,6,1.50,25,12,+13,+0.93,+1.57,23.1,11.1,+12.0,+0.86,+0.97,Matches
4dbd0916,Thomas Lemar,fr FRA,MF,Atlético Madrid,27-125,1995,18,820,46,36.4,9.1,11,58,0,7,26,1,1.94,17,4,+13,+1.43,+0.99,12.8,6.6,+6.2,+0.68,+0.38,Matches
755da865,Ruben Lendinez,es ESP,DF,Valencia,20-003,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
0a0cc13c,Sergio León,es ESP,FW,Valladolid,34-070,1989,21,1014,48,45.1,11.3,12,70,2,9,19,2,1.29,11,15,-4,-0.36,+0.52,10.6,18.0,-7.5,-0.66,+0.07,Matches
8d78e732,Robert Lewandowski,pl POL,FW,Barcelona,34-208,1988,21,1677,80,74.5,18.6,20,82,14,1,34,0,2.52,39,8,+31,+1.66,+0.41,40.7,13.2,+27.5,+1.47,+1.16,Matches
ff800ed8,Pol Lirola,es ESP,DF,Elche,25-216,1997,9,566,63,25.2,6.3,7,73,3,2,26,10,0.22,5,15,-10,-1.59,-0.52,4.7,10.9,-6.2,-0.99,+0.13,Matches
38b0cf42,Javier Llabrés,es ESP,FW,Mallorca,20-187,2002,1,17,17,0.8,0.2,0,,0,1,17,7,3.00,0,0,0,0.00,+0.16,0.0,0.2,-0.2,-0.82,-0.60,Matches
912668ea,Miguel Llabrés,es ESP,MF,Mallorca,23-048,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
02c15616,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,28-046,1995,18,1365,76,60.7,15.2,17,79,9,1,30,1,1.78,20,9,+11,+0.73,-0.19,24.2,14.6,+9.6,+0.63,+0.50,Matches
d7553721,Giovani Lo Celso,ar ARG,"MF,FW",Villarreal,26-342,1996,10,525,53,23.3,5.8,8,65,1,2,2,1,1.30,2,3,-1,-0.17,-0.48,6.8,5.1,+1.7,+0.29,+0.15,Matches
ed9f7cfe,Renan Lodi,br BRA,DF,Atlético Madrid,24-343,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
c25f14a7,Alberto López,es ESP,GK,Sevilla,19-127,2003,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
f03f284b,David López,es ESP,DF,Girona,33-159,1989,13,1067,82,47.4,11.9,12,85,9,1,45,5,1.31,17,14,+3,+0.25,+0.56,14.6,13.4,+1.2,+0.10,+0.18,Matches
73683fa9,Diego López,es ESP,GK,Rayo Vallecano,41-134,1981,1,90,90,4.0,1.0,1,90,1,0,,20,0.00,1,3,-2,-2.00,-2.12,0.8,1.2,-0.3,-0.34,-0.28,Matches
