id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
1900032e,9,7,0,0,2,0,0,0,0,0,0,0,0,0,Matches
b937e490,10,8,0,1,0,1,0,1,1,0,0,0,0,0,Matches
d484c261,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16fa6881,21,15,0,0,4,2,0,0,0,0,0,0,0,0,Matches
0d4ceb32,22,14,0,4,1,3,0,3,1,0,2,0,0,0,Matches
1ecb65be,41,31,0,4,5,1,0,8,6,0,1,1,0,0,Matches
86dd77d1,53,43,2,5,0,2,1,6,6,0,0,0,0,0,Matches
984a5a64,7,6,0,0,1,0,0,1,0,0,0,1,0,0,Matches
984a5a64,6,4,0,0,1,1,0,0,0,0,0,0,0,0,Matches
9e525177,51,45,1,4,1,0,0,8,7,0,1,0,0,0,Matches
e0900238,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8a7ff278,10,9,1,0,0,0,0,0,0,0,0,0,0,0,Matches
3515d404,116,53,49,1,7,2,4,6,2,2,0,1,1,0,Matches
603e4f0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
c40b6180,30,23,3,1,1,1,1,1,1,0,0,0,0,0,Matches
ce5143da,15,11,0,2,0,2,0,2,1,0,0,0,1,0,Matches
495945ef,106,70,30,0,3,2,1,8,3,5,0,0,0,0,Matches
41cc19c2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
eb58eef0,55,49,0,2,2,2,0,4,4,0,0,0,0,0,Matches
9050ddc4,38,28,4,4,1,1,0,6,4,1,1,0,0,0,Matches
5e74d6c8,25,22,1,1,0,1,0,1,0,0,0,0,1,0,Matches
dd323728,6,4,0,1,1,0,0,0,0,0,0,0,0,0,Matches
8b9ebd03,167,111,32,8,4,8,4,15,10,1,1,1,1,1,Matches
a3b03921,31,25,0,3,1,1,1,3,3,0,0,0,0,0,Matches
9c318325,2,1,0,0,0,1,0,1,1,0,0,0,0,0,Matches
c596fcb0,60,42,0,4,6,8,0,9,3,0,2,1,3,0,Matches
c6dc9ecd,49,36,2,1,4,5,1,4,3,0,0,1,0,0,Matches
2f7acede,48,42,3,0,1,0,2,6,6,0,0,0,0,0,Matches
4e9a0555,53,37,0,3,4,9,0,4,4,0,0,0,0,0,Matches
e61b8aee,44,38,2,1,1,2,0,3,2,0,0,0,1,0,Matches
849c826a,36,31,0,2,2,1,0,5,4,0,1,0,0,0,Matches
ae0a7ddf,18,16,0,0,0,2,0,0,0,0,0,0,0,0,Matches
caffaf5a,2,1,0,0,0,0,1,0,0,0,0,0,0,0,Matches
be927d03,30,14,14,0,0,1,1,0,0,0,0,0,0,0,Matches
6813ac34,5,4,0,0,0,1,0,0,0,0,0,0,0,0,Matches
b2bc3b1f,128,78,0,26,6,18,0,9,5,0,1,1,2,0,Matches
2d5f03bf,7,6,0,0,0,0,1,0,0,0,0,0,0,0,Matches
51cf8561,38,37,1,0,0,0,0,3,3,0,0,0,0,0,Matches
d2d74d9c,3,2,0,0,1,0,0,0,0,0,0,0,0,0,Matches
ce4246f5,15,13,0,0,1,1,0,1,1,0,0,0,0,0,Matches
