id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
d183e9d6,Nicola Murru,it ITA,DF,Sampdoria,28-085,1994,12,474,40,21.1,5.3,3,75,2,9,28,10,0.83,2,6,-4,-0.76,+0.46,4.8,10.3,-5.5,-1.04,-0.49,Matches
a111cf41,Juan Musso,ar ARG,GK,Atalanta,28-309,1994,19,1627,86,72.3,18.1,19,86,18,0,,2,1.79,33,19,+14,+0.77,+0.77,28.5,17.6,+10.9,+0.60,+0.30,Matches
c459a650,Joakim Mæhle,dk DEN,"DF,MF",Atalanta,25-295,1997,22,1320,60,58.7,14.7,15,79,6,7,20,2,1.50,20,18,+2,+0.14,-1.02,22.2,17.9,+4.3,+0.30,-0.54,Matches
0ba16279,Caumenan N'Guessan,fr FRA,DF,Torino,19-191,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
c39babc1,Herculano Nabian,pt POR,FW,Empoli,19-045,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
f35430a4,Matija Nastasić,rs SRB,DF,Fiorentina,29-348,1993,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
c0f732e1,Lapo Nava,it ITA,GK,Milan,19-048,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
599d91d0,Michel Ndary Adopo,fr FRA,"MF,DF",Torino,22-235,2000,7,245,35,10.9,2.7,3,68,0,4,10,18,1.86,3,2,+1,+0.37,+0.50,2.9,3.5,-0.6,-0.24,-0.20,Matches
05f2f323,Maissa Ndiaye,sn SEN,DF,Cremonese,21-042,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
5cdddffa,Tanguy Ndombele,fr FRA,MF,Napoli,26-073,1996,23,576,25,25.6,6.4,6,56,0,17,14,1,2.57,7,6,+1,+0.16,-2.05,9.9,5.3,+4.6,+0.72,-0.47,Matches
