id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
3423f250,Raphinha,br BRA,FW,es Barcelona,25,1996,1.7,0,0,0,1,1,0,7,2,4,0,0,0,7,0,1,0.0,Matches
9937ce4a,Ibrahim Rasheed,ng NGA,"FW,DF",md Sheriff Tiraspol,23,1999,5.5,3,0,0,6,2,3,3,2,1,0,0,0,18,15,19,44.1,Matches
a1d5bd30,Marcus Rashford,eng ENG,"FW,MF",eng Manchester Utd,24,1997,5.7,0,0,0,7,7,4,5,0,3,0,0,0,26,4,2,66.7,Matches
283699b4,Jacob Rasmussen,dk DEN,DF,nl Feyenoord,25,1997,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
6c249ea7,Oleg Reabciuk,md MDA,"DF,MF",gr Olympiacos,24,1998,4.1,1,0,0,4,14,0,6,3,3,0,0,0,13,4,5,44.4,Matches
92d6bdc9,Damir Redzic,hu HUN,FW,hu Ferencváros,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
ae1159bf,Matheus Reis,br BRA,"DF,MF",pt Sporting CP,27,1995,2.9,0,0,0,2,0,0,3,2,2,0,0,0,15,2,2,50.0,Matches
374ee424,Álex Remiro,es ESP,GK,es Real Sociedad,27,1995,8.0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,100.0,Matches
c5cbbcff,Devyne Rensch,nl NED,DF,nl Ajax,19,2003,1.9,0,0,0,2,3,0,2,0,2,0,0,0,13,4,2,66.7,Matches
4bd00a50,Panagiotis Retsos,gr GRE,DF,gr Olympiacos,23,1998,2.6,3,0,0,2,1,0,0,5,3,0,0,0,10,3,2,60.0,Matches
ba6d9ff6,Rick,br BRA,FW,bg Ludogorets,22,1999,3.6,1,0,0,2,6,1,6,1,1,0,0,0,19,2,4,33.3,Matches
d9ba39fc,Diego Rico,es ESP,DF,es Real Sociedad,29,1993,6.8,2,0,0,11,5,0,24,6,10,0,0,0,47,5,5,50.0,Matches
