id,Player,Nation
9b6556d2,Haris Duljević,ba BIH
0cbc8baa,Jean-Kevin Duverne,fr FRA
9ba7b4fa,Enzo Ebosse,cm CMR
72a0fb65,Bruno Ecuele Manga,ga GAB
5b92d896,Hugo Ekitike,fr FRA
0033fb1b,Niclas Eliasson,se SWE
0d7b6576,Sepe Elye Wahi,fr FRA
5c9ac7f0,Renaud Emond,be BEL
a59d55b1,Yoann Etienne,fr FRA
bc7b4580,Fábio,br BRA
33508c78,Cesc Fàbregas,es ESP
45bb4303,Bandiougou Fadiga,fr FRA
9c221d14,Wout Faes,be BEL
745ca0a3,Romain Faivre,fr FRA
2c127b6f,Wuilker Faríñez,ve VEN
2693f6bc,Noah Fatar,fr FRA
767212e6,Julien Faussurier,fr FRA
005c0807,Zinedine Ferhat,dz ALG
375622c5,Jordan Ferri,fr FRA
caef7840,Alexis Flips,fr FRA
e288d4b3,Alessandro Florenzi,it ITA
4c4ffacc,Mamadou Fofana,ml MLI
5313ed43,Seko Fofana,ci CIV
132a82f1,Wesley Fofana,fr FRA
822d51d7,Youssouf Fofana,fr FRA
90eb507d,Thomas Foket,be BEL
2145368f,Lamine Fomba,fr FRA
9f90c06b,Thomas Fontaine,mg MAD
90f87966,José Fonte,pt POR
574aa9ec,Steven Fortes,cv CPV
ddcc9e22,Yassin Fortune,fr FRA
4b96c347,Angelo Fulgini,fr FRA
bc224243,Baptiste Gabard,fr FRA
72c812f3,Idrissa Gana Gueye,sn SEN
23c63b7f,Ignatius Ganago,cm CMR
6be41a31,Yann Gboho,fr FRA
ea0ff634,Valère Germain,fr FRA
9836e892,Willem Geubbels,fr FRA
3befc2b6,Andrei Girotto,br BRA
3708e9fa,Aleksandr Golovin,ru RUS
cecbce23,Alfred Gomis,sn SEN
743fd71f,Vagner Gonçalves,cv CPV
42dcf26d,Álvaro González,es ESP
aad56ca3,Amine Gouiri,fr FRA
3cd7820a,Lucas Gourna-Douath,fr FRA
06c48679,Jonathan Gradit,fr FRA
49136c42,Andrew Gravillon,gp GLP
4a987ffa,Adrian Grbić,at AUT
667b65da,Etienne Green,eng ENG
8b298f56,Clément Grenier,fr FRA
b73f17f8,Evann Guessand,fr FRA
fe296c72,Kelyan Guessoum,fr FRA
9d5dcc23,Lamine Gueye,sn SEN
7155e3e1,Pape Gueye,sn SEN
5d8d7454,Frederic Guilbert,fr FRA
82518f62,Bruno Guimarães,br BRA
923f4dda,Sehrou Guirassy,gn GUI
d56b9520,Malo Gusto,fr FRA
5167c97e,Massadio Haïdara,ml MLI
a99da9ec,Pierre-Yves Hamel,fr FRA
0b4d8274,Romain Hamouma,fr FRA
f45f9427,Dalbert Henrique,br BRA
f36d5624,Luis Henrique,br BRA
3681cfff,Christophe Hérelle,mq MTQ
a84f9a4b,Jérôme Hergault,fr FRA
436a9dd0,Ander Herrera,es ESP
c4bbea9f,Vitorino Hilton,br BRA
db7849ca,Franck Honorat,fr FRA
29aee77c,Fraser Hornby,sct SCO
d14229f3,Adrien Hunou,fr FRA
885b7aa7,Didier Ibrahim Ndong,ga GAB
43b78598,Mauro Icardi,ar ARG
42eaa028,Jonathan Ikone,fr FRA
23bf644d,Yun Il-lok,kr KOR
7d9b37bf,Corentin Jean,fr FRA
4a537185,Jesé,es ESP
f36c432f,Stevan Jovetić,me MNE
32f3d97e,Abdoul Kader Bamba,fr FRA
7d08063d,Tino Kadewere,zw ZIM
5b1bf5e3,Gaël Kakuta,cd COD
bf4c41f9,Arnaud Kalimuendo,fr FRA
b8d22478,Samuel Kalu,ng NGA
4047c976,Aboubakar Kamara,mr MTN
3814120d,Bingourou Kamara,sn SEN
cc77354e,Boubacar Kamara,fr FRA
19a12bed,Hassane Kamara,ci CIV
b4c816a9,Wilfried Kanga,ci CIV
a4527d33,Eiji Kawashima,jp JPN
3d50bcdb,Moise Kean,it ITA
51dbeea9,Thilo Kehrer,de GER
cc588cbe,Habib Keita,ml MLI
796b1c41,Saîf-Eddine Khaoui,tn TUN
2677a1de,Wahbi Khazri,tn TUN
aef6e670,Presnel Kimpembe,fr FRA
c0b3669f,Randal Kolo Muani,fr FRA
ab096c6f,Timothée Kolodziejczak,fr FRA
6b2c894b,Ghislain Konan,ci CIV
fcbcbd94,Moussa Konaté,sn SEN
a46472d0,Lamine Koné,ci CIV
3ef68782,Moussa Koné,sn SEN
f5efb153,Laurent Koscielny,fr FRA
562a4799,Boubakar Kouyaté,ml MLI
037f2523,Jean-Philippe Krasso,ci CIV
41e7ef1c,Layvin Kurzawa,fr FRA
1b6862e8,Dereck Kutesa,ch SUI
4bf69118,Enock Kwateng,fr FRA
7cdda3bf,Gaëtan Laborde,fr FRA
295ba708,Tom Lacoux,fr FRA
4e7db402,Alban Lafont,fr FRA
770d7eb8,Kenny Lala,fr FRA
08082af0,Loïck Landre,fr FRA
f066022d,Julien Laporte,fr FRA
b49729cb,Gautier Larsonneur,fr FRA
542cc80f,Paul Lasne,fr FRA
2d22cea7,Armand Lauriente,fr FRA
6e5b5a45,Wesley Lautoa,nc NCL
88c4d190,Jérémy Le Douaron,fr FRA
6f806d99,Enzo Le Fée,fr FRA
2321ea6e,Vincent Le Goff,fr FRA
8f4d116f,Damien Le Tallec,fr FRA
7cf431a5,James Lea Siliki,cm CMR
edbe46dc,Jean-Louis Leca,fr FRA
2fa2a875,Benjamin Lecomte,fr FRA
f5044e54,Pierre Lees-Melou,fr FRA
54d51e22,Fabien Lemoine,fr FRA
29ef0f49,Aaron Leya Iseka,be BEL
cc972842,Yanis Lhery,fr FRA
f7691f63,Dimitri Liénard,fr FRA
57a46f3f,Isaac Lihadji,fr FRA
ff800ed8,Pol Lirola,es ESP
f00de885,Anthony Lopes,pt POR
7c2965bb,Rony Lopes,pt POR
20094685,Maxime Lopez,fr FRA
64c14d49,Dion Lopy,sn SEN
fc4cf6a7,Jordan Lotomba,ch SUI
85847c67,Adrien Louveau,fr FRA
e1df6989,Imran Louza,ma MAR
a99138af,Jean Lucas,br BRA
881cd6be,Florentino Luís,pt POR
d4133fa1,Yann M'Vila,fr FRA
0bb6e193,Yvann Macon,fr FRA
d4d35152,Hugo Magnetti,fr FRA
f329ec76,Hicham Mahou,fr FRA
e768de1f,Habib Maïga,ci CIV
fcb38f57,Mike Maignan,fr FRA
bc0bfc64,Josh Maja,ng NGA
20de219a,Radosław Majecki,pl POL
46907171,Abdul Majeed Waris,gh GHA
a27ecdc2,Marco Majouga,fr FRA
0f86995c,Hianga Mananga Mbock,fr FRA
c26a3918,Vincent Manceau,fr FRA
1d2d5cc8,Steve Mandanda,fr FRA
c20bdcd7,Reinildo Mandava,mz MOZ
c801616a,Thomas Mangani,fr FRA
c4173f1a,Vito Mannone,it ITA
706a60e1,Myziane Maolida,fr FRA
e54a9890,Faitout Maouassa,fr FRA
3544641e,Sekou Mara,fr FRA
9ae9eaea,Fernando Marçal,br BRA
e3d0b0c4,Marcelo,br BRA
5d93ccee,Dario Maresic,at AUT
0d2158d5,Jordan Marié,fr FRA
d9764034,Guillermo Maripán,cl CHI
d5f2f82b,Marquinhos,br BRA
468fdbad,Jonas Martin,fr FRA
1ad8cb67,Pablo Martinez,fr FRA
3ef0fa48,Gelson Martins,pt POR
4ef705ab,Sylvain Marveaux,fr FRA
feb5d972,Pape Matar Sarr,sn SEN
15944afd,Eliot Matazo,be BEL
cf1ef7ec,Chrislain Matsima,fr FRA
96e5168e,Tony Mauricio,fr FRA
30144daa,Stephy Mavididi,eng ENG
514270e8,Youssef Maziz,fr FRA
42fd9c7f,Kylian Mbappé,fr FRA
46750e9c,Nathanael Mbuku,fr FRA
6f5ec8bb,Facundo Medina,ar ARG
d21e361a,Farid El Melali,dz ALG
70c52749,Birger Meling,no NOR
8f696594,Memphis,nl NED
1545cf15,Houboulang Mendes,fr FRA
6690ef25,Pedro Mendes,pt POR
c6e5d20f,Thiago Mendes,br BRA
e472a6f6,Batista Mendy,fr FRA
33887998,Edouard Mendy,sn SEN
ce492295,Mexer,mz MOZ
cb9ec45d,Clément Michelin,fr FRA
fe6c1add,Edouard Michut,fr FRA
b66d1d8a,Florian Miguel,fr FRA
85613cf0,Arkadiusz Milik,pl POL
f76022e7,Enzo Millot,fr FRA
