id,Player,Nation
a9440c25,Florinel Coman,ro ROU
7628b359,Sander Coopman,be BEL
a6951bf8,Francis Coquelin,fr FRA
5b61fba7,Alessandro Cordaro,be BEL
49ea92be,Iñigo Córdoba,es ESP
9f381d8b,Jhon Córdoba,co COL
6ceef869,Vedran Ćorluka,hr CRO
c693347d,Andreas Cornelius,dk DEN
beb391dd,Maxwel Cornet,ci CIV
01eb744d,Ángel Correa,ar ARG
69960ac3,Uroš Ćosić,rs SRB
a190d597,Diego Costa,es ESP
808d48f3,Jaume Costa,es ESP
50e14b3c,Manuel da Costa,ma MAR
c7f24d4b,Luca Crecco,it ITA
35dd6d80,Domenico Criscito,it ITA
16657b95,Bryan Cristante,it ITA
9804ba8b,Matic Črnic,si SVN
22cd43d2,Domen Črnigoj,si SVN
24e9421b,Isaac Cuenca,es ESP
27b1390c,Antonini Čulina,hr CRO
a0d59251,João Pedro Guerra Cunha,pt POR
a4fe8cda,Patrick Cutrone,it ITA
3e092724,Wylan Cyprien,fr FRA
31e3ab68,David Da Costa,ch SUI
eac044ad,Moanes Dabbur,il ISR
242dbdeb,Fankaty Dabo,eng ENG
db4ed67b,Mahmoud Dahoud,de GER
ca45605e,Patson Daka,zm ZAM
54e0c0cc,Vitalie Damașcan,md MDA
077b773d,Danny,pt POR
fd2bc67d,Dante,br BRA
6bff8a73,Fabio Daprelà,ch SUI
db7161ed,Palkó Dárdai,hu HUN
3eb0f2df,Vladimír Darida,cz CZE
12947ab7,Eli Dasa,il ISR
1bfdb73a,Ofir Davidzada,il ISR
9228b07c,Tom Davies,eng ENG
d60ffe68,William De Amorim,br BRA
e61c6efb,Davy De fauw,be BEL
441950f5,Gertjan De Mets,be BEL
518738b4,Nill De Pauw,cd COD
33332e0b,Julien De Sart,be BEL
92232aad,Mathieu Debuchy,fr FRA
6b6cbca4,Simon Deli,ci CIV
e7986081,Moussa Dembélé,fr FRA
54b4dc4e,Kerem Demirbay,de GER
85fd00dd,Besir Demiri,mk MKD
dc3fa3b5,Diego Demme,de GER
fbb23472,Igor Denisov,ru RUS
003d7410,Vitaliy Denisov,uz UZB
a7121625,Alex Denny,eng ENG
36d320ec,Maikel van der Werff,nl NED
b54ea609,Timothy Derijck,be BEL
c1a13650,Đorđe Despotović,rs SRB
951a4ee4,Davide Di Gennaro,it ITA
d2110326,Mouctar Diakhaby,gn GUI
302acf38,Raphael Dias Belloli,br BRA
bf309d24,Amadou Diawara,gn GUI
f4a8e2ed,Dame Diop,sn SEN
2f94b2a0,Bruno Dita,al ALB
64e801aa,Mitchell Donald,sr SUR
a4bd9edd,Antonio Donnarumma,it ITA
08f5afaa,Gianluigi Donnarumma,it ITA
6bfaecc4,Renan dos Santos,br BRA
dc90cfbe,Bas Dost,nl NED
4841ba80,Stanislav Dostál,cz CZE
e961d3ac,Douglas,br BRA
685857dc,Idrissa Doumbia,ci CIV
c49afee6,Seydou Doumbia,ci CIV
a5d101a9,Stanislaw Drahun,by BLR
60e86875,Sebastián Driussi,ar ARG
79ca3e23,Ondrej Duda,sk SVK
e0a1c004,Svetoslav Dyakov,bg BUL
134832c6,Adnan Džafić,ba BIH
4c45cdc2,Alan Dzagoev,ru RUS
448a3608,Artem Dzyuba,ru RUS
f0fc9d0e,Éder,pt POR
0562b7f1,Odsonne Édouard,fr FRA
b3b310f0,Wilson Eduardo,ao ANG
3480cb6b,Curtis Edwards,eng ENG
a0313275,Vegar Eggen Hedenstad,no NOR
1de2f2de,Dan Einbinder,il ISR
eafac393,Josip Elez,hr CRO
05cb19c5,Eljero Elia,nl NED
47a34c4f,Mohamed Elneny,eg EGY
77cf8da0,Dor Elo,il ISR
053f6e16,Yao Eloge Koffi,ci CIV
f7dc2ae5,Aritz Elustondo,es ESP
81fa2f75,Gabriel Enache,ro ROU
58dda688,Alexandru Epureanu,md MDA
7e925fa3,Alparslan Erdem,tr TUR
3b99b9e1,Mevlüt Erdinç,tr TUR
88b748d2,Nenad Erić,kz KAZ
1c78737d,Aleksandr Erokhin,ru RUS
12dcbdcc,Ricardo Esgaio,pt POR
b48215cd,Alexander Esswein,de GER
213ab9bb,Oscar Estupiñan,co COL
b037bd4f,Beñat Etxebarria,es ESP
4a895384,Xabier Etxeita,es ESP
d732f72c,Malick Evouna,ga GAB
51a3caf1,Patrice Evra,fr FRA
9243fea6,Imoh Ezekiel,ng NGA
762179d9,Rasmus Falk,dk DEN
c886b062,Jefferson Farfán,pe PER
0aeeed3f,Christian Fassnacht,ch SUI
5d13b8ab,Lassana Faye,nl NED
