id,Player,Nation
1b82f8df,Lukas Lerager,dk DEN
7d3cbc67,Mehdi Léris,dz ALG
d023d70f,Karol Linetty,pl POL
ff800ed8,Pol Lirola,es ESP
2648e18f,Adem Ljajić,rs SRB
a8a874f1,Manuel Locatelli,it ITA
921f6058,José Luis Palomino,ar ARG
3799e138,Everton Luiz,br BRA
0cd0e21b,Jordan Lukaku,be BEL
c6e8cf1f,Saša Lukić,rs SRB
7fd58fe3,Senad Lulić,ba BIH
997fff07,Sebastiano Luperto,it ITA
b5bf1770,Lyanco,br BRA
5efc5389,Charalambos Lykogiannis,gr GRE
ed6ea4d9,Darwin Machís,ve VEN
07767f42,Francesco Magnanelli,it ITA
cce9f582,Giangiacomo Magnani,it ITA
02febfdc,Raffaele Maiello,it ITA
3d936ba9,Domenico Maietta,it ITA
16b9d5cf,Nikola Maksimović,rs SRB
d6a889ea,Kévin Malcuit,ma MAR
5aa53281,Gianluca Mancini,it ITA
c7259b83,Rolando Mandragora,it ITA
afa0d4e0,Mario Mandžukić,hr CRO
c707411f,Kostas Manolas,gr GRE
7f50c23b,Juan Manuel Valencia,co COL
7a20d90a,Iván Marcano,es ESP
f794b426,Federico Marchetti,it ITA
8650af85,Gian Marco Ferrari,it ITA
f0021247,João Mário,pt POR
cdf65d12,Marlon,br BRA
f7036e1c,Lautaro Martínez,ar ARG
d4535821,Adam Marušić,me MNE
e0314d87,Andrea Masiello,it ITA
a6fc1a22,Luca Matarese,it ITA
58d97e77,Alessandro Matri,it ITA
fba81826,Federico Mattiello,it ITA
c0cddebe,Blaise Matuidi,fr FRA
644faf10,José Mauri,it ITA
30144daa,Stephy Mavididi,eng ENG
dc61b402,Luca Mazzitelli,it ITA
cfbf9881,Ibrahima Mbaye,sn SEN
54ab361e,Levan Mchedlidze,ge GEO
97e2aa67,Iuri Medeiros,pt POR
714ffae7,Nicky Medja,ch SUI
2ec0f902,Riccardo Meggiorini,it ITA
5cec2c74,Soualiho Meïté,fr FRA
9413b19f,Alex Meret,it ITA
89b2c8a9,Dries Mertens,be BEL
259deea9,Petar Mićin,rs SRB
bee704fc,Nikola Milenković,rs SRB
85613cf0,Arkadiusz Milik,pl POL
4e6dbac4,Sergej Milinković-Savić,rs SRB
9fa26bc2,Vanja Milinković-Savić,rs SRB
6817095b,Vincenzo Millico,it ITA
aa51343f,Kevin Mirallas,be BEL
314f2124,Miranda,br BRA
30223b33,Antonio Mirante,it ITA
331c0a43,Simone Missiroli,it ITA
1c8c5aed,Cristian Molinaro,it ITA
c4efe2b4,Gabriele Moncini,it ITA
dd52d069,Cristóbal Montiel,es ESP
55667895,Emiliano Moretti,it ITA
be6c1ccc,Samuel Mráz,sk SVK
e50613bd,Gianni Munari,it ITA
fb2c533b,Alessandro Murgia,it ITA
eb2fe5b6,Luis Muriel,co COL
d183e9d6,Nicola Murru,it ITA
91899ca8,Mateo Musacchio,ar ARG
a111cf41,Juan Musso,ar ARG
788b31e2,Ádám Nagy,hu HUN
1f9328da,Radja Nainggolan,be BEL
fcd20025,Angelo Ndrecka,al ALB
7ba2eaa9,Pedro Neto,pt POR
b136c945,Hans Nicolussi Caviglia,it ITA
cf961d8d,Dimitris Nikolaou,gr GRE
93cf32a8,Nicolas Nkoulou,cm CMR
e33f36d5,Bram Nuytinck,nl NED
c7526c18,Steven Nzonzi,fr FRA
df0a4c90,Christian Nørgaard,dk DEN
af45e954,Dimitri Oberlin,ch SUI
614c38fb,Joel Obi,ng NGA
75374ee7,Jens Odgaard,dk DEN
601ef102,Stefano Okaka,it ITA
905a4f61,Orji Okwonkwo,ng NGA
e7ee38c3,Robin Olsen,se SWE
72c803a0,Stephane Omeonga,be BEL
b871bf55,Nicholas Opoku,gh GHA
e14ec482,Riccardo Orsolini,it ITA
82b1198a,David Ospina,co COL
ed90babd,Adam Ounas,dz ALG
5eb72339,Simone Padoin,it ITA
e5b98a70,Luca Paganini,it ITA
5df4ef30,Marko Pajač,hr CRO
8d8178ac,Rodrigo Palacio,ar ARG
b5cae4e6,Alberto Paloschi,it ITA
d711d04f,Goran Pandev,mk MKD
9b6f7fd5,Lucas Paquetá,br BRA
75efed2e,Vittorio Parigini,it ITA
ed5886d2,Marco Parolo,it ITA
e599253a,Mario Pašalić,hr CRO
548902cc,Manuel Pasqual,it ITA
881ef58c,Javier Pastore,ar ARG
f7223718,Patric,es ESP
d37b0350,Leonardo Pavoletti,it ITA
42b1a58a,Nehuén Paz,ar ARG
81255c03,João Pedro,it ITA
f058ed1f,Gianluca Pegolo,it ITA
4a5a45c7,Lorenzo Pellegrini,it ITA
3b61c9ec,Luca Pellegrini,it ITA
878ee034,Sergio Pellissier,it ITA
4f2908e5,Federico Peluso,it ITA
7afb1573,Pepín,gq EQG
c77be0cf,Pedro Pereira,pt POR
269b4638,Stipe Perica,hr CRO
4c62d0c8,Mattia Perin,it ITA
6fe90922,Ivan Perišić,hr CRO
a40d5a0c,Diego Perotti,ar ARG
780e3631,Matteo Pessina,it ITA
03f946ed,Andrea Petagna,it ITA
8c725b43,Germán Pezzella,ar ARG
149c5f5d,Giuseppe Pezzella,it ITA
17f3620a,Krzysztof Piątek,pl POL
f201798c,Lucas Piazon,br BRA
1cadaf34,Roberto Piccoli,it ITA
08aa9cd1,Andrea Pinamonti,it ITA
f6a06749,Carlo Pinsoglio,it ITA
56400c01,Fabio Pisacane,it ITA
2c38b327,Marko Pjaca,hr CRO
ad6df2d5,Miralem Pjanić,ba BIH
b3fd7075,Andrea Poli,it ITA
5e861944,Matteo Politano,it ITA
07f55871,Giacomo Poluzzi,it ITA
c8c0dccd,Manolo Portanova,it ITA
86695068,Dennis Praet,be BEL
c8a88acd,Silvio Proto,be BEL
277da414,Ivan Provedel,it ITA
a1c7b425,Manuel Pucciarelli,it ITA
4611e028,Erick Pulgar,cl CHI
62437b4f,Ignacio Pussetto,ar ARG
