id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
86b30561,2,78,0,1,0,1,5,1,1,1,0,0.2,2.4,-2.2,0,0,0,0
86e119e0,29,2454,27,28,26,1,1,0,30,37,-7,28.3,41.5,-13.2,0,0,0,0
8778c910,3,270,3,3,3,0,0,2,6,2,4,7.2,1.7,5.5,270,3,3,3
87ebfdb8,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
88d4144a,11,424,4,5,2,6,6,1,4,3,1,5.8,4.4,1.4,0,0,0,0
88e357ef,22,1507,16,20,6,2,0,1,37,20,17,25.9,20.8,5.0,0,0,0,0
8954fddc,2,52,0,0,0,2,1,1,1,1,0,0.1,0.1,0.0,0,0,0,0
89565ac5,18,1491,16,17,14,1,1,1,24,32,-8,27.7,22.5,5.2,0,0,0,0
896c126c,5,450,5,5,5,0,6,0,5,10,-5,6.7,13.6,-6.8,0,0,0,0
89ac64a6,11,904,10,10,10,1,4,1,15,15,0,17.8,14.6,3.1,0,0,0,0
8b6e0db2,7,463,5,5,3,2,17,1,6,5,1,9.7,6.7,3.0,0,0,0,0
8bdcb6fd,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
8be4fd6a,14,669,7,6,2,8,1,0,10,12,-2,7.0,11.0,-4.0,0,0,0,0
8c90fd7a,12,287,3,3,2,9,11,0,2,5,-3,3.9,3.5,0.4,0,0,0,0
8d64d363,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
8d78e732,30,2172,24,24,20,6,3,2,64,21,43,58.5,21.6,37.0,0,0,0,0
8e235926,32,2527,28,30,19,2,1,1,37,39,-2,38.3,32.6,5.7,0,0,0,0
8e58987d,19,1036,11,12,7,7,10,1,13,14,-1,13.5,14.0,-0.5,0,0,0,0
8e92be30,5,119,1,1,0,4,15,1,2,0,2,3.7,0.9,2.8,0,0,0,0
8ed9b33a,11,951,10,11,9,0,0,1,10,12,-2,9.7,13.8,-4.0,0,0,0,0
8f0f2230,22,855,9,8,5,14,5,1,14,9,5,13.8,10.7,3.1,0,0,0,0
8ff2354e,15,1178,13,14,12,1,1,1,21,21,0,20.8,18.3,2.4,0,0,0,0
9050ddc4,23,1664,18,19,11,4,5,1,21,22,-1,22.5,20.8,1.7,0,0,0,0
923f4dda,15,851,9,8,6,7,2,0,10,20,-10,13.9,20.0,-6.1,0,0,0,0
92948149,19,1336,14,14,10,5,3,0,10,26,-16,19.4,28.8,-9.4,0,0,0,0
92ffb8f9,4,213,2,3,1,1,5,1,0,3,-3,1.2,2.7,-1.5,0,0,0,0
931b7c30,29,2610,29,29,28,0,1,1,25,43,-18,32.8,45.1,-12.4,0,0,0,0
9321b8ed,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
94302c52,5,450,5,5,5,0,1,0,7,11,-4,5.9,9.0,-3.1,0,0,0,0
94c18565,30,1712,19,19,4,11,3,1,18,21,-3,19.4,22.1,-2.7,0,0,0,0
95173427,2,180,2,2,2,0,2,3,7,1,6,3.4,2.4,1.0,0,0,0,0
97655ccd,31,2614,29,30,25,1,1,1,29,38,-9,29.1,42.8,-13.7,0,0,0,0
97bfa797,25,1266,14,14,2,11,6,1,35,19,16,22.9,18.9,4.0,0,0,0,0
9853983f,24,1609,17,18,6,6,1,0,14,26,-12,18.4,25.9,-7.5,0,0,0,0
99b7584f,30,1888,21,21,12,9,2,1,25,33,-8,26.3,38.2,-11.9,0,0,0,0
99be8fb5,11,205,2,2,0,9,6,0,0,5,-5,2.2,3.3,-1.1,0,0,0,0
99cf1943,0,0,0,0,0,0,13,0,0,0,0,0.0,0.0,0.0,0,0,0,0
99d6044d,1,50,0,1,0,0,3,0,0,2,-2,0.2,1.2,-0.9,0,0,0,0
99de6b6f,27,2315,25,27,23,0,0,1,49,34,15,35.4,35.9,-0.6,0,0,0,0
99f7e9aa,25,1941,21,21,19,4,6,1,20,36,-16,25.7,27.4,-1.7,0,0,0,0
9a2e0ccc,21,1370,15,15,6,6,1,1,23,27,-4,24.0,19.4,4.5,0,0,0,0
9a493fb7,12,789,8,8,5,4,4,0,13,22,-9,10.2,15.0,-4.8,0,0,0,0
9ab16552,24,2090,23,23,22,1,1,1,32,32,0,31.3,29.6,1.8,0,0,0,0
9ab48bde,25,1652,18,20,11,5,7,1,22,25,-3,19.5,23.1,-3.6,0,0,0,0
9af1f9ff,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
9b285700,13,449,5,5,1,8,4,1,5,6,-1,8.6,8.7,-0.1,0,0,0,0
9b688ae1,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
9b88e120,16,956,10,12,9,4,18,1,6,16,-10,9.8,13.2,-3.4,0,0,0,0
9caae30d,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
9d12e142,33,2969,33,33,32,0,0,1,60,43,17,63.6,41.1,22.5,2969,33,33,33
