id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
2a657da0,3,0,0,29,37,5,0,0,0
2ab14aaa,0,0,0,2,7,0,0,0,0
2acf0cd7,7,1,0,30,20,1,0,0,0
2aeb43f1,0,0,0,0,0,0,0,0,0
2b1bed19,7,1,0,38,33,0,0,1,0
2b5a35e5,0,0,0,1,6,0,0,0,0
2b9b37b2,0,0,0,1,0,0,0,1,0
2b9fdeea,5,0,0,25,53,7,0,1,0
2c127b6f,0,0,0,0,0,0,0,0,0
2d22cea7,4,0,0,23,37,8,1,0,0
2d70dbe5,1,0,0,0,0,0,0,0,0
2d9f280e,0,0,0,1,0,0,0,0,0
2fa2a875,1,0,0,1,3,0,0,1,0
3010aefb,5,0,0,48,36,2,1,0,0
30144daa,3,0,0,31,33,3,1,0,0
3043d33f,5,1,0,15,18,1,0,1,0
3071a619,2,0,0,11,16,3,0,0,0
309937e7,1,0,0,1,4,0,0,0,0
30af8b93,0,0,0,9,12,4,1,0,0
31626657,5,0,0,44,37,0,1,0,0
31a62dc7,8,0,0,56,15,2,0,0,1
3225654e,0,0,0,1,1,0,0,0,0
329e7a13,0,0,0,0,0,0,0,0,0
32c2d95f,4,1,0,37,22,0,0,1,0
32f3d97e,2,0,0,8,41,0,0,0,0
33508c78,2,0,0,14,12,0,0,0,0
33887998,0,0,0,0,0,0,0,0,0
3423f250,0,0,0,6,12,0,0,0,0
34e4343c,1,0,0,5,2,0,0,0,0
3544641e,0,0,0,7,4,1,0,0,0
3681cfff,4,0,0,19,16,1,0,0,1
3708e9fa,2,0,0,19,13,3,0,0,0
375622c5,6,0,0,52,34,0,0,0,0
380a15e2,0,0,0,0,4,0,0,0,0
3814120d,0,0,0,1,1,0,0,0,1
39c0c75b,0,0,0,1,0,0,0,0,0
3befc2b6,3,1,0,32,25,0,0,1,0
3c6bbbab,9,0,0,43,57,3,0,1,0
3cd7820a,8,0,0,35,28,0,0,0,0
3d50bcdb,4,0,0,33,6,5,0,0,0
3dd738a1,6,0,0,39,36,1,1,0,0
3ef0fa48,3,0,0,23,36,5,2,0,0
3ef68782,2,0,0,20,41,16,0,0,0
3f5b4635,4,0,0,29,25,0,0,1,0
4047c976,1,1,0,14,17,1,0,0,0
40774c6b,0,0,0,2,2,3,1,0,0
414e1f69,0,0,0,6,5,0,0,0,0
41e7ef1c,4,1,0,33,7,1,1,0,0
42dcf26d,14,0,0,31,30,2,1,1,0
42eaa028,0,0,0,13,23,6,0,0,0
42fd9c7f,5,0,0,23,38,17,4,0,0
433dc9a2,2,0,0,6,1,0,0,0,0
436a9dd0,6,0,0,32,16,0,0,0,0
43b78598,1,0,0,9,11,6,2,0,0
43e7a164,8,0,0,50,36,2,0,2,0
44f8c299,4,1,0,36,19,3,0,1,0
450e277f,3,0,0,16,2,0,0,0,0
45bb4303,1,0,0,2,3,0,0,0,0
45c1c326,5,0,0,25,25,2,0,1,0
462475ed,5,0,0,38,46,12,2,0,0
46359159,1,0,0,16,11,1,0,0,0
46750e9c,3,0,0,26,59,3,1,1,0
468fdbad,3,0,0,10,4,0,0,0,0
46907171,0,0,0,8,19,2,0,0,0
469d3d84,1,0,0,18,7,7,0,0,0
46a7b605,0,0,0,2,2,0,0,0,0
46faabfa,0,0,0,11,12,3,1,0,0
475583ff,1,0,0,13,17,0,0,0,0
47af88b8,1,0,0,21,6,0,0,0,0
47c609d5,4,0,0,42,13,11,0,0,0
48b28bfd,9,0,0,50,33,0,0,0,0
49070d66,1,0,0,4,4,0,0,0,0
49136c42,3,1,0,18,36,0,0,2,1
4914ed4a,1,0,0,5,7,0,0,1,0
4a537185,0,0,0,0,0,0,0,0,0
4a57580c,0,0,0,7,9,0,0,0,0
4a987ffa,2,0,0,23,18,1,2,0,0
4b6960d2,2,0,0,12,13,3,0,0,1
4b96c347,4,0,0,29,133,3,0,0,0
4bd00a50,2,0,0,6,1,0,0,0,0
4be0b467,2,0,0,22,35,5,1,0,0
4bf69118,4,0,0,15,17,0,0,0,0
4c4ffacc,2,0,0,12,1,0,0,1,0
4c5b714f,3,0,0,32,22,1,0,1,0
