id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
b19db005,2,2,1,1,0,2,5,3,4,0,4,0,2,0,1,14
b233e8e4,37,20,30,6,1,18,27,9,13,9,4,20,57,74,2,84
b2d03887,18,10,5,10,3,7,18,11,8,3,5,15,33,12,0,78
b2d0ec1b,28,17,10,13,5,10,28,18,11,1,10,2,30,5,0,67
b333b014,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
b35db3f6,1,0,0,1,0,1,10,9,4,0,4,2,3,4,0,13
b39a793e,9,4,4,5,0,3,10,7,4,0,4,2,11,5,0,17
b418dbd4,57,37,19,26,12,16,76,60,46,6,40,24,81,44,0,94
b4a014b1,35,23,25,9,1,15,25,10,33,24,9,37,72,176,1,182
b579e83d,12,4,5,7,0,7,12,5,10,1,9,11,23,4,1,43
b5bdf144,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
b5dd3469,43,19,27,16,0,15,46,31,21,4,17,23,66,24,0,151
b6e50615,48,35,32,15,1,21,40,19,26,4,22,30,78,73,1,211
b742cc0d,62,34,39,23,0,27,54,27,45,24,21,35,97,127,0,152
b7c99b9b,21,15,15,6,0,16,30,14,24,18,6,37,58,131,1,134
b7ca5c51,22,14,17,2,3,15,25,10,36,29,7,48,70,151,3,158
b7de5bad,13,5,8,4,1,7,20,13,10,0,10,21,34,31,0,84
b7f2edff,22,15,14,6,2,13,15,2,13,4,9,13,35,32,0,34
b857bd29,31,21,24,7,0,13,19,6,31,26,5,22,53,112,1,126
b86a64b2,30,24,17,10,3,9,30,21,14,10,4,32,62,57,0,77
b8a642fc,23,14,12,6,5,13,30,17,15,1,14,10,33,14,1,126
b8c1de25,62,38,25,35,2,22,54,32,27,3,24,20,82,20,1,120
b92b456a,1,0,0,1,0,0,8,8,3,1,2,2,3,2,0,24
ba3ca78f,1,1,1,0,0,1,1,0,0,0,0,0,1,2,0,12
