id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
375ed9d7,1,1,0,1,0,0,0,0,0,0,0,1,2,3,0
379652be,11,5,4,4,3,3,13,10,4,1,3,1,12,10,0
37e103f8,25,19,11,13,1,15,38,23,24,2,22,4,29,20,1
37f1cf47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37f827ec,36,20,24,11,1,15,24,9,38,27,11,28,64,110,3
38126309,4,1,0,4,0,2,4,2,0,0,0,0,4,0,0
38699c72,8,4,2,3,3,5,18,13,16,2,14,2,10,7,0
38b0cf42,2,1,0,1,1,1,2,1,1,0,1,0,2,0,0
38ce1150,33,15,14,11,8,10,51,41,11,1,10,12,45,13,0
3902e91b,29,16,10,15,4,16,36,20,21,8,13,7,36,22,0
3a58d075,4,3,2,1,1,2,6,4,3,0,3,4,8,5,0
3a9c4b7b,83,47,49,25,9,39,77,38,32,14,18,58,141,79,0
3aa4a3be,7,5,2,3,2,1,13,12,11,1,10,2,9,9,0
3aa74860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b3cbebb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ca6106c,24,12,9,12,3,12,32,20,14,4,10,7,31,10,1
3cefcaef,24,14,11,10,3,8,14,6,8,2,6,18,42,27,3
3d688b46,6,3,3,2,1,3,7,4,7,3,4,4,10,6,1
3d7e48ce,33,15,21,10,2,15,44,29,12,0,12,8,41,17,0
3e42f707,28,14,15,11,2,12,22,10,27,21,6,52,80,168,0
3ecc11d8,24,14,15,8,1,10,18,8,21,16,5,45,69,97,0
3ee0dd59,52,25,19,30,3,22,44,22,30,13,17,49,101,48,1
3eed9821,2,2,2,0,0,1,2,1,1,1,0,0,2,4,0
3f10bd22,18,13,11,5,2,9,17,8,15,2,13,17,35,26,1
3f2d59fe,9,6,6,3,0,5,9,4,6,3,3,15,24,40,0
3f79a1c8,30,14,9,20,1,13,34,21,27,2,25,21,51,28,0
3fc45c73,28,13,18,7,3,14,23,9,22,10,12,39,67,143,0
405f267a,20,10,9,8,3,8,20,12,17,2,15,6,26,11,0
40883e3a,5,3,4,0,1,0,1,1,4,0,4,7,12,11,0
4112ace5,26,11,11,9,6,8,42,34,31,13,18,19,45,22,0
411fabd7,4,1,4,0,0,1,2,1,0,0,0,0,4,1,0
41b3069f,17,10,12,5,0,8,13,5,7,2,5,16,33,63,1
41c12f75,79,47,39,34,6,40,69,29,45,4,41,55,134,67,1
41f32541,24,17,14,9,1,12,33,21,21,13,8,29,53,32,2
42a028c5,7,4,2,4,1,4,5,1,1,0,1,3,10,1,0
43f71e77,4,2,2,1,1,2,18,16,13,2,11,6,10,11,0
44150beb,6,4,4,2,0,3,3,0,6,4,2,6,12,18,0
4442fbcd,3,2,2,1,0,0,1,1,2,0,2,2,5,1,0
452c3055,12,10,3,6,3,1,7,6,21,2,19,3,15,4,0
4535e4bb,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
45af8a54,12,8,6,4,2,4,18,14,8,1,7,12,24,6,1
