id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
2ff76adc,11,5,9,2,0,7,12,5,10,1,9,3,14,11,0
441197b8,27,13,13,11,3,15,28,13,28,6,22,29,56,57,0
f35430a4,26,16,17,9,0,14,17,3,28,16,12,22,48,79,0
8778c910,2,1,1,0,1,2,4,2,0,0,0,0,2,15,4
36a59ba4,42,23,13,22,7,12,54,42,24,4,20,27,69,8,0
bc249af8,2,2,1,1,0,2,2,0,2,0,2,0,2,1,0
00242715,35,22,29,6,0,16,29,13,40,26,14,40,75,124,4
226ddf9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d6862409,21,13,7,9,5,4,21,17,21,5,16,8,29,38,0
7c56da38,21,13,4,11,6,9,33,24,25,2,23,20,41,8,0
0cc5f4a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6cafd68d,4,1,3,1,0,3,7,4,17,12,5,13,17,45,0
afb0c500,0,0,0,0,0,0,0,0,0,0,0,2,2,9,6
93a50d2c,14,7,12,1,1,9,19,10,16,12,4,25,39,54,0
d1661819,72,50,42,21,9,36,62,26,35,6,29,37,109,68,0
1d1691ad,2,2,1,0,1,2,3,1,1,0,1,1,3,2,0
1151fb6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7124239e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b53f7a5,11,7,5,5,1,3,11,8,9,0,9,6,17,1,0
ae44e8e2,20,14,5,10,5,1,13,12,7,1,6,4,24,6,0
f26834c7,27,19,6,10,11,5,13,8,20,3,17,7,34,11,0
20030c06,20,12,13,7,0,12,20,8,14,3,11,16,36,52,1
f69fba57,29,16,5,19,5,3,29,26,10,1,9,6,35,13,1
1cbe4984,21,16,11,9,1,10,13,3,12,2,10,9,30,11,0
8b6e0db2,7,4,2,4,1,2,8,6,8,5,3,5,12,10,1
66385c46,28,19,13,12,3,12,35,23,27,1,26,9,37,14,2
962e54cb,9,5,1,4,4,3,13,10,9,1,8,1,10,11,0
e82adcab,8,7,4,4,0,2,5,3,2,0,2,1,9,0,0
3acad81a,11,6,5,6,0,5,10,5,14,8,6,12,23,17,0
53070b63,4,3,3,1,0,1,2,1,5,1,4,1,5,0,0
45a03961,34,22,15,10,9,16,28,12,28,10,18,52,86,60,0
0a1cb833,1,0,1,0,0,1,2,1,1,0,1,5,6,11,3
582a5247,4,2,3,0,1,2,6,4,3,1,2,2,6,0,0
c18d22f5,14,7,7,3,4,8,20,12,11,4,7,7,21,31,0
c41f7379,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6fe90922,16,12,5,6,5,8,33,25,14,3,11,4,20,8,0
c89e8aae,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
f93e6e94,19,14,7,9,3,10,28,18,32,6,26,10,29,67,0
17f3620a,5,4,1,1,3,0,11,11,7,0,7,5,10,3,0
64ba07c0,16,10,9,6,1,7,13,6,7,0,7,8,24,31,1
fe2db476,45,32,27,16,2,28,50,22,27,11,16,26,71,47,1
54b6ee79,2,1,0,1,1,0,1,1,2,0,2,2,4,2,0
f7aa75bd,18,12,13,4,1,12,17,5,18,7,11,11,29,47,0
bc6bd723,16,7,5,6,5,8,28,20,21,2,19,9,25,7,0
1748c9f7,4,2,2,2,0,0,1,1,0,0,0,0,4,1,0
ea003d07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3745e8bd,2,2,0,1,1,1,3,2,2,0,2,1,3,1,0
2a6cd437,14,9,11,2,1,9,10,1,11,7,4,19,33,21,1
7f609bfc,63,34,35,27,1,35,63,28,57,25,32,40,103,101,1
d2416c2e,14,10,2,10,2,4,21,17,12,0,12,4,18,15,0
8a080a61,43,22,21,17,5,17,58,41,34,6,28,14,57,20,1
924f9191,14,11,6,6,2,7,19,12,10,2,8,14,28,9,0
74c7c2db,25,17,15,7,3,11,32,21,27,5,22,11,36,8,0
791af558,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0
867501bf,18,9,4,9,5,7,24,17,11,1,10,7,25,1,0
bd992863,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
6c6a3300,21,14,13,6,2,9,33,24,15,2,13,6,27,16,1
536cebe5,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
16b4260e,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
b1823b08,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0
e881ed15,6,3,2,3,1,3,13,10,8,1,7,9,15,12,0
3376a776,16,10,10,6,0,3,6,3,23,15,8,18,34,44,0
4bd00a50,6,3,4,2,0,1,4,3,2,0,2,2,8,2,0
36a3ff67,26,16,5,11,10,3,19,16,17,2,15,9,35,11,0
1ae836b1,16,12,9,5,2,5,13,8,7,0,7,3,19,4,0
7fa4e703,6,2,1,5,0,1,4,3,3,0,3,0,6,2,0
607d64c6,1,0,1,0,0,0,3,3,1,0,1,1,2,1,0
0a3d6d2b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
f972644c,21,16,7,9,5,14,51,37,15,0,15,24,45,17,0
140afefb,3,2,3,0,0,1,1,0,1,0,1,1,4,1,0
ce2c51c0,7,5,5,2,0,4,9,5,7,0,7,8,15,3,0
e12b0b5b,58,33,27,27,4,17,59,42,32,5,27,34,92,13,0
