id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
c83c203f,15.0,9,4.0,9.0,2.0,10.0,20.0,10.0,17.0,3.0,14.0,12,27.0,14.0,0.0
d995ed27,33.0,17,12.0,16.0,5.0,21.0,46.0,25.0,20.0,2.0,18.0,14,47.0,9.0,1.0
bf57eaab,24.0,12,9.0,8.0,7.0,6.0,25.0,19.0,17.0,1.0,16.0,6,30.0,7.0,0.0
fb77bfef,25.0,16,16.0,7.0,2.0,13.0,14.0,1.0,22.0,7.0,15.0,16,41.0,35.0,0.0
52ec54d0,14.0,5,4.0,10.0,0.0,8.0,13.0,5.0,22.0,17.0,5.0,26,40.0,82.0,0.0
0d077b88,5.0,1,2.0,3.0,0.0,3.0,11.0,8.0,7.0,6.0,1.0,3,8.0,10.0,0.0
ae94a6c5,1.0,1,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1,2.0,0.0,0.0
d4a2533d,9.0,5,5.0,1.0,3.0,3.0,21.0,18.0,16.0,1.0,15.0,4,13.0,7.0,1.0
5fd5ed86,49.0,24,27.0,22.0,0.0,18.0,28.0,10.0,54.0,23.0,31.0,105,154.0,137.0,0.0
33b8d077,77.0,45,34.0,35.0,8.0,34.0,68.0,34.0,28.0,10.0,18.0,37,114.0,36.0,2.0
59f2d958,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0
4ae67f27,20.0,9,9.0,8.0,3.0,9.0,13.0,4.0,12.0,6.0,6.0,31,51.0,44.0,0.0
4a0b7f07,53.0,28,27.0,20.0,6.0,28.0,63.0,35.0,45.0,13.0,32.0,21,74.0,30.0,1.0
e34e086c,2.0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,3.0,1.0,0.0
dd86e8e4,15.0,6,8.0,4.0,3.0,8.0,8.0,0.0,7.0,2.0,5.0,8,23.0,9.0,0.0
e94d79e3,13.0,7,5.0,5.0,3.0,4.0,12.0,8.0,12.0,3.0,9.0,14,27.0,21.0,0.0
93b891d1,3.0,3,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,3.0,4.0,0.0
93b891d1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
2146785a,62.0,37,31.0,23.0,8.0,37.0,72.0,35.0,25.0,5.0,20.0,23,85.0,40.0,1.0
aded8e6f,1.0,0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2,3.0,4.0,0.0
aded8e6f,5.0,4,2.0,2.0,1.0,1.0,5.0,4.0,3.0,0.0,3.0,3,8.0,1.0,0.0
ac7e640b,48.0,28,30.0,15.0,3.0,20.0,34.0,14.0,49.0,37.0,12.0,62,110.0,147.0,1.0
cd0fa27b,41.0,23,16.0,19.0,6.0,11.0,40.0,29.0,29.0,5.0,24.0,25,66.0,12.0,0.0
78841da9,15.0,6,6.0,6.0,3.0,13.0,31.0,18.0,6.0,0.0,6.0,3,18.0,1.0,1.0
247ed022,46.0,20,28.0,14.0,4.0,18.0,32.0,14.0,33.0,8.0,25.0,23,69.0,37.0,1.0
b6a1cdf9,4.0,4,2.0,2.0,0.0,0.0,5.0,5.0,2.0,0.0,2.0,1,5.0,0.0,0.0
356c9002,27.0,16,9.0,11.0,7.0,19.0,55.0,36.0,23.0,2.0,21.0,33,60.0,19.0,0.0
07ea0ef2,3.0,1,0.0,3.0,0.0,1.0,4.0,3.0,8.0,4.0,4.0,0,3.0,2.0,0.0
54e53b7e,43.0,25,10.0,22.0,11.0,17.0,51.0,34.0,32.0,0.0,32.0,4,47.0,7.0,0.0
5bd72174,5.0,2,1.0,3.0,1.0,1.0,6.0,5.0,5.0,0.0,5.0,2,7.0,10.0,0.0
5bd72174,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
f7e2af2c,53.0,24,33.0,16.0,4.0,19.0,42.0,23.0,42.0,15.0,27.0,27,80.0,87.0,0.0
3f5f38fb,46.0,30,25.0,19.0,2.0,21.0,37.0,16.0,31.0,12.0,19.0,49,95.0,95.0,0.0
96960855,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
130a7a3f,4.0,2,0.0,2.0,2.0,1.0,8.0,7.0,4.0,1.0,3.0,2,6.0,1.0,0.0
0728bebe,25.0,17,15.0,6.0,4.0,12.0,23.0,11.0,18.0,4.0,14.0,11,36.0,6.0,0.0
ba3d3bea,36.0,17,15.0,17.0,4.0,12.0,38.0,26.0,24.0,12.0,12.0,17,53.0,19.0,1.0
4d1efb48,55.0,31,33.0,18.0,4.0,25.0,36.0,11.0,45.0,32.0,13.0,30,85.0,143.0,0.0
d9624b51,32.0,16,19.0,10.0,3.0,19.0,33.0,14.0,13.0,8.0,5.0,50,82.0,76.0,1.0
98a84572,1.0,1,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0
7d50454d,23.0,12,13.0,10.0,0.0,16.0,27.0,11.0,21.0,14.0,7.0,25,48.0,54.0,0.0
eade5337,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ae7058f9,12.0,10,8.0,4.0,0.0,8.0,10.0,2.0,7.0,4.0,3.0,9,21.0,28.0,1.0
e85fb9b8,22.0,13,17.0,4.0,1.0,7.0,13.0,6.0,24.0,18.0,6.0,22,44.0,59.0,0.0
b0f7e36c,26.0,19,9.0,9.0,8.0,12.0,26.0,14.0,7.0,0.0,7.0,4,30.0,3.0,0.0
c316607a,28.0,15,19.0,9.0,0.0,10.0,21.0,11.0,34.0,21.0,13.0,41,69.0,71.0,4.0
da77b60b,8.0,3,4.0,3.0,1.0,2.0,6.0,4.0,1.0,0.0,1.0,2,10.0,2.0,0.0
ee3c4b3f,1.0,0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0,1.0,0.0,0.0
e4ba67f2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0
bf356094,6.0,1,3.0,2.0,1.0,1.0,7.0,6.0,8.0,0.0,8.0,3,9.0,2.0,0.0
8b95acda,47.0,36,32.0,14.0,1.0,22.0,32.0,10.0,31.0,19.0,12.0,80,127.0,135.0,2.0
8cabdc1e,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,23.0,3.0
8fef5412,4.0,2,2.0,1.0,1.0,3.0,6.0,3.0,4.0,0.0,4.0,7,11.0,4.0,0.0
8fef5412,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
22ae86f9,8.0,4,4.0,4.0,0.0,3.0,3.0,0.0,5.0,1.0,4.0,4,12.0,5.0,0.0
45b9b619,11.0,5,2.0,6.0,3.0,1.0,13.0,12.0,8.0,1.0,7.0,3,14.0,2.0,0.0
85a44ecc,58.0,32,29.0,26.0,3.0,24.0,62.0,38.0,40.0,13.0,27.0,22,80.0,27.0,0.0
c976160c,15.0,12,8.0,5.0,2.0,7.0,20.0,13.0,9.0,0.0,9.0,11,26.0,9.0,0.0
f554e29b,3.0,3,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1,4.0,14.0,1.0
35dd6d80,37.0,21,19.0,14.0,4.0,16.0,25.0,9.0,22.0,12.0,10.0,39,76.0,57.0,0.0
16657b95,79.0,39,31.0,39.0,9.0,37.0,69.0,32.0,31.0,5.0,26.0,40,119.0,45.0,0.0
22cd43d2,21.0,13,7.0,11.0,3.0,11.0,29.0,18.0,27.0,8.0,19.0,24,45.0,42.0,0.0
8c964914,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0ab1f153,48.0,23,30.0,13.0,5.0,30.0,55.0,25.0,23.0,5.0,18.0,29,77.0,34.0,0.0
5722eced,23.0,9,7.0,12.0,4.0,10.0,28.0,18.0,14.0,0.0,14.0,12,35.0,5.0,0.0
a4fe8cda,5.0,2,0.0,3.0,2.0,1.0,9.0,8.0,11.0,1.0,10.0,5,10.0,1.0,0.0
44eb9093,30.0,15,21.0,8.0,1.0,11.0,22.0,11.0,21.0,10.0,11.0,8,38.0,20.0,0.0
215f3907,27.0,13,12.0,11.0,4.0,20.0,36.0,16.0,16.0,1.0,15.0,7,34.0,7.0,0.0
94b2001f,37.0,26,20.0,13.0,4.0,18.0,28.0,10.0,21.0,12.0,9.0,32,69.0,53.0,1.0
cf043a33,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,1.0
96e0490d,32.0,16,17.0,9.0,6.0,16.0,41.0,25.0,16.0,1.0,15.0,19,51.0,25.0,0.0
16bb656a,30.0,18,16.0,10.0,4.0,16.0,25.0,9.0,14.0,11.0,3.0,21,51.0,53.0,0.0
952a03fe,5.0,1,4.0,1.0,0.0,1.0,9.0,8.0,6.0,5.0,1.0,1,6.0,9.0,0.0
7f9d956a,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ae4e2852,24.0,12,7.0,9.0,8.0,11.0,24.0,13.0,10.0,0.0,10.0,10,34.0,30.0,0.0
e74f0e59,23.0,14,13.0,8.0,2.0,9.0,31.0,22.0,25.0,7.0,18.0,26,49.0,52.0,0.0
854ee61a,15.0,9,4.0,8.0,3.0,6.0,16.0,10.0,11.0,1.0,10.0,4,19.0,11.0,0.0
7f267d66,47.0,22,15.0,25.0,7.0,23.0,58.0,35.0,28.0,10.0,18.0,26,73.0,45.0,0.0
d2e8fd9b,6.0,4,4.0,2.0,0.0,5.0,14.0,9.0,6.0,2.0,4.0,4,10.0,14.0,0.0
e3cceee6,31.0,17,18.0,12.0,1.0,15.0,28.0,13.0,26.0,14.0,12.0,58,89.0,68.0,1.0
dc3fa3b5,21.0,12,4.0,13.0,4.0,10.0,21.0,11.0,11.0,2.0,9.0,9,30.0,2.0,0.0
d97f2e8d,12.0,7,6.0,4.0,2.0,1.0,7.0,6.0,9.0,2.0,7.0,8,20.0,14.0,0.0
d97f2e8d,3.0,1,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1,4.0,2.0,0.0
d7d32194,9.0,4,1.0,4.0,4.0,1.0,6.0,5.0,14.0,1.0,13.0,2,11.0,16.0,0.0
39583cfd,11.0,6,2.0,3.0,6.0,7.0,29.0,22.0,14.0,0.0,14.0,9,20.0,4.0,0.0
e921b9db,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0
ef94dc2f,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1fca9171,16.0,5,2.0,8.0,6.0,9.0,23.0,14.0,17.0,1.0,16.0,9,25.0,11.0,0.0
230a2fac,58.0,36,30.0,20.0,8.0,33.0,58.0,25.0,28.0,10.0,18.0,38,96.0,46.0,1.0
35a2557c,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,1.0,0.0,0.0
b5c3ff9f,17.0,7,5.0,10.0,2.0,9.0,25.0,16.0,16.0,8.0,8.0,22,39.0,25.0,0.0
bf309d24,7.0,2,5.0,2.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,0,7.0,1.0,0.0
407feb71,23.0,17,3.0,11.0,9.0,8.0,22.0,14.0,11.0,0.0,11.0,8,31.0,4.0,0.0
0a3065c8,15.0,6,6.0,6.0,3.0,5.0,12.0,7.0,11.0,2.0,9.0,3,18.0,10.0,1.0
970b8574,28.0,15,10.0,15.0,3.0,13.0,24.0,11.0,6.0,1.0,5.0,19,47.0,19.0,0.0
2110f96c,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
933d3b51,48.0,29,21.0,23.0,4.0,14.0,18.0,4.0,20.0,9.0,11.0,34,82.0,60.0,0.0
6eee05f1,43.0,24,21.0,20.0,2.0,29.0,46.0,17.0,21.0,11.0,10.0,31,74.0,56.0,0.0
20b3a502,76.0,45,36.0,32.0,8.0,32.0,76.0,44.0,38.0,9.0,29.0,32,108.0,34.0,1.0
085e71a7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,2.0
620922ed,4.0,3,2.0,2.0,0.0,2.0,6.0,4.0,8.0,4.0,4.0,10,14.0,33.0,0.0
