id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
6523afa4,1,1,0,1,0,0,0,0,3,1,2,5,6,4,1,5
652811aa,38,25,22,13,3,20,39,19,27,10,17,37,75,54,1,118
66a9470c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
674cfc5a,64,40,28,26,10,22,54,32,29,3,26,21,85,17,0,101
67f649be,0,0,0,0,0,0,2,2,0,0,0,1,1,7,1,10
6817095b,1,0,1,0,0,1,3,2,2,0,2,0,1,1,0,4
68252d6d,26,19,7,10,9,7,28,21,9,0,9,9,35,4,0,81
6928979a,36,21,14,15,7,8,37,29,20,5,15,14,50,14,0,147
6a189491,10,7,5,3,2,4,5,1,12,7,5,1,11,22,0,26
6aafdc27,26,19,18,6,2,10,21,11,32,23,9,30,56,65,1,61
6c1f7328,9,6,2,2,5,2,10,8,8,2,6,2,11,1,0,31
6ca663b4,1,0,0,1,0,0,4,4,2,0,2,1,2,4,0,13
6cc97b6a,10,4,7,3,0,5,13,8,5,2,3,19,29,9,1,33
6e058f06,8,6,5,2,1,3,4,1,5,0,5,1,9,0,0,12
6e4df551,27,13,5,13,9,13,45,32,24,0,24,17,44,6,1,164
6eee05f1,42,23,17,23,2,22,39,17,21,14,7,49,91,92,0,199
6f5ead86,61,31,25,31,5,30,112,82,53,11,42,50,111,51,1,153
718b8afd,17,9,9,5,3,6,13,7,17,2,15,4,21,18,1,49
71dc23da,31,16,15,13,3,18,35,17,17,2,15,9,40,42,1,97
72be9309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
73ddc40c,4,3,0,3,1,1,4,3,9,6,3,3,7,9,0,12
74419746,1,1,1,0,0,0,1,1,0,0,0,0,1,8,3,36
756959aa,19,12,3,13,3,4,22,18,9,3,6,7,26,6,0,57
75b86fb3,32,17,14,11,7,15,24,9,18,9,9,26,58,54,0,135
75e60d75,0,21,0,0,0,0,0,0,0,0,0,22,0,0,0,0
7737dee2,4,2,1,1,2,1,5,4,2,1,1,0,4,1,0,10
780e3631,35,21,9,20,6,12,33,21,28,8,20,25,60,40,2,166
78841da9,13,9,3,7,3,9,25,16,15,3,12,10,23,14,1,88
79083382,2,1,2,0,0,0,3,3,1,0,1,1,3,7,0,7
79443529,6,2,1,4,1,4,13,9,5,2,3,7,13,6,0,58
