id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
fe8e6fa1,6,2,3,1,2,2,8,6,4,0,4,0,6,3,0
26f6dca8,14,9,6,6,2,7,39,32,9,1,8,10,24,3,0
119b9a8e,13,6,6,7,0,4,9,5,6,5,1,20,33,26,1
450ab6fc,14,3,10,4,0,4,9,5,23,20,3,28,42,116,1
016ff750,13,9,11,2,0,11,18,7,2,0,2,3,16,4,0
9460aaed,16,9,8,7,1,9,25,16,14,4,10,9,25,10,1
6eaed4eb,8,2,6,2,0,4,7,3,6,2,4,10,18,15,2
2ff964a0,14,8,7,4,3,7,10,3,6,1,5,8,22,3,0
2628fd2b,0,0,0,0,0,0,2,2,0,0,0,0,0,9,2
9b5ce51a,54,32,17,31,6,22,48,26,28,12,16,57,111,54,1
efb9215a,51,35,42,6,3,22,36,14,27,12,15,25,76,68,0
f5deef4c,29,15,16,12,1,17,20,3,25,16,9,26,55,129,0
810e3c74,15,8,6,4,5,5,18,13,5,0,5,3,18,0,0
8f62b6ee,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2
d7553721,51,29,12,33,6,12,59,47,20,4,16,9,60,19,0
6cc47ae1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e97fd090,0,0,0,0,0,0,2,2,1,1,0,2,2,2,0
5a4280b1,7,5,6,1,0,4,9,5,9,7,2,4,11,31,0
9f472354,19,10,5,8,6,7,19,12,12,0,12,4,23,16,0
c0027d2d,3,1,2,1,0,3,14,11,4,1,3,5,8,3,0
a2b105e0,35,19,17,16,2,20,50,30,23,5,18,19,54,20,2
1a2935f6,13,8,10,3,0,7,12,5,9,6,3,10,23,42,0
9a9c05db,41,22,20,18,3,22,33,11,20,6,14,27,68,57,1
c0e27d1a,28,16,14,14,0,13,24,11,42,37,5,32,60,133,2
6f7d826d,46,24,25,17,4,19,65,46,42,15,27,36,82,54,1
0df2b165,46,30,18,21,7,21,65,44,18,4,14,33,79,46,1
83d074ff,9,5,4,3,2,5,9,4,12,0,12,1,10,2,0
ee38d9c5,59,30,13,31,15,23,68,45,16,0,16,9,68,7,1
d8931174,37,23,23,14,0,18,34,16,31,22,9,72,109,159,0
892d5bb1,28,14,11,9,8,11,38,27,31,1,30,18,46,8,2
e3a5814e,41,23,34,5,2,22,43,21,12,3,9,28,69,38,0
c691bfe2,44,32,9,20,15,13,40,27,19,0,19,13,57,11,2
