id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
c4f573f4,Andrea Seculin,it ITA,GK,Chievo,28,1990,2,1,90,1.0,7,7.00,12,5,41.7,0,0,1,0,0.0,0,0,0,0,,Matches
f02dde20,Adrian Šemper,hr CRO,GK,Chievo,20,1998,6,6,540,6.0,8,1.33,32,24,75.0,1,3,2,2,33.3,0,0,0,0,,Matches
343f753a,Luigi Sepe,it ITA,GK,Parma,27,1991,37,37,3330,37.0,59,1.59,197,142,74.1,10,11,16,10,27.0,8,8,0,0,0.0,Matches
10dc46f0,Salvatore Sirigu,it ITA,GK,Torino,31,1987,36,36,3170,35.2,35,0.99,136,99,75.7,15,14,7,14,38.9,4,2,2,0,50.0,Matches
ab4449d6,Łukasz Skorupski,pl POL,GK,Bologna,27,1991,38,38,3420,38.0,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0,Matches
048877f5,Stefano Sorrentino,it ITA,GK,Chievo,39,1979,31,31,2790,31.0,60,1.94,167,107,65.3,1,11,19,5,16.1,4,2,2,0,50.0,Matches
ac4003af,Marco Sportiello,it ITA,GK,Frosinone,26,1992,35,35,3150,35.0,64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,0.0,Matches
339fe0e8,Thomas Strakosha,al ALB,GK,Lazio,23,1995,35,35,3150,35.0,39,1.11,132,95,74.2,16,7,12,10,28.6,6,5,1,0,16.7,Matches
01b8a2b2,Wojciech Szczęsny,pl POL,GK,Juventus,28,1990,28,28,2520,28.0,20,0.71,81,61,76.5,22,5,1,11,39.3,3,1,1,1,50.0,Matches
e1b0a70d,Pietro Terracciano,it ITA,GK,Fiorentina,28,1990,2,2,180,2.0,3,1.50,11,8,72.7,0,1,1,0,0.0,0,0,0,0,,Matches
e1b0a70d,Pietro Terracciano,it ITA,GK,Empoli,28,1990,8,8,720,8.0,10,1.25,35,26,71.4,1,2,5,2,25.0,0,0,0,0,,Matches
03760df0,Emiliano Viviano,it ITA,GK,SPAL,32,1985,17,17,1525,16.9,25,1.48,84,59,75.0,7,3,7,3,17.6,4,4,0,0,0.0,Matches
