id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
cec60a2f,Nahuel Estévez,ar ARG,MF,Spezia,24,1995,19.6,13,5,4,6,3,5,32,15.6,27,23,5,18,20,33,22,1,Matches
ae82fa48,Valentin Eysseric,fr FRA,"MF,FW",Fiorentina,28,1992,8.1,14,8,6,7,1,5,11,45.5,6,11,0,11,7,21,8,0,Matches
366be751,Nicolò Fagioli,it ITA,MF,Juventus,19,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
440c84ed,Iago Falque,es ESP,"MF,FW",Benevento,30,1990,4.0,4,2,2,2,0,1,6,16.7,5,4,1,3,0,4,1,0,Matches
61f2f56a,Andri Fannar Baldursson,is ISL,MF,Bologna,18,2002,2.4,6,6,1,2,3,1,3,33.3,2,3,1,2,3,9,7,0,Matches
9085dd7c,Paolo Faragò,it ITA,DF,Bologna,27,1993,0.3,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
9085dd7c,Paolo Faragò,it ITA,DF,Cagliari,27,1993,4.1,13,9,10,3,0,9,20,45.0,11,3,2,1,6,19,15,0,Matches
aae9d04a,Davide Faraoni,it ITA,DF,Hellas Verona,28,1991,32.1,62,33,36,19,7,28,51,54.9,23,48,17,31,49,111,83,1,Matches
b7a5bc86,Mohamed Fares,dz ALG,DF,Lazio,24,1996,12.7,20,15,9,7,4,11,19,57.9,8,14,1,13,16,36,21,0,Matches
157d29b6,Diego Farias,br BRA,FW,Spezia,30,1990,16.8,9,5,4,1,4,4,21,19.0,17,12,0,12,13,22,3,0,Matches
44510fde,Andrea Favilli,it ITA,FW,Hellas Verona,23,1997,3.8,3,1,0,1,2,2,3,66.7,1,2,0,2,0,3,2,0,Matches
4e358a2d,Federico Fazio,ar ARG,DF,Roma,33,1987,4.5,3,2,3,0,0,3,4,75.0,1,3,3,0,7,10,18,1,Matches
