id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
69cbc8b6,3,257,2.9,2,2,1,3,2.0,5,2.0,3.0,1.05,4.9,2.5,2.4,0.23,0,0,0,0.0
6a73afe7,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6b08d120,1,3,0.0,0,0,1,3,3.0,1,0.0,1.0,29.8,0.2,0.0,0.2,9.89,0,0,0,0.0
6b200d45,4,360,4.0,4,4,0,1,0.75,5,6.0,-1.0,0.25,3.8,3.5,0.2,0.12,0,0,0,0.0
6b6c793c,3,261,2.9,3,2,0,3,1.0,4,7.0,-3.0,-1.36,4.0,5.1,-1.1,1.12,0,0,0,0.0
6b6cbca4,2,111,1.2,2,1,0,0,0.5,1,1.0,0.0,6.52,1.5,1.5,0.0,3.95,0,0,0,0.0
6b767188,5,288,3.2,3,2,2,1,0.0,1,7.0,-6.0,-1.16,3.3,4.7,-1.4,-0.24,0,0,0,0.0
6b85f966,10,817,9.1,10,4,0,0,2.2,16,5.0,11.0,0.17,12.0,9.4,2.6,-0.05,0,0,0,0.0
6b915aa1,4,160,1.8,2,0,2,2,1.0,1,2.0,-1.0,-0.8,3.3,1.8,1.5,0.21,0,0,0,0.0
6bd05d38,1,90,1.0,1,1,0,5,3.0,1,0.0,1.0,2.4,1.3,1.3,0.0,0.3,90,1,1,1.0
6bd5cd5d,8,711,7.9,8,7,0,1,1.75,14,10.0,4.0,1.46,12.5,7.8,4.7,1.21,0,0,0,0.0
6be41a31,3,126,1.4,1,1,2,1,1.0,3,1.0,2.0,2.52,3.1,1.0,2.0,1.04,0,0,0,0.0
6bfaecc4,1,90,1.0,1,1,0,4,3.0,5,1.0,4.0,5.0,2.5,0.9,1.6,2.73,90,1,1,1.0
6bfb4303,5,450,5.0,5,5,0,1,1.56,6,9.0,-3.0,-0.6,5.7,9.0,-3.3,-0.48,0,0,0,0.0
6bff8a73,6,540,6.0,6,6,0,0,0.5,2,5.0,-3.0,0.0,6.0,8.7,-2.7,0.0,0,0,0,0.0
6c2f0c54,0,0,0.0,0,0,0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6c8ddd52,2,180,2.0,2,2,0,0,1.5,3,3.0,0.0,0.75,3.0,1.1,1.9,0.46,0,0,0,0.0
6cbf8d0d,2,96,1.1,1,0,1,0,0.0,2,1.0,1.0,0.5,2.7,1.3,1.4,1.21,0,0,0,0.0
6dce77a5,4,330,3.7,4,3,0,0,1.86,3,5.0,-2.0,-2.16,4.8,6.1,-1.4,-1.9,0,0,0,0.0
6df0dc74,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6e240751,5,450,5.0,5,5,0,1,0.4,1,4.0,-3.0,-0.6,5.2,5.2,0.0,2.68,450,5,5,5.0
6e269dd3,5,207,2.3,2,0,3,0,1.4,2,2.0,0.0,-0.44,2.9,4.5,-1.6,-0.49,0,0,0,0.0
6e739736,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
