id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
80556f08,Toma Bašić,hr CRO,MF,Lazio,26-151,1996,5.0,5,3,3,1,1,2,6,33.3,4,9,0,9,7,12,8,0,Matches
2ce215f2,Alberto Basso,it ITA,MF,Cremonese,18-300,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
75b86fb3,Alessandro Bastoni,it ITA,DF,Inter,24-012,1999,19.8,37,18,18,12,7,10,21,47.6,11,21,9,12,20,57,35,0,Matches
1ac232b8,Simone Bastoni,it ITA,"MF,DF",Spezia,26-171,1996,11.8,42,22,20,17,5,12,27,44.4,15,17,5,12,8,50,12,0,Matches
78e6bf2c,Brian Bayeye,fr FRA,DF,Torino,22-299,2000,0.6,3,0,3,0,0,1,1,100.0,0,1,1,0,1,4,2,0,Matches
19e4eab9,Rodrigo Becão,br BRA,DF,Udinese,27-096,1996,23.6,65,32,48,14,3,39,49,79.6,10,39,21,18,18,83,58,1,Matches
e892c325,Julius Beck,dk DEN,MF,Spezia,17-363,2005,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,Matches
e3756e72,Raoul Bellanova,it ITA,DF,Inter,22-343,2000,2.9,8,5,6,1,1,5,7,71.4,2,4,1,3,3,11,10,0,Matches
d705ba44,Andrea Belotti,it ITA,FW,Roma,29-126,1993,8.1,9,5,3,2,4,3,8,37.5,5,8,1,7,3,12,2,0,Matches
0000acda,Marco Benassi,it ITA,DF,Fiorentina,28-229,1994,1.0,3,3,2,0,1,3,4,75.0,1,0,0,0,1,4,1,0,Matches
0000acda,Marco Benassi,it ITA,MF,Cremonese,28-229,1994,9.5,22,12,8,8,6,14,22,63.6,8,11,0,11,10,32,10,0,Matches
db092d3b,Ismaël Bennacer,dz ALG,MF,Milan,25-145,1997,20.0,56,30,25,29,2,28,47,59.6,19,21,7,14,24,80,15,1,Matches
53a0e358,Domenico Berardi,it ITA,FW,Sassuolo,28-267,1994,14.6,18,12,7,6,5,7,30,23.3,23,9,0,9,13,31,14,0,Matches
61b3978f,Bartosz Bereszyński,pl POL,DF,Sampdoria,30-287,1992,13.3,28,18,15,11,2,17,26,65.4,9,18,4,14,21,49,25,0,Matches
ed5c0319,Beto,gw GNB,FW,Udinese,25-084,1998,21.5,16,9,0,9,7,4,15,26.7,11,16,2,14,4,20,25,0,Matches
b3a20f18,Matteo Bianchetti,it ITA,DF,Cremonese,30-039,1993,21.8,32,19,21,9,2,20,32,62.5,12,29,17,12,17,49,106,0,Matches
d65cf468,Alessandro Bianco,it ITA,MF,Fiorentina,20-206,2002,1.3,3,1,1,2,0,2,2,100.0,0,1,0,1,0,3,0,0,Matches
6fdac234,Jaka Bijol,si SVN,DF,Udinese,24-079,1999,24.4,27,16,22,5,0,11,21,52.4,10,35,20,15,25,52,142,0,Matches
9e1577aa,Cristiano Biraghi,it ITA,DF,Fiorentina,30-236,1992,25.2,58,33,27,27,4,29,55,52.7,26,27,7,20,14,72,40,1,Matches
204ac005,Samuele Birindelli,it ITA,DF,Monza,23-280,1999,12.7,25,13,15,8,2,16,24,66.7,8,22,7,15,14,39,24,0,Matches
79370f8c,Kristijan Bistrović,hr CRO,MF,Lecce,25-016,1998,5.1,3,1,3,0,0,0,5,0.0,5,3,0,3,0,3,4,0,Matches
c69ef855,Alexis Blin,fr FRA,MF,Lecce,26-221,1996,20.4,57,30,22,26,9,33,60,55.0,27,45,13,32,28,85,68,0,Matches
fe012aca,Jeremie Boga,ci CIV,"MF,FW",Atalanta,26-112,1997,7.8,8,4,2,2,4,2,4,50.0,2,6,0,6,1,9,1,0,Matches
c83c203f,Emil Bohinen,no NOR,MF,Salernitana,24-044,1999,6.4,19,10,11,6,2,10,18,55.6,8,14,5,9,11,30,15,0,Matches
d995ed27,Giacomo Bonaventura,it ITA,MF,Fiorentina,33-246,1989,19.6,33,21,14,15,4,22,34,64.7,12,14,0,14,15,48,4,1,Matches
bf57eaab,Federico Bonazzoli,it ITA,"FW,MF",Salernitana,25-339,1997,12.4,5,3,0,3,2,0,9,0.0,9,9,1,8,3,8,0,0,Matches
0def2376,Warren Bondo,fr FRA,MF,Monza,19-222,2003,0.7,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
fb77bfef,Kevin Bonifazi,it ITA,DF,Bologna,26-341,1996,4.6,6,4,4,2,0,3,6,50.0,3,6,4,2,6,12,21,0,Matches
52ec54d0,Leonardo Bonucci,it ITA,DF,Juventus,35-359,1987,7.7,5,4,1,4,0,2,4,50.0,2,10,7,3,9,14,24,0,Matches
3d13d9e4,Erik Botheim,no NOR,"FW,MF",Salernitana,23-105,2000,4.9,7,5,1,4,2,4,5,80.0,1,1,0,1,0,7,1,0,Matches
0d077b88,Mehdi Bourabia,ma MAR,MF,Spezia,31-261,1991,26.4,37,17,13,19,5,17,35,48.6,18,35,12,23,29,66,45,0,Matches
ae94a6c5,Edoardo Bove,it ITA,MF,Roma,20-344,2002,5.4,17,8,4,9,4,8,22,36.4,14,6,1,5,4,21,6,0,Matches
c609e90e,Jayden Braaf,nl NED,MF,Hellas Verona,20-237,2002,2.5,5,3,2,3,0,0,0,,0,1,0,1,2,7,0,0,Matches
8bbe2df5,Domagoj Bradarić,hr CRO,DF,Salernitana,23-136,1999,21.1,20,15,11,7,2,7,14,50.0,7,17,3,14,18,38,37,0,Matches
d4a2533d,Josip Brekalo,hr CRO,"FW,MF",Fiorentina,24-306,1998,1.3,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,Matches
5fd5ed86,Gleison Bremer,br BRA,DF,Juventus,26-038,1997,25.4,25,16,20,4,1,17,23,73.9,6,40,21,19,35,60,110,2,Matches
edd81e2a,Dylan Bronn,tn TUN,DF,Salernitana,27-310,1995,16.7,31,16,17,13,1,19,29,65.5,10,31,20,11,18,49,53,1,Matches
33b8d077,Marcelo Brozović,hr CRO,MF,Inter,30-160,1992,13.5,20,12,6,12,2,6,24,25.0,18,17,7,10,17,37,21,0,Matches
f3a9fa26,Cristian Buonaiuto,it ITA,"MF,FW",Cremonese,30-117,1992,8.5,15,9,4,6,5,7,17,41.2,10,9,0,9,11,26,6,0,Matches
4ae67f27,Alessandro Buongiorno,it ITA,DF,Torino,23-323,1999,23.2,31,20,19,12,0,12,22,54.5,10,30,15,15,45,76,77,2,Matches
ef6eef89,Juan Cabal,co COL,DF,Hellas Verona,22-107,2001,1.9,3,3,3,0,0,3,4,75.0,1,5,4,1,3,6,5,0,Matches
dd86e8e4,Liberato Cacace,nz NZL,DF,Empoli,22-210,2000,4.4,19,7,10,6,3,8,12,66.7,4,10,5,5,4,23,11,0,Matches
2146785a,Davide Calabria,it ITA,DF,Milan,26-140,1996,13.3,55,31,25,24,6,32,50,64.0,18,15,4,11,20,75,27,0,Matches
ac7e640b,Mattia Caldara,it ITA,DF,Spezia,28-355,1994,13.9,23,14,10,11,2,9,20,45.0,11,23,16,7,17,40,88,2,Matches
226008f1,Luca Caldirola,it ITA,DF,Monza,32-083,1991,20.8,22,11,15,4,3,9,21,42.9,12,22,12,10,19,41,49,0,Matches
cd0fa27b,Hakan Çalhanoğlu,tr TUR,MF,Inter,29-076,1994,22.6,40,21,15,21,4,13,38,34.2,25,26,4,22,22,62,10,1,Matches
13ea2544,Mohamed Camara,gn GUI,MF,Roma,26-056,1997,4.6,10,9,3,6,1,4,9,44.4,5,2,0,2,7,17,4,0,Matches
91ff775f,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,22-118,2000,8.0,16,12,8,4,4,3,12,25.0,9,9,1,8,6,22,5,0,Matches
247ed022,Andrea Cambiaso,it ITA,DF,Bologna,23-064,2000,18.0,42,24,23,17,2,18,44,40.9,26,20,2,18,21,63,27,1,Matches
b6a1cdf9,Matteo Cancellieri,it ITA,FW,Lazio,21-072,2002,2.7,9,4,5,2,2,4,8,50.0,4,4,0,4,1,10,2,0,Matches
356c9002,Antonio Candreva,it ITA,"DF,MF",Salernitana,36-056,1987,26.8,13,5,11,1,1,10,35,28.6,25,6,2,4,16,29,30,0,Matches
54e53b7e,Gianluca Caprari,it ITA,"MF,FW",Monza,29-269,1993,22.4,15,6,3,10,2,8,23,34.8,15,19,1,18,7,22,3,0,Matches
5bd72174,Francesco Caputo,it ITA,FW,Sampdoria,35-262,1987,12.2,3,1,0,0,3,0,3,0.0,3,0,0,0,1,4,3,0,Matches
5bd72174,Francesco Caputo,it ITA,FW,Empoli,35-262,1987,14.2,2,2,0,1,1,0,1,0.0,1,5,2,3,1,3,5,0,Matches
f7e2af2c,Andrea Carboni,it ITA,DF,Monza,22-080,2001,1.9,3,2,2,0,1,2,5,40.0,3,3,2,1,3,6,2,1,Matches
b033f803,Franco Carboni,it ITA,DF,Monza,20-021,2003,0.6,1,1,1,0,0,0,2,0.0,2,2,0,2,1,2,0,0,Matches
707b98f1,Valentin Carboni,it ITA,"MF,DF",Inter,18-051,2005,0.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,Matches
8d3cd59d,Carlos,br BRA,DF,Monza,24-108,1999,27.3,51,28,29,16,6,27,43,62.8,16,19,5,14,18,69,69,1,Matches
8ec56e62,Marco Carnesecchi,it ITA,GK,Cremonese,22-298,2000,22.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,1,Matches
3f5f38fb,Nicolò Casale,it ITA,DF,Lazio,25-070,1998,20.9,35,17,21,14,0,17,27,63.0,10,16,9,7,14,49,53,0,Matches
6c4307ee,Tommaso Cassandro,it ITA,DF,Lecce,23-106,2000,0.1,1,1,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
ad92526f,Michele Castagnetti,it ITA,MF,Cremonese,33-119,1989,11.8,32,16,15,16,1,12,38,31.6,26,9,2,7,13,45,17,0,Matches
0728bebe,Gaetano Castrovilli,it ITA,MF,Fiorentina,26-067,1997,4.2,7,5,0,5,2,2,8,25.0,6,4,1,3,3,10,2,0,Matches
ba3d3bea,Danilo Cataldi,it ITA,MF,Lazio,28-262,1994,20.6,23,14,6,14,3,14,40,35.0,26,22,9,13,24,47,32,0,Matches
4d1efb48,Pietro Ceccaroni,it ITA,DF,Lecce,27-125,1995,0.3,0,0,0,0,0,0,0,,0,1,1,0,3,3,1,0,Matches
d9624b51,Federico Ceccherini,it ITA,DF,Hellas Verona,30-349,1992,13.4,20,15,11,8,1,10,17,58.8,7,15,8,7,15,35,47,0,Matches
07f8bcc8,Assan Ceesay,gm GAM,FW,Lecce,29-039,1994,15.7,21,16,7,7,7,7,15,46.7,8,12,2,10,3,24,24,0,Matches
98a84572,Emil Ceide,no NOR,FW,Sassuolo,21-234,2001,4.1,4,1,4,0,0,3,4,75.0,1,2,0,2,1,5,0,0,Matches
31a62dc7,Zeki Çelik,tr TUR,DF,Roma,26-067,1997,13.1,33,16,16,15,2,20,29,69.0,9,26,5,21,13,46,30,1,Matches
b0f7e36c,Federico Chiesa,it ITA,"DF,MF",Juventus,25-182,1997,5.3,14,5,5,5,4,4,8,50.0,4,8,1,7,0,14,1,0,Matches
c316607a,Vlad Chiricheș,ro ROU,DF,Cremonese,33-162,1989,8.1,27,15,20,6,1,10,17,58.8,7,21,12,9,16,43,30,0,Matches
b09a3ecc,Daniel Ciofani,it ITA,FW,Cremonese,37-268,1985,7.9,5,3,1,2,2,3,6,50.0,3,5,1,4,0,5,3,0,Matches
039a4fb6,Tio Cipot,si SVN,"FW,DF",Spezia,20-005,2003,1.0,8,6,3,3,2,4,6,66.7,2,0,0,0,0,8,2,0,Matches
5de3866c,Patrick Ciurria,it ITA,"DF,MF",Monza,28-075,1995,23.8,27,15,17,9,1,14,28,50.0,14,20,2,18,3,30,26,0,Matches
8b95acda,Omar Colley,gm GAM,DF,Sampdoria,30-183,1992,15.4,17,10,10,7,0,9,12,75.0,3,9,5,4,22,39,69,1,Matches
04df29a5,Lorenzo Colombo,it ITA,FW,Lecce,21-048,2002,14.2,13,5,1,7,5,4,11,36.4,7,19,0,19,2,15,5,0,Matches
6499048c,Andrea Colpani,it ITA,MF,Monza,23-349,1999,8.4,14,9,6,5,3,8,12,66.7,4,14,2,12,3,17,4,0,Matches
8cabdc1e,Andrea Consigli,it ITA,GK,Sassuolo,36-088,1987,29.0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,12,3,Matches
8fef5412,Andrea Conti,it ITA,DF,Sampdoria,29-054,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
22ae86f9,Diego Coppola,it ITA,DF,Hellas Verona,19-118,2003,11.8,22,16,13,9,0,10,17,58.8,7,18,6,12,13,35,34,0,Matches
45b9b619,Joaquín Correa,ar ARG,FW,Inter,28-255,1994,7.9,11,7,2,6,3,3,8,37.5,5,3,0,3,1,12,0,0,Matches
bfc359ed,Alessandro Cortinovis,it ITA,MF,Hellas Verona,22-090,2001,0.1,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
85a44ecc,Lassana Coulibaly,ml MLI,MF,Salernitana,27-015,1996,25.6,67,39,33,28,6,24,57,42.1,33,26,5,21,16,83,23,2,Matches
f554e29b,Alessio Cragno,it ITA,GK,Monza,28-301,1994,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
16657b95,Bryan Cristante,it ITA,MF,Roma,28-053,1995,27.1,97,54,47,42,8,49,79,62.0,30,36,8,28,13,110,39,0,Matches
22cd43d2,Domen Črnigoj,si SVN,MF,Salernitana,27-158,1995,3.3,8,3,0,7,1,1,2,50.0,1,9,1,8,9,17,6,0,Matches
0ab1f153,Juan Cuadrado,co COL,"DF,FW",Juventus,34-334,1988,17.5,38,25,26,11,1,19,49,38.8,30,12,1,11,17,55,24,0,Matches
5722eced,Mickaël Cuisance,fr FRA,MF,Sampdoria,23-252,1999,5.8,12,9,6,5,1,4,21,19.0,17,8,0,8,4,16,4,0,Matches
060606ec,Marco D'Alessandro,it ITA,"DF,FW",Monza,32-067,1991,3.2,4,4,3,1,0,2,5,40.0,3,2,0,2,1,5,3,0,Matches
44eb9093,Danilo D'Ambrosio,it ITA,DF,Inter,34-228,1988,4.1,16,9,12,3,1,10,16,62.5,6,8,3,5,9,25,10,0,Matches
f778fe3f,Luca D'Andrea,it ITA,FW,Sassuolo,18-231,2004,3.5,4,0,2,1,1,1,4,25.0,3,2,0,2,1,5,1,0,Matches
7ef972c3,Flavius Daniliuc,at AUT,DF,Salernitana,21-363,2001,19.1,45,23,30,13,2,20,35,57.1,15,28,12,16,23,68,69,0,Matches
94b2001f,Danilo,br BRA,DF,Juventus,31-284,1991,29.4,73,47,49,17,7,37,54,68.5,17,32,17,15,37,110,93,1,Matches
96e0490d,Matteo Darmian,it ITA,DF,Inter,33-144,1989,18.9,46,25,22,12,12,26,39,66.7,13,29,5,24,19,65,28,0,Matches
16bb656a,Paweł Dawidowicz,pl POL,DF,Hellas Verona,27-340,1995,15.6,43,28,26,14,3,21,29,72.4,8,12,8,4,18,61,60,0,Matches
2ef7c612,Charles De Ketelaere,be BEL,"MF,FW",Milan,22-046,2001,10.8,23,10,6,13,4,11,26,42.3,15,13,2,11,3,26,8,0,Matches
60e3603d,Manuel De Luca,it ITA,"FW,MF",Sampdoria,24-282,1998,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
ae4e2852,Mattia De Sciglio,it ITA,DF,Juventus,30-187,1992,11.2,12,6,6,3,3,8,13,61.5,5,9,3,6,4,16,18,0,Matches
e74f0e59,Lorenzo De Silvestri,it ITA,DF,Bologna,34-337,1988,6.0,2,2,1,0,1,2,5,40.0,3,5,5,0,2,4,17,0,Matches
f4797849,Koni De Winter,be BEL,DF,Empoli,20-317,2002,11.4,14,9,11,3,0,5,13,38.5,8,14,12,2,6,20,65,0,Matches
854ee61a,Grégoire Defrel,mq MTQ,FW,Sassuolo,31-312,1991,9.3,9,7,5,2,2,4,9,44.4,5,8,0,8,1,10,5,0,Matches
0e0d6c53,Duccio Degl'Innocenti,it ITA,MF,Empoli,19-362,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
e3cceee6,Merih Demiral,tr TUR,DF,Atalanta,25-051,1998,16.7,39,27,29,10,0,25,35,71.4,10,24,7,17,23,62,56,1,Matches
dc3fa3b5,Diego Demme,de GER,MF,Napoli,31-155,1991,1.0,1,0,1,0,0,0,3,0.0,3,2,0,2,0,1,1,0,Matches
d97f2e8d,Fabio Depaoli,it ITA,DF,Hellas Verona,26-001,1997,19.3,39,23,24,11,4,19,32,59.4,13,25,6,19,12,51,27,2,Matches
d97f2e8d,Fabio Depaoli,it ITA,"DF,MF",Sampdoria,26-001,1997,1.5,5,3,2,3,0,3,4,75.0,1,1,0,1,1,6,4,0,Matches
2990c466,Kastriot Dermaku,al ALB,DF,Lecce,31-100,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
dcb38abe,Cyriel Dessers,ng NGA,FW,Cremonese,28-138,1994,17.4,11,4,4,4,3,2,6,33.3,4,14,2,12,3,14,5,0,Matches
5976f83e,Sergiño Dest,us USA,DF,Milan,22-173,2000,3.7,12,6,3,5,4,3,4,75.0,1,1,0,1,4,16,2,0,Matches
d7d32194,Mattia Destro,it ITA,FW,Empoli,32-036,1991,5.3,1,1,0,1,0,0,0,,0,2,0,2,1,2,5,0,Matches
39583cfd,Gerard Deulofeu,es ESP,FW,Udinese,29-043,1994,13.5,8,5,5,1,2,5,15,33.3,10,8,1,7,2,10,1,0,Matches
ef94dc2f,Samuel Di Carmine,it ITA,"FW,MF",Cremonese,34-208,1988,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1fca9171,Federico Di Francesco,it ITA,"FW,MF",Lecce,28-315,1994,18.9,25,15,7,11,7,8,18,44.4,10,15,0,15,7,32,12,0,Matches
4e0c8d66,Michele Di Gregorio,it ITA,GK,Monza,25-272,1997,30.0,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,16,2,Matches
230a2fac,Giovanni Di Lorenzo,it ITA,DF,Napoli,29-264,1993,30.9,52,26,30,16,6,22,43,51.2,21,27,7,20,26,78,54,0,Matches
19cda00b,Ángel Di María,ar ARG,"FW,MF",Juventus,35-070,1988,11.8,8,4,2,5,1,3,16,18.8,13,12,0,12,5,13,0,0,Matches
244bc2c8,Boulaye Dia,sn SEN,"FW,MF",Salernitana,26-160,1996,23.0,10,4,3,4,3,1,6,16.7,5,4,0,4,5,15,24,1,Matches
407feb71,Brahim Díaz,es ESP,MF,Milan,23-265,1999,16.6,24,11,4,17,3,3,9,33.3,6,10,0,10,5,29,5,0,Matches
970b8574,Federico Dimarco,it ITA,DF,Inter,25-166,1997,19.0,25,19,6,14,5,9,17,52.9,8,15,4,11,15,40,20,0,Matches
