id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
bef0a7ac,32,1579,17,19,2,13,2,1,25,21,4,22.1,22.1,0.0,0,0,0,0
bf4c41f9,29,1291,14,14,0,15,6,1,25,24,1,20.6,18.5,2.2,0,0,0,0
bfa34064,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
bfcef334,2,39,0,0,0,2,3,1,1,2,-1,1.4,1.1,0.4,0,0,0,0
c05d65d1,1,7,0,0,0,1,1,3,1,0,1,0.8,0.1,0.7,0,0,0,0
c0b3669f,37,3029,33,35,19,2,0,1,46,48,-2,44.5,49.1,-4.6,0,0,0,0
c0f706f3,4,66,0,0,0,4,10,0,1,0,1,0.7,0.3,0.4,0,0,0,0
c20bdcd7,29,2180,24,24,18,5,5,2,37,13,24,26.2,17.4,8.8,0,0,0,0
c252c705,0,0,0,0,0,0,38,0,0,0,0,0.0,0.0,0.0,0,0,0,0
c264b739,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
c26a3918,27,2309,25,25,25,2,5,1,28,35,-7,27.1,34.4,-7.3,0,0,0,0
c39b09e3,5,169,1,2,1,3,0,1,1,3,-2,1.7,2.9,-1.2,0,0,0,0
c416e1b2,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
c4173f1a,9,810,9,9,9,0,13,1,18,14,4,17.0,11.2,5.8,810,9,9,9
c47541e0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
c4bbea9f,29,2117,23,24,22,5,3,1,37,33,4,33.6,39.3,-5.6,0,0,0,0
c631f952,31,2673,29,31,29,0,0,1,50,51,-1,44.5,52.8,-8.3,2673,31,31,29
c64c01fc,4,44,0,0,0,4,5,2,1,2,-1,0.9,0.4,0.5,0,0,0,0
c6e5d20f,32,2243,24,23,17,9,1,2,50,28,22,49.1,27.6,21.5,0,0,0,0
c7526c18,34,2908,32,33,30,1,1,1,49,35,14,40.8,32.8,8.0,0,0,0,0
c76b7567,37,2624,29,31,12,6,0,1,38,41,-3,40.1,37.1,3.0,0,0,0,0
c795c408,22,1801,20,21,16,1,12,0,11,37,-26,15.3,36.3,-21.1,0,0,0,0
c801616a,35,2691,29,32,16,3,1,1,33,42,-9,31.8,39.6,-7.8,0,0,0,0
ca122e29,0,0,0,0,0,0,16,0,0,0,0,0.0,0.0,0.0,0,0,0,0
caef7840,2,43,0,0,0,2,5,0,1,0,1,0.2,0.6,-0.4,0,0,0,0
