,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
89,242b350c,2,3,0,0,0,2,7,1,0,0,0,0.1,0.0,0.1,0,0,0,0
90,2434f24a,37,3330,37,37,37,0,1,1,33,42,-9,37.9,52.4,-14.5,0,0,0,0
91,243f4a0b,33,2875,31,33,27,0,2,1,28,32,-4,32.4,45.1,-12.8,0,0,0,0
92,244bc2c8,18,747,8,8,0,10,1,1,9,11,-2,10.3,10.8,-0.5,0,0,0,0
93,247accfd,34,2942,32,32,31,2,4,0,24,45,-21,26.8,43.0,-16.2,0,0,0,0
94,249cdcff,2,180,2,2,2,0,30,2,2,1,1,2.9,2.1,0.8,0,0,0,0
95,24eb7ed6,30,926,10,7,2,23,5,1,12,10,2,13.8,13.9,0.0,0,0,0,0
96,2515040a,21,1862,20,20,19,1,6,0,18,29,-11,18.3,31.3,-12.9,0,0,0,0
97,26383ea5,6,495,5,6,5,0,16,1,8,4,4,9.8,4.8,5.1,0,0,0,0
98,26777636,7,216,2,2,0,5,3,0,0,2,-2,2.0,2.9,-1.0,0,0,0,0
99,2677a1de,32,2817,31,32,24,0,0,1,43,34,9,43.8,40.7,3.2,0,0,0,0
100,26975a92,36,3239,36,36,35,0,0,1,42,48,-6,47.8,45.7,2.1,0,0,0,0
101,275e2c51,28,2394,26,27,25,1,8,1,31,32,-1,36.1,32.4,3.7,0,0,0,0
102,276cce2e,36,3240,36,36,36,0,2,0,28,59,-31,40.1,48.8,-8.7,0,0,0,0
103,279ddf6a,36,3240,36,36,36,0,0,1,36,39,-3,35.7,41.0,-5.2,0,0,0,0
104,28129034,12,736,8,7,6,5,3,1,4,12,-8,4.3,17.7,-13.4,0,0,0,0
105,288e1e13,13,1050,11,12,10,1,7,0,11,17,-6,11.1,15.9,-4.8,0,0,0,0
106,28a65a2c,1,90,1,1,1,0,37,1,1,1,0,1.6,2.1,-0.6,0,0,0,0
107,28dabd43,38,3420,38,38,38,0,0,1,57,58,-1,50.0,56.5,-6.5,0,0,0,0
108,29c02c9f,17,918,10,9,7,8,4,2,26,15,11,22.9,12.0,10.9,0,0,0,0
109,29d8ad3f,25,1936,21,25,18,0,0,1,21,23,-2,24.6,28.7,-4.0,0,0,0,0
110,29df114a,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
111,29ef0f49,28,1444,16,15,9,13,5,1,15,23,-8,16.0,21.4,-5.4,0,0,0,0
112,2a657da0,34,2095,23,24,8,10,1,1,22,22,0,21.9,24.8,-2.9,0,0,0,0
113,2b16cb1a,34,2900,32,34,21,0,0,1,28,29,-1,41.2,41.1,0.2,0,0,0,0
114,2b9b37b2,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
115,2b9fdeea,33,2613,29,30,16,3,0,1,49,39,10,40.1,34.4,5.8,0,0,0,0
116,2c55fadb,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
117,2c92d3c0,27,1456,16,15,8,12,9,0,12,17,-5,14.8,18.5,-3.8,0,0,0,0
118,2d22cea7,1,4,0,0,0,1,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0
119,2dee43e1,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
120,2e0367a6,35,2286,25,25,12,10,0,0,24,33,-9,29.9,33.6,-3.7,0,0,0,0
121,2e52206e,21,1436,16,19,5,2,6,1,16,24,-8,17.6,21.1,-3.5,0,0,0,0
122,2ef637bd,18,950,10,11,7,7,6,2,20,11,9,15.7,15.5,0.1,0,0,0,0
123,2f798b41,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
124,2f8f43f3,7,407,4,5,1,2,7,0,2,8,-6,2.8,9.0,-6.2,0,0,0,0
125,2f965a72,21,1890,21,21,21,0,13,2,55,17,38,48.2,20.4,27.8,0,0,0,0
126,2fa2a875,37,3330,37,37,37,0,0,1,53,42,11,49.6,41.0,8.5,0,0,0,0
127,2fe83ffb,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0
128,3010aefb,33,1840,20,21,8,12,1,0,17,41,-24,22.3,25.0,-2.7,0,0,0,0
129,30395d3b,25,1666,18,18,12,7,0,0,11,28,-17,18.6,23.9,-5.3,0,0,0,0
130,3067cbef,12,782,8,8,8,4,20,1,16,10,6,11.9,10.9,1.0,0,0,0,0
131,3071a619,26,1536,17,17,9,9,1,0,16,24,-8,21.2,20.2,1.0,0,0,0,0
132,31a62dc7,34,2971,33,34,29,0,1,2,60,26,34,51.7,35.8,15.9,0,0,0,0
133,3225654e,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
134,32c2d95f,38,3420,38,38,38,0,0,1,39,42,-3,38.1,45.0,-6.9,0,0,0,0
135,33508c78,13,966,10,12,8,1,0,1,13,16,-3,13.6,13.4,0.2,0,0,0,0
136,33887998,38,3420,38,38,38,0,0,1,39,42,-3,38.1,45.0,-6.9,0,0,0,0
137,34e38ddf,0,0,0,0,0,0,19,0,0,0,0,0.0,0.0,0.0,0,0,0,0
138,3681cfff,33,2937,32,33,32,0,1,1,27,26,1,38.4,40.8,-2.4,0,0,0,0
139,3708e9fa,30,2290,25,27,14,3,0,0,26,36,-10,29.9,31.2,-1.2,0,0,0,0
140,375622c5,28,1990,22,22,15,6,7,4,38,32,6,32.2,31.8,0.4,0,0,0,0
141,3767b3b7,16,1015,11,10,8,6,10,3,18,15,3,14.4,15.1,-0.7,0,0,0,0
142,378825c7,25,2152,23,24,21,1,1,1,33,33,0,34.6,28.3,6.2,0,0,0,0
143,380a15e2,1,90,1,1,1,0,30,1,0,0,0,0.5,0.8,-0.3,0,0,0,0
