id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
2db2fd7b,24,1622,18,19,9,5,4,33,28,5,33.6,29.5,4.0,0,0,0,0
2f9e4435,25,812,9,7,3,18,1,7,18,-11,12.0,10.9,1.1,0,0,0,0
300ec91c,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
3010aefb,24,930,10,9,1,15,9,8,10,-2,11.2,14.3,-3.1,0,0,0,0
30144daa,30,2299,25,27,7,3,1,31,37,-6,26.2,36.0,-9.8,0,0,0,0
3067cbef,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
30af8b93,34,2662,29,31,20,3,3,53,31,22,47.9,32.0,15.8,0,0,0,0
31626657,34,2956,32,34,26,0,0,27,59,-32,35.5,45.7,-10.2,0,0,0,0
316e70c7,3,40,0,0,0,3,5,1,1,0,0.3,0.6,-0.4,0,0,0,0
3189f61a,18,1515,16,18,10,0,0,16,24,-8,18.2,23.3,-5.1,0,0,0,0
31a62dc7,32,2696,30,30,27,2,3,38,38,0,41.0,32.5,8.6,0,0,0,0
321a71a7,12,860,9,9,9,3,4,17,9,8,13.8,10.9,2.9,0,0,0,0
32c2d95f,34,2983,33,34,33,0,0,38,41,-3,31.8,41.3,-9.5,0,0,0,0
3322e296,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0
33508c78,2,38,0,0,0,2,3,0,1,-1,0.3,0.4,-0.1,0,0,0,0
34a0f5ff,32,1732,19,19,2,13,2,28,40,-12,25.3,33.2,-7.9,0,0,0,0
34a88e3e,13,481,5,5,1,8,4,7,8,-1,5.3,6.2,-0.9,0,0,0,0
3544641e,26,905,10,8,1,18,7,17,22,-5,15.3,17.2,-1.9,0,0,0,0
3681cfff,23,1932,21,23,16,0,2,25,31,-6,23.3,33.8,-10.5,0,0,0,0
3708e9fa,27,1502,16,17,2,10,1,30,14,16,25.7,15.1,10.5,0,0,0,0
375622c5,34,2911,32,33,23,1,0,45,49,-4,35.9,47.2,-11.3,0,0,0,0
37d04e90,31,1772,19,21,3,10,7,24,21,3,20.2,22.4,-2.2,0,0,0,0
380a15e2,11,833,9,9,9,2,25,14,20,-6,12.8,15.1,-2.4,833,11,9,9
3814b753,12,848,9,9,6,3,1,6,15,-9,8.5,16.8,-8.3,0,0,0,0
381d7d54,7,156,1,1,0,6,7,1,3,-2,0.9,2.3,-1.4,0,0,0,0
3870f7c3,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,0,0
3935e52e,14,440,4,6,0,8,3,9,7,2,7.9,3.9,4.1,0,0,0,0
397ba086,14,396,4,4,0,10,1,2,9,-7,5.6,7.6,-2.0,0,0,0,0
39c0c75b,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
3befc2b6,36,3146,35,36,32,0,0,51,44,7,41.9,46.6,-4.8,0,0,0,0
