id,GA,PKA,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
5640992b,10,0,0.0,2.0,0.0,8.2,-1.8,68.0,133.0,166.0,31.0,69.0,96.0,1.0,6.0,6274.8,3622.5,78.0
9bc78273,3,0,0.0,0.0,1.0,3.3,1.3,9.0,30.0,32.0,2.0,13.0,11.0,0.0,1.0,1366.4,748.8,16.3
ce17b5eb,13,3,0.0,2.0,0.0,16.2,3.2,128.0,282.0,359.0,29.0,86.0,156.0,4.0,9.0,14719.0,4979.4,100.8
7a8779f3,3,0,0.0,0.0,0.0,3.6,0.6,19.0,44.0,44.0,9.0,21.0,30.0,1.0,0.0,1993.2,1281.0,0.0
7b456af7,12,1,0.0,3.0,0.0,12.4,0.4,46.0,154.0,229.0,55.0,85.0,108.0,9.0,9.0,8129.5,4751.5,146.7
7750462c,7,1,0.0,1.0,0.0,6.6,-0.4,23.0,60.0,153.0,42.0,43.0,71.0,0.0,2.0,4681.8,1840.4,26.4
1e101451,1,0,0.0,0.0,0.0,1.6,0.6,7.0,25.0,44.0,5.0,11.0,21.0,0.0,4.0,1478.4,533.5,71.2
61911828,13,0,0.0,3.0,0.0,7.8,-5.2,59.0,171.0,144.0,10.0,57.0,113.0,1.0,6.0,7473.6,3556.8,76.2
03df04ff,6,1,0.0,1.0,0.0,5.8,-0.2,32.0,81.0,130.0,35.0,56.0,78.0,2.0,2.0,4706.0,2542.4,20.0
38cd5b8f,10,0,0.0,1.0,0.0,10.1,0.1,39.0,149.0,243.0,32.0,75.0,84.0,6.0,9.0,8602.2,3645.0,135.9
0be3255b,12,0,0.0,1.0,1.0,8.8,-2.2,36.0,119.0,265.0,27.0,52.0,108.0,3.0,12.0,9434.0,2470.0,216.0
08a2c314,1,0,0.0,0.0,0.0,1.0,0.0,7.0,24.0,21.0,4.0,11.0,18.0,0.0,3.0,879.9,613.8,72.0
0f276764,6,1,0.0,0.0,0.0,3.3,-2.7,7.0,27.0,35.0,5.0,10.0,25.0,0.0,3.0,1536.5,486.0,40.8
