id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
3f10bd22,2,0,0,16,24,8,0,1,0
3f79a1c8,3,0,0,25,16,0,0,0,0
3fc45c73,6,0,0,30,35,3,0,1,0
41c12f75,0,0,0,2,0,0,0,0,0
42276181,0,0,0,9,9,12,0,0,0
4242011c,7,0,0,40,16,3,0,1,0
42dcf26d,14,1,1,33,30,3,0,0,0
43f71e77,10,0,0,54,61,39,6,0,0
4410f0b0,0,0,0,2,1,0,0,0,0
44b61913,3,0,0,8,0,2,0,0,0
45af8a54,2,0,0,9,27,3,0,0,0
45b9b619,5,0,0,26,43,5,1,0,0
45e304c8,1,0,0,12,19,6,1,0,0
4601e194,7,0,0,35,21,16,0,0,0
46166b49,1,0,0,16,18,5,0,0,0
467bae22,5,0,0,47,61,9,0,2,0
46a8347f,7,0,0,30,12,3,0,0,0
46e07328,0,0,0,1,0,0,0,0,0
4737cebe,4,0,0,32,60,6,0,0,0
474ecac8,6,0,0,12,15,0,0,0,1
48593154,0,0,0,12,2,7,0,0,0
485e4939,0,0,0,4,16,0,0,0,0
487d9b09,7,0,0,51,19,4,0,1,0
48e4c485,2,0,0,7,6,0,0,0,0
48e89655,0,0,0,35,52,7,1,0,0
4958bfb2,11,1,0,48,32,3,0,2,0
49ea92be,3,0,0,20,35,5,0,0,0
4a478107,7,1,1,28,43,9,2,0,0
4a895384,2,0,0,10,2,0,0,0,0
4ac7608e,5,0,0,27,3,1,0,1,0
4accb7e0,3,0,0,19,20,3,0,0,0
4b32b2be,0,0,0,0,0,0,0,0,0
4b3f2936,3,0,0,28,27,3,0,0,0
4bc5f2b4,0,0,0,7,10,0,0,0,0
4c0a6a48,0,0,0,0,1,0,0,0,0
4c2e9442,12,0,0,54,93,32,0,0,0
4c5b14d2,7,0,0,21,40,5,1,0,0
4cafb146,0,0,0,0,0,1,0,0,0
4d224fe8,8,0,0,59,72,2,0,0,0
4db76f57,3,0,0,12,9,0,0,0,0
4e2c27bb,0,0,0,0,0,0,0,0,0
4efd29bb,3,1,1,17,0,1,0,0,0
4f28a6ff,9,0,0,52,24,1,0,0,0
4f6d9bcd,0,0,0,1,1,0,0,0,0
4ffb647d,3,0,0,17,15,0,0,1,0
5070881b,0,0,0,9,1,0,0,0,0
50b51fac,3,0,0,24,14,0,0,0,0
51e3954c,2,0,0,15,8,1,0,1,0
529f49ab,6,0,0,40,35,0,0,0,0
532e1e4f,0,0,0,2,0,0,0,0,0
54073b28,11,1,1,42,44,1,0,0,0
5418d47c,1,0,0,1,0,0,0,0,0
54f5ce34,4,0,0,18,6,0,0,0,0
55126f3b,3,0,0,24,51,1,0,0,0
555f3a0b,6,1,1,19,15,1,0,0,2
56cafd0a,0,0,0,1,1,0,0,0,0
576575e5,0,0,0,0,0,0,0,0,0
57ebd662,8,1,0,39,31,2,0,0,0
581c5276,0,0,0,0,0,0,0,0,0
5890cef1,10,0,0,39,15,6,0,0,1
58afe001,9,1,1,49,42,0,0,0,0
58bc7d18,0,0,0,0,0,0,0,0,0
59b7d823,3,0,0,25,12,1,0,1,0
59d53e8a,2,0,0,17,26,1,0,0,0
5a3f6fae,5,0,0,19,12,0,0,0,0
5ab0ea87,8,0,0,36,58,0,1,0,0
5b2a4b8d,0,0,0,0,0,0,0,0,0
5b5724d2,0,0,0,4,6,0,0,0,0
5c256395,2,0,0,2,0,0,0,0,0
5c2da10f,4,1,1,22,19,12,2,0,0
5c7845f6,3,1,1,19,15,1,0,0,0
5ca20b7a,9,1,0,43,62,2,0,0,0
5ce0b5ba,10,1,1,34,68,0,0,0,0
5cec2487,7,0,0,38,28,1,0,2,0
5d311e8d,1,0,0,9,13,1,0,0,0
5db04597,10,0,0,30,35,1,1,1,0
5f0241b2,2,0,0,1,3,0,0,1,0
5f5501ed,4,1,1,12,25,0,0,0,0
5f7db81a,2,1,0,22,6,1,0,0,0
6025fab1,3,0,0,20,31,0,1,0,0
603116a7,3,1,0,26,41,3,0,0,0
60713cb3,0,1,0,1,0,0,0,0,0
608f2092,6,0,0,38,47,6,0,0,0
60ee859c,1,0,0,1,1,1,0,0,0
61220da2,9,1,1,32,31,1,0,0,0
61bb7498,0,0,0,0,0,0,0,0,0
61bd33d0,4,0,0,40,49,5,0,0,0
625c144a,3,0,0,1,2,0,0,1,0
63f04c6c,5,0,0,46,22,5,2,0,0
6434f10d,8,0,0,77,35,2,0,0,0
6435143e,0,0,0,1,0,0,0,0,0
643b39a6,4,0,0,20,24,2,0,0,0
64e8ed6d,0,0,0,4,5,7,0,0,0
65d62814,4,0,0,1,3,0,0,0,0
65d750b5,8,0,0,51,23,1,0,1,0
6639e500,5,0,0,20,21,1,0,0,0
6922f806,7,0,0,73,75,39,1,1,0
6941883f,2,0,0,3,0,0,0,1,0
697295b1,3,0,0,12,6,1,0,0,0
69cbc8b6,3,0,0,14,2,1,0,0,0
6a7586f4,0,0,0,2,2,0,0,0,0
6a99e0b1,3,0,0,31,41,26,0,0,0
6c2f5996,4,0,0,54,62,8,0,1,0
