id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
bc50c437,Edmilson Correia,gw GNB,"FW,DF",Saint-Étienne,19,2000,0.5,21,0,2,8,11,1,21,3,2,66.7,1,33.3,15,99,37,1,2,0,3,1,16,5,Matches
909222de,Nuno da Costa,cv CPV,FW,Strasbourg,28,1991,5.9,235,3,11,108,117,29,235,27,16,59.3,11,40.7,159,689,223,6,6,5,15,15,175,57,Matches
2434f24a,Benoît Costil,fr FRA,GK,Bordeaux,32,1987,28.0,948,805,941,7,0,0,948,2,2,100.0,0,0.0,435,2244,1409,0,0,0,0,0,380,0,Matches
9980269a,Kalifa Coulibaly,ml MLI,FW,Nantes,27,1991,18.0,570,36,42,219,313,88,570,27,8,29.6,19,70.4,279,1380,542,23,12,17,63,39,455,124,Matches
67b7357e,Senou Coulibaly,ml MLI,DF,Dijon,24,1994,7.4,502,77,315,177,10,6,502,1,1,100.0,0,0.0,274,1342,737,2,1,0,3,2,319,1,Matches
26e4447b,Yoann Court,fr FRA,"FW,MF",Brest,29,1990,16.3,767,14,128,336,314,34,767,23,12,52.2,11,47.8,422,2145,1054,33,25,2,43,28,503,95,Matches
8f325097,Nicolas Cozza,fr FRA,DF,Montpellier,20,1999,6.2,296,26,165,126,9,6,296,4,2,50.0,2,50.0,164,814,468,2,2,1,2,0,192,1,Matches
3e092724,Wylan Cyprien,fr FRA,MF,Nice,24,1995,19.7,1504,43,292,937,293,16,1499,23,14,60.9,9,39.1,714,3224,2044,24,19,1,18,15,1112,28,Matches
007faf7a,Lucas Da Cunha,fr FRA,MF,Rennes,18,2001,0.8,31,0,4,17,12,2,31,1,1,100.0,0,0.0,22,189,46,0,1,0,2,1,22,3,Matches
1ec7e1c5,Damien Da Silva,fr FRA,DF,Rennes,31,1988,24.9,1514,163,844,652,35,10,1514,8,6,75.0,2,25.0,925,4880,2511,20,8,0,6,6,946,3,Matches
29c02c9f,Colin Dagba,fr FRA,DF,Paris S-G,20,1998,7.4,472,21,121,200,153,15,472,13,7,53.8,6,46.2,271,1506,833,24,14,5,7,5,313,55,Matches
fd2bc67d,Dante,br BRA,DF,Nice,35,1983,21.0,1862,249,968,870,33,20,1862,9,8,88.9,1,11.1,1073,5226,3331,8,2,0,9,7,1396,1,Matches
44f8c299,Lucas Deaux,fr FRA,MF,Nîmes,30,1988,14.8,891,30,195,580,122,24,891,16,9,56.3,7,43.8,362,1738,826,14,10,4,31,6,472,24,Matches
92232aad,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,34,1985,19.7,1344,75,442,618,294,18,1344,17,11,64.7,6,35.3,476,2663,1468,33,11,1,24,17,661,66,Matches
0be95d34,Romain Del Castillo,fr FRA,"FW,MF",Rennes,23,1996,13.8,663,4,67,328,291,33,662,60,35,58.3,25,41.7,445,3075,1719,52,40,9,43,25,481,99,Matches
8332db56,Thomas Delaine,fr FRA,DF,Metz,27,1992,13.9,837,25,210,388,250,13,837,29,17,58.6,12,41.4,393,3359,2013,66,55,10,22,11,473,86,Matches
2ee1b96b,Paul Delecroix,gw GNB,GK,Metz,30,1988,1.5,48,39,47,1,0,0,48,0,0,,0,,19,179,144,0,0,0,0,0,19,0,Matches
d33c706e,Andy Delort,dz ALG,FW,Montpellier,27,1991,25.3,1103,16,64,423,629,118,1101,65,28,43.1,37,56.9,552,2826,1219,50,29,29,81,25,845,246,Matches
e7986081,Moussa Dembélé,fr FRA,FW,Lyon,23,1996,24.3,751,33,64,323,375,113,746,60,24,40.0,36,60.0,452,2419,1030,38,23,21,94,58,578,134,Matches
47af88b8,Jason Denayer,be BEL,DF,Lyon,24,1995,23.7,1777,169,827,930,30,11,1777,11,9,81.8,2,18.2,1209,6763,4168,15,11,0,7,3,1354,3,Matches
0d3585b5,Kevin Denkey,tg TOG,FW,Nîmes,18,2000,6.7,217,1,13,108,97,25,217,9,7,77.8,2,22.2,122,534,197,6,4,3,22,12,162,52,Matches
19cda00b,Ángel Di María,ar ARG,"FW,MF",Paris S-G,31,1988,22.2,1584,4,81,635,883,117,1582,133,67,50.4,66,49.6,989,6153,3165,111,82,38,53,27,1219,275,Matches
244bc2c8,Boulaye Dia,sn SEN,FW,Reims,22,1996,20.1,550,20,66,239,259,85,549,48,22,45.8,26,54.2,317,2130,916,32,29,21,58,31,364,115,Matches
d07e3b41,Fousseni Diabaté,ml MLI,"FW,MF",Amiens,23,1995,13.2,621,3,99,278,256,41,621,47,29,61.7,18,38.3,358,2806,1228,47,28,16,51,27,439,111,Matches
1bfb6fef,Bafodé Diakité,fr FRA,DF,Toulouse,18,2001,15.2,820,119,422,365,43,10,820,6,4,66.7,2,33.3,462,2392,1463,9,6,0,3,1,489,3,Matches
fc62f087,Abdou Diallo,sn SEN,DF,Paris S-G,23,1996,13.3,1167,77,358,765,55,9,1167,19,16,84.2,3,15.8,726,4110,2637,21,15,2,14,3,897,10,Matches
6605d143,Habib Diallo,sn SEN,FW,Metz,24,1995,24.4,753,47,74,350,338,97,750,42,21,50.0,21,50.0,379,2300,802,35,28,22,87,33,557,129,Matches
11ff3d56,Ibrahima Diallo,fr FRA,MF,Brest,20,1999,17.3,992,40,288,635,84,4,992,32,26,81.3,6,18.8,617,3567,1781,24,11,1,23,22,656,18,Matches
698f11e3,Moussa Diarra,ml MLI,DF,Toulouse,18,2000,1.0,65,4,31,34,0,0,65,0,0,,0,,33,168,110,0,0,0,0,0,40,0,Matches
d83f8f69,Lucas Dias,fr FRA,GK,Nîmes,20,1999,3.5,115,106,115,0,0,0,115,0,0,,0,,39,193,112,0,0,0,0,0,28,0,Matches
247accfd,Bakaye Dibassy,ml MLI,DF,Amiens,29,1989,20.8,1121,112,514,533,80,12,1121,13,11,84.6,2,15.4,565,2816,1454,15,6,0,16,2,660,11,Matches
92b56413,Tristan Dingomé,cm CMR,MF,Reims,28,1991,9.9,441,4,51,223,167,15,441,5,3,60.0,2,40.0,224,703,191,1,3,0,21,11,332,48,Matches
4be0b467,Lois Diony,fr FRA,FW,Saint-Étienne,26,1992,7.4,177,1,5,70,104,26,177,6,1,16.7,5,83.3,110,550,190,15,5,6,19,14,138,45,Matches
7f622eef,Assane Dioussé,sn SEN,MF,Saint-Étienne,21,1997,1.3,62,1,18,41,4,0,62,3,2,66.7,1,33.3,27,208,115,4,1,0,2,1,33,1,Matches
ad82197c,Axel Disasi,fr FRA,DF,Reims,21,1998,27.0,1759,212,978,733,56,20,1759,8,4,50.0,4,50.0,1003,6034,4050,42,11,1,11,5,1177,3,Matches
b2336681,Tiago Djaló,pt POR,DF,Lille,19,2000,7.3,507,37,219,279,17,0,507,4,3,75.0,1,25.0,319,1610,887,6,3,0,3,3,348,2,Matches
43e7a164,Alexander Djiku,gh GHA,"DF,MF",Strasbourg,24,1994,22.9,1486,111,655,781,63,15,1486,17,12,70.6,5,29.4,883,3743,2088,6,8,2,11,12,935,5,Matches
cc83b74d,Kasper Dolberg,dk DEN,FW,Nice,21,1997,21.0,527,29,49,253,230,68,527,35,13,37.1,22,62.9,285,1544,495,20,18,8,62,27,370,90,Matches
ccb1c3af,Keagan Dolly,za RSA,MF,Montpellier,26,1993,1.6,93,2,6,45,43,2,93,6,2,33.3,4,66.7,47,245,87,4,3,0,3,1,61,13,Matches
0f26fd24,Anastasios Donis,gr GRE,FW,Reims,22,1996,6.8,193,4,17,76,108,20,193,33,21,63.6,12,36.4,125,1331,585,26,16,6,14,7,137,44,Matches
67ac5bb8,Gabriel Dos Santos,br BRA,DF,Lille,21,1997,23.2,1750,117,654,1048,53,24,1750,2,2,100.0,0,0.0,999,5173,3319,25,12,0,10,6,1171,3,Matches
6421dd73,Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,31,1988,19.5,950,5,112,335,519,62,950,55,31,56.4,24,43.6,614,4128,1973,91,56,14,53,34,635,163,Matches
6481421d,Moussa Doumbia,ml MLI,"FW,MF",Reims,24,1994,19.1,957,7,119,408,458,65,956,83,40,48.2,43,51.8,644,4883,2528,102,67,31,67,32,695,159,Matches
9daeac61,Souleyman Doumbia,ci CIV,DF,Angers,22,1996,5.0,362,20,122,167,79,2,362,8,5,62.5,3,37.5,170,1120,737,22,18,1,7,2,205,16,Matches
9daeac61,Souleyman Doumbia,ci CIV,DF,Rennes,22,1996,1.0,58,3,15,30,13,1,58,5,3,60.0,2,40.0,32,172,75,1,1,0,0,0,31,3,Matches
1a992676,Julian Draxler,de GER,MF,Paris S-G,25,1993,7.6,550,2,61,332,165,21,550,15,9,60.0,6,40.0,330,2133,1149,35,28,7,13,11,442,51,Matches
ff0ab48c,Leo Dubois,fr FRA,DF,Lyon,24,1994,15.0,1109,45,285,585,251,9,1109,21,11,52.4,10,47.6,618,2905,1582,27,23,3,20,5,689,76,Matches
9b6556d2,Haris Duljević,ba BIH,"FW,MF",Nîmes,25,1993,5.8,237,1,20,104,119,10,237,23,13,56.5,10,43.5,144,1127,576,15,15,3,19,11,157,29,Matches
e5cd9da6,Riza Durmisi,dk DEN,"DF,MF",Nice,25,1994,1.8,117,5,27,53,37,1,117,2,0,0.0,2,100.0,60,280,108,2,2,0,4,2,78,18,Matches
0cbc8baa,Jean-Kevin Duverne,fr FRA,DF,Brest,22,1997,13.1,999,117,513,465,25,5,999,11,7,63.6,4,36.4,581,3471,2011,15,7,2,5,3,682,4,Matches
72a0fb65,Bruno Ecuele Manga,ga GAB,DF,Dijon,31,1988,28.0,1629,237,1026,576,37,23,1629,7,6,85.7,1,14.3,872,3845,1993,5,5,1,13,11,994,1,Matches
5c9ac7f0,Renaud Emond,be BEL,FW,Nantes,27,1991,3.2,111,8,18,59,34,10,111,3,2,66.7,1,33.3,50,308,144,5,1,1,5,3,75,17,Matches
bc7b4580,Fábio,br BRA,DF,Nantes,29,1990,9.3,639,22,184,326,133,4,639,9,6,66.7,3,33.3,295,1588,927,23,13,0,7,5,347,25,Matches
33508c78,Cesc Fàbregas,es ESP,MF,Monaco,32,1987,10.3,836,14,108,465,266,19,836,5,4,80.0,1,20.0,412,1571,812,11,13,2,7,6,644,57,Matches
767212e6,Julien Faussurier,fr FRA,DF,Brest,32,1987,22.0,1483,89,438,668,388,33,1483,17,6,35.3,11,64.7,675,3180,1798,36,22,3,16,14,819,142,Matches
005c0807,Zinedine Ferhat,dz ALG,"FW,MF",Nîmes,26,1993,25.0,1222,22,126,469,643,80,1222,104,50,48.1,54,51.9,720,4869,2284,85,43,36,57,43,850,198,Matches
05816e19,Juan Ferney Otero,co COL,"FW,MF",Amiens,24,1995,13.4,524,15,79,232,224,25,524,30,10,33.3,20,66.7,294,1705,743,29,13,10,32,26,336,94,Matches
375622c5,Jordan Ferri,fr FRA,MF,Montpellier,27,1992,12.8,859,12,140,553,178,10,859,32,21,65.6,11,34.4,498,2732,1462,32,22,4,21,28,599,50,Matches
4c4ffacc,Mamadou Fofana,ml MLI,"DF,MF",Metz,21,1998,17.6,964,82,434,490,45,3,964,6,3,50.0,3,50.0,415,1930,895,5,8,1,4,5,554,2,Matches
132a82f1,Wesley Fofana,fr FRA,DF,Saint-Étienne,18,2000,13.5,830,82,456,341,43,12,830,8,3,37.5,5,62.5,465,3351,2011,30,10,0,8,5,472,4,Matches
822d51d7,Youssouf Fofana,fr FRA,MF,Strasbourg,20,1999,11.2,560,8,97,326,146,15,560,17,9,52.9,8,47.1,333,1979,1140,28,30,4,22,13,390,43,Matches
822d51d7,Youssouf Fofana,fr FRA,MF,Monaco,20,1999,6.8,444,18,100,296,57,5,444,19,6,31.6,13,68.4,260,1585,970,18,10,2,10,10,308,20,Matches
90eb507d,Thomas Foket,be BEL,DF,Reims,24,1994,27.0,1553,83,531,690,342,25,1553,21,13,61.9,8,38.1,693,4459,2639,69,31,8,21,11,819,110,Matches
2145368f,Lamine Fomba,fr FRA,MF,Nîmes,21,1998,15.3,621,24,143,337,153,20,621,22,13,59.1,9,40.9,259,1449,652,11,10,0,35,19,284,27,Matches
90f87966,José Fonte,pt POR,DF,Lille,35,1983,24.5,1678,116,646,976,59,33,1678,3,2,66.7,1,33.3,917,3878,2264,9,1,1,8,2,1148,8,Matches
f84a807c,Lyle Foster,za RSA,FW,Monaco,18,2000,0.7,27,1,3,10,15,1,27,1,0,0.0,1,100.0,14,94,14,0,1,0,3,0,17,7,Matches
4b96c347,Angelo Fulgini,fr FRA,MF,Angers,22,1996,17.5,1142,10,156,597,411,48,1142,77,50,64.9,26,33.8,670,3883,2212,56,39,10,42,37,851,76,Matches
9e64fc85,Ruben Gabrielsen,no NOR,DF,Toulouse,27,1992,7.3,359,56,205,150,6,4,359,3,3,100.0,0,0.0,233,1084,615,3,0,0,0,1,220,0,Matches
7ebfac0f,Nicolás Gaitán,ar ARG,"MF,FW",Lille,31,1988,0.6,39,2,4,20,16,4,39,4,3,75.0,1,25.0,13,67,16,1,2,1,2,1,19,4,Matches
c1b16364,Marvin Gakpa,fr FRA,"MF,FW",Metz,25,1993,5.2,324,3,34,166,128,14,324,8,5,62.5,3,37.5,191,1174,529,9,15,5,9,13,220,19,Matches
72c812f3,Idrissa Gana Gueye,sn SEN,MF,Paris S-G,29,1989,18.4,1810,33,244,1265,314,22,1810,40,21,52.5,19,47.5,1048,4935,2532,37,35,6,25,13,1405,27,Matches
23c63b7f,Ignatius Ganago,cm CMR,"FW,MF",Nice,20,1999,13.8,503,14,65,223,222,40,503,39,22,56.4,17,43.6,322,1863,924,33,20,19,40,16,388,150,Matches
6be41a31,Yann Gboho,fr FRA,FW,Rennes,18,2001,2.5,95,3,6,41,51,8,95,15,7,46.7,8,53.3,77,478,260,9,6,2,15,6,72,14,Matches
4c700f46,Jérémy Gélin,fr FRA,"DF,MF",Rennes,22,1997,10.3,641,86,329,293,21,8,641,1,0,0.0,1,100.0,436,1745,741,0,2,1,1,0,431,1,Matches
ea0ff634,Valère Germain,fr FRA,FW,Marseille,29,1990,15.0,589,27,82,270,237,40,589,6,3,50.0,3,50.0,329,1156,386,15,12,4,23,18,399,97,Matches
f7b1d4e0,Saman Ghoddos,ir IRN,FW,Amiens,25,1993,2.6,121,2,18,54,52,5,121,2,1,50.0,1,50.0,51,275,155,3,4,0,5,3,78,11,Matches
3befc2b6,Andrei Girotto,br BRA,DF,Nantes,27,1992,24.2,1532,152,775,711,58,24,1532,4,2,50.0,2,50.0,776,3624,1993,9,8,1,13,1,883,2,Matches
c6056d58,Kamil Glik,pl POL,DF,Monaco,31,1988,23.0,1370,164,692,661,20,16,1370,0,0,,0,,752,3171,1977,6,1,0,0,1,901,0,Matches
1232e1dc,Joris Gnagnon,fr FRA,DF,Rennes,22,1997,14.2,792,103,420,351,25,14,792,4,4,100.0,0,0.0,505,3152,1710,10,2,0,2,3,516,3,Matches
a0434482,Eddy Gnahoré,fr FRA,MF,Amiens,25,1993,12.6,872,36,171,577,127,8,872,7,3,42.9,4,57.1,476,2647,1154,12,15,1,21,21,582,32,Matches
132bb875,Mauro Goicoechea,uy URU,GK,Toulouse,31,1988,2.0,71,61,71,0,0,0,71,0,0,,0,,30,124,93,0,0,0,0,0,22,0,Matches
3708e9fa,Aleksandr Golovin,ru RUS,MF,Monaco,23,1996,22.9,1397,28,179,716,531,48,1397,58,41,70.7,17,29.3,853,6127,3222,93,70,23,46,14,903,115,Matches
cecbce23,Alfred Gomis,sn SEN,GK,Dijon,25,1993,18.0,782,672,780,2,0,0,782,1,1,100.0,0,0.0,380,2130,1564,0,0,0,0,0,287,0,Matches
d26cd32d,Mathieu Goncalves,fr FRA,DF,Toulouse,18,2001,3.5,169,18,90,79,0,0,169,2,2,100.0,0,0.0,118,710,490,4,0,0,1,2,108,1,Matches
42dcf26d,Álvaro González,es ESP,DF,Marseille,29,1990,18.1,1026,93,485,520,25,14,1026,3,3,100.0,0,0.0,624,3115,1875,9,7,1,2,0,697,0,Matches
7c6d6c96,Prince-Désir Gouano,fr FRA,DF,Amiens,25,1993,3.0,128,19,68,60,1,0,128,0,0,,0,,65,277,138,0,0,0,0,0,78,0,Matches
aad56ca3,Amine Gouiri,fr FRA,FW,Lyon,19,2000,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
