id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
26ce2263,Ryan Christie,sct SCO,"MF,FW",Bournemouth,28-023,1995,21,12,1066,11.8,1,0,1,1,0,0,1,0,1.6,1.6,1.0,2.6,22,47,38,0.08,0.00,0.08,0.08,0.08,0.13,0.09,0.22,0.13,0.22,Matches
b2f9c73e,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19-148,2003,10,1,227,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,13,11,15,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.16,0.12,0.16,Matches
73341ace,Bobby Clark,eng ENG,MF,Liverpool,18-038,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
0442183b,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-346,1991,21,19,1636,18.2,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,14,52,29,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
2928dca2,Conor Coady,eng ENG,DF,Everton,30-020,1993,22,22,1970,21.9,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.2,4,40,1,0.05,0.05,0.09,0.05,0.09,0.04,0.01,0.05,0.04,0.05,Matches
963a9201,Jack Colback,eng ENG,MF,Nott'ham Forest,33-144,1989,11,4,497,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,16,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
0420d84f,Séamus Coleman,ie IRL,DF,Everton,34-157,1988,19,16,1367,15.2,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.6,12,46,26,0.07,0.00,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches
a8c19eb8,Nathan Collins,ie IRL,DF,Wolves,21-321,2001,19,17,1533,17.0,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,9,55,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
700783e7,Levi Colwill,eng ENG,DF,Brighton,20-019,2003,8,6,553,6.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,24,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
2afc7272,Lewis Cook,eng ENG,MF,Bournemouth,26-042,1997,21,17,1516,16.8,0,2,2,0,0,0,2,0,0.2,0.2,2.2,2.4,9,55,8,0.00,0.12,0.12,0.00,0.12,0.01,0.13,0.14,0.01,0.14,Matches
