id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
fc70e345,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29-084,1993,25.0,814,677,808,6,0,0,814,0,0,,0,,423,2568,1614,0,0,0,0,0,282,1,Matches
a461f098,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,21-158,2001,0.1,8,0,0,1,7,0,8,1,1,100.0,0,0.0,5,52,30,1,0,0,0,0,6,3,Matches
a4971d84,Djené,tg TOG,DF,Getafe,31-078,1991,21.1,971,85,438,477,67,8,971,16,9,56.3,1,6.3,535,2513,1276,5,7,0,14,12,541,12,Matches
ac295d9e,Marko Dmitrović,rs SRB,GK,Sevilla,31-054,1992,3.1,140,114,139,1,0,0,140,0,0,,0,,70,318,183,0,0,0,0,0,57,0,Matches
d557d734,Matt Doherty,ie IRL,DF,Atlético Madrid,31-062,1992,0.1,7,0,3,2,2,0,7,0,0,,0,,4,11,3,0,0,0,0,0,4,1,Matches
cc83b74d,Kasper Dolberg,dk DEN,FW,Sevilla,25-164,1997,2.2,46,5,7,23,17,5,46,3,1,33.3,0,0.0,28,202,75,2,2,0,3,2,31,9,Matches
3521abfe,Carlos Dominguez,es ESP,DF,Celta Vigo,22-036,2001,0.2,13,4,9,5,0,0,13,0,0,,0,,7,21,2,0,0,0,0,0,6,0,Matches
5e95c000,John Donald,es ESP,DF,Elche,22-201,2000,1.7,48,10,35,13,0,0,48,0,0,,0,,27,112,63,0,0,0,3,0,27,0,Matches
93090f69,Domingos Duarte,pt POR,DF,Getafe,28-009,1995,23.4,1019,141,551,438,32,19,1019,6,5,83.3,1,16.7,498,2322,1051,4,1,0,4,2,536,0,Matches
6db116ec,Pablo Durán,es ESP,"MF,DF",Celta Vigo,22-053,2001,0.4,29,3,8,10,11,0,29,3,1,33.3,2,66.7,14,54,5,0,0,0,0,0,16,3,Matches
37e103f8,Hugo Duro,es ESP,FW,Valencia,23-129,1999,10.8,320,8,20,139,163,51,319,10,2,20.0,6,60.0,177,586,313,9,6,6,24,14,241,55,Matches
3e93f8cf,Íñigo Eguaras,es ESP,MF,Almería,31-012,1992,9.4,535,22,153,321,65,3,535,3,3,100.0,0,0.0,311,1311,630,6,8,0,7,4,376,6,Matches
f7dc2ae5,Aritz Elustondo,es ESP,DF,Real Sociedad,28-356,1994,11.4,705,53,269,358,79,11,705,3,1,33.3,2,66.7,357,1793,944,15,9,0,9,3,411,14,Matches
fd47b4f2,Rodrigo Ely,br BRA,DF,Almería,29-136,1993,24.1,1298,235,792,473,39,21,1298,5,3,60.0,1,20.0,673,2697,1501,6,8,1,13,0,761,3,Matches
db8f0eba,Adri Embarba,es ESP,"FW,MF",Almería,30-316,1992,10.8,566,10,76,221,279,28,566,72,27,37.5,37,51.4,323,2448,1176,43,31,10,28,20,329,81,Matches
db8f0eba,Adri Embarba,es ESP,FW,Espanyol,30-316,1992,0.4,15,2,2,8,6,1,15,5,3,60.0,1,20.0,7,49,36,1,1,0,2,0,6,2,Matches
