id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
22798128,Aïssa Laïdouni,tn TUN,MF,Union Berlin,26-088,1996,3.8,176,6,47,80,55,4,176,15,6,40.0,9,60.0,122,534,249,5,5,1,7,5,115,11,Matches
c1b7847c,Konrad Laimer,at AUT,MF,RB Leipzig,25-288,1997,8.7,456,12,93,247,124,23,456,27,13,48.1,13,48.1,264,1453,865,25,16,6,21,13,276,33,Matches
4aea5077,Stefan Lainer,at AUT,DF,M'Gladbach,30-196,1992,3.8,305,13,88,169,49,8,305,5,2,40.0,2,40.0,154,799,384,11,3,2,6,3,197,11,Matches
591477c9,Vassilis Lambropoulos,gr GRE,DF,Bochum,32-345,1990,6.8,316,43,163,140,18,12,316,1,0,0.0,0,0.0,122,569,233,1,1,0,4,1,129,0,Matches
72984eee,Jordan Larsson,se SWE,"FW,MF",Schalke 04,25-264,1997,5.1,173,2,20,90,67,12,173,13,4,30.8,7,53.8,91,508,164,5,3,1,4,7,106,29,Matches
33b554b7,Danny Latza,de GER,MF,Schalke 04,33-094,1989,5.1,284,7,84,147,58,7,284,9,2,22.2,6,66.7,126,532,287,5,1,1,4,6,150,8,Matches
c4987edc,Diogo Leite,pt POR,DF,Union Berlin,24-047,1999,18.2,1216,146,562,584,81,13,1216,1,0,0.0,0,0.0,683,3336,1924,14,11,0,15,9,733,13,Matches
7e12a98d,Maxim Leitsch,de GER,DF,Mainz 05,24-297,1998,7.4,405,42,188,205,12,2,405,1,0,0.0,1,100.0,203,957,443,5,0,1,5,1,225,1,Matches
792ffa71,Tim Lemperle,de GER,FW,Köln,21-034,2002,1.3,64,4,12,27,27,7,64,7,2,28.6,5,71.4,35,195,68,1,1,2,4,4,39,11,Matches
bbd86530,Christopher Lenz,de GER,DF,Eint Frankfurt,28-170,1994,7.6,489,25,109,223,162,13,489,5,3,60.0,1,20.0,220,1084,581,16,10,1,8,4,255,44,Matches
13fe7b69,Jamie Leweling,de GER,FW,Union Berlin,22-013,2001,1.7,75,0,9,22,46,12,75,19,4,21.1,13,68.4,50,372,66,2,6,1,9,5,49,12,Matches
302527b2,Philipp Lienhart,at AUT,DF,Freiburg,26-243,1996,22.3,1551,186,822,691,48,15,1551,4,3,75.0,0,0.0,957,6101,3086,11,10,2,15,1,1019,1,Matches
