id,url
0f888175,https://www.transfermarkt.co.uk/thorsten-schick/profil/spieler/55574
0fb5e2ad,https://www.transfermarkt.co.uk/ryan-klapp/profil/spieler/153483
0fd37a3d,https://www.transfermarkt.co.uk/mihai-bordeianu/profil/spieler/210059
0ff9eabc,https://www.transfermarkt.co.uk/karim-el-ahmadi/profil/spieler/25523
0fffd034,https://www.transfermarkt.co.uk/fransergio/profil/spieler/111828
1013b476,https://www.transfermarkt.co.uk/lovro-cvek/profil/spieler/317467
10161491,https://www.transfermarkt.co.uk/conor-hazard/profil/spieler/322770
10206347,https://www.transfermarkt.com/nenad-milijas/profil/trainer/70177
1055fa53,https://www.transfermarkt.co.uk/markus-wostry/transfers/spieler/122792
108fe016,https://www.transfermarkt.co.uk/marcos-antonio/profil/spieler/468301
10a81962,https://www.transfermarkt.co.uk/darko-glisic/profil/spieler/149291
10b26721,https://www.transfermarkt.com/alexandr-belousov/profil/spieler/343921
10d58a78,https://www.transfermarkt.co.uk/paolo-hurtado/profil/spieler/84318
110a95ca,https://www.transfermarkt.co.uk/denis-shcherbitskiy/profil/spieler/249761
1144d8d7,https://www.transfermarkt.co.uk/denys-bezborodko/profil/spieler/269371
115b7ab9,https://www.transfermarkt.co.uk/maksym-malyshev/profil/spieler/256213
118b60ce,https://www.transfermarkt.co.uk/daniil-odoevskiy/profil/spieler/555135
11a1a615,https://www.transfermarkt.co.uk/shir-tzedek/profil/spieler/163882
11b4f41a,https://www.transfermarkt.co.uk/sean-murray/profil/spieler/148907
11c0fa9d,https://www.transfermarkt.co.uk/artem-besedin/profil/spieler/305415
11c7fa75,https://www.transfermarkt.co.uk/guillaume-faivre/profil/spieler/32750
11f5df14,https://www.transfermarkt.co.uk/filip-nguyen/profil/spieler/202914
120c594d,https://www.transfermarkt.co.uk/denis-terentjev/profil/spieler/144583
121101a4,https://www.transfermarkt.co.uk/dino-peric/profil/spieler/240106
123dd5e2,https://www.transfermarkt.co.uk/erling-knudtzon/transfers/spieler/49470
126568a4,https://www.transfermarkt.co.uk/mikael-torset-johnsen/profil/spieler/464475
12806697,https://www.transfermarkt.co.uk/isak-hien/profil/spieler/503075
1295b5e3,https://www.transfermarkt.com/david-pavelka/profil/spieler/133734
12e7ac0a,https://www.transfermarkt.com/nikita-rukavytsya/profil/spieler/50135
1321d6f0,https://www.transfermarkt.co.uk/egor-filipenko/profil/spieler/53350
1339039e,https://www.transfermarkt.co.uk/liel-abada/profil/spieler/519514
134832c6,https://www.transfermarkt.co.uk/adnan-dzafic/profil/spieler/144894
1361e5bc,https://www.transfermarkt.co.uk/cheick-konate/profil/spieler/180229
136958ad,https://www.transfermarkt.co.uk/kevin-kelsy/profil/spieler/888023
1381e699,https://www.transfermarkt.co.uk/sergey-maliy/profil/spieler/133844
