goals,shot,shot_on_target,tot_shot_dist,fk,pk,att_pk,xG,npxG,G__xG,npG__npxG,season,comp,id
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,36c2ca73
1,42,9,1121.4,6,0,0,2.4,2.4,-1.4,-1.4,18,ENG,3727dd3c
3,17,6,263.5,0,0,0,1.9,1.9,1.1,1.1,18,ENG,381d7d54
1,6,1,103.2,0,0,0,0.3,0.3,0.7,0.7,18,ENG,3831b9fe
0,2,1,24.2,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,38aefb74
3,47,17,2180.8,0,0,0,2.5,2.5,0.5,0.5,18,ENG,38c7feef
1,4,2,38.4,0,0,0,1.2,1.2,-0.2,-0.2,18,ENG,3925dbd6
2,21,6,277.2,0,0,0,2.2,2.2,-0.2,-0.2,18,ENG,3935e52e
1,8,4,160.8,2,0,0,0.5,0.5,0.5,0.5,18,ENG,39583cfd
0,2,1,26.2,0,0,0,0.8,0.8,-0.8,-0.8,18,ENG,3a24769f
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,3a949a25
0,7,1,158.2,0,0,0,0.3,0.3,-0.3,-0.3,18,ENG,3bb625ac
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,3bb7b8b4
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,3be1a627
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,3c066877
4,56,20,1204.0,1,0,0,3.0,3.0,1.0,1.0,18,ENG,3ca7254a
1,12,3,175.2,0,0,0,1.6,1.6,-0.6,-0.6,18,ENG,3cefa66a
2,22,6,275.0,0,0,0,1.6,1.6,0.4,0.4,18,ENG,3e5e4e63
2,16,4,161.6,0,0,0,2.3,2.3,-0.3,-0.3,18,ENG,3e9e06cb
0,1,0,9.6,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,3ea50f67
6,25,14,350.0,0,0,0,3.8,3.5,2.2,2.5,18,ENG,3eb22ec9
3,13,5,169.0,0,0,0,0.8,0.8,2.2,2.2,18,ENG,3f2d59fe
0,4,0,56.8,0,0,0,0.3,0.3,-0.3,-0.3,18,ENG,3fe6bd8c
0,3,1,41.4,0,0,0,0.5,0.5,-0.5,-0.5,18,ENG,407feb71
1,1,1,7.4,0,0,0,0.2,0.2,0.8,0.8,18,ENG,4115ce4e
0,12,4,270.0,0,0,0,0.8,0.8,-0.8,-0.8,18,ENG,422862ea
8,49,19,779.1,0,2,2,6.5,4.9,1.5,1.1,18,ENG,43458538
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,434ad289
0,12,1,302.4,0,0,0,0.4,0.4,-0.4,-0.4,18,ENG,436a9dd0
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,43a166b4
3,36,9,745.2,1,0,0,2.5,2.5,0.5,0.5,18,ENG,4468ec10
2,18,6,381.6,0,0,0,1.1,1.1,0.9,0.9,18,ENG,44781702
3,12,8,146.4,0,0,0,1.1,1.1,1.9,1.9,18,ENG,450ab6fc
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,4535e4bb
0,2,1,44.2,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,453f566a
20,65,28,949.0,0,5,6,16.1,11.3,3.9,3.7,18,ENG,45963054
3,24,10,487.2,0,0,0,1.8,1.8,1.2,1.2,18,ENG,45da6694
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,46b5375e
0,9,1,167.4,0,0,0,0.4,0.4,-0.4,-0.4,18,ENG,46ee5234
0,8,1,196.0,0,0,0,0.3,0.3,-0.3,-0.3,18,ENG,47a34c4f
4,28,6,649.6,3,1,1,3.0,2.2,1.0,0.8,18,ENG,47b7e3af
0,1,0,13.5,0,0,0,0.0,0.0,0.0,0.0,18,ENG,4806ec67
0,5,0,79.5,0,0,0,0.3,0.3,-0.3,-0.3,18,ENG,4830e0af
0,8,1,157.6,0,0,0,0.6,0.6,-0.6,-0.6,18,ENG,495945ef
0,1,0,12.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,49b05a83
1,12,4,225.6,0,0,0,0.9,0.9,0.1,0.1,18,ENG,4a537185
7,68,23,1196.8,0,1,1,8.4,7.6,-1.4,-1.6,18,ENG,4ab53cdb
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,4b40d9ca
1,27,3,507.6,0,0,0,2.6,2.6,-1.6,-1.6,18,ENG,4b511457
15,83,36,1419.3,0,1,1,10.7,9.9,4.3,4.1,18,ENG,4c370d81
0,4,1,66.8,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,4cde5509
21,90,38,1251.0,1,4,4,16.2,13.1,4.8,3.9,18,ENG,4d034881
10,39,24,479.7,0,0,0,7.0,7.0,3.0,3.0,18,ENG,4e9a0555
1,21,6,602.7,8,0,0,0.8,0.8,0.2,0.2,18,ENG,4f974391
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,5167c97e
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,51a3caf1
0,5,0,74.5,0,0,0,0.4,0.4,-0.4,-0.4,18,ENG,51b41c5c
0,5,2,155.0,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,51cf8561
1,19,4,193.8,0,0,0,2.3,2.3,-1.3,-1.3,18,ENG,52105203
0,5,1,118.5,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,5271c8f1
1,30,6,609.0,1,0,0,1.8,1.8,-0.8,-0.8,18,ENG,53538b39
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,53af52f3
2,13,3,252.2,0,0,0,1.3,1.3,0.7,0.7,18,ENG,53cad200
2,14,4,151.2,0,0,0,1.7,1.7,0.3,0.3,18,ENG,5540c9dc
0,5,0,66.0,0,0,0,0.3,0.3,-0.3,-0.3,18,ENG,562eed5c
0,3,1,21.6,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,56f6f826
2,9,3,90.9,0,0,0,1.4,1.4,0.6,0.6,18,ENG,57c433c8
0,9,3,245.7,0,0,0,0.3,0.3,-0.3,-0.3,18,ENG,57df7a11
0,17,3,396.1,1,0,0,0.8,0.8,-0.8,-0.8,18,ENG,580d52dd
2,40,8,740.0,0,0,0,3.2,3.2,-1.2,-1.2,18,ENG,59bf127b
4,43,16,632.1,0,0,0,4.9,4.8,-0.9,-0.8,18,ENG,59e6e5bf
0,20,3,476.0,5,0,0,0.9,0.9,-0.9,-0.9,18,ENG,5a1900a4
1,10,2,76.0,0,0,0,1.2,1.2,-0.2,-0.2,18,ENG,5a4280b1
1,23,3,646.3,0,0,0,0.8,0.8,0.2,0.2,18,ENG,5acc4a10
1,4,2,108.4,2,0,0,0.2,0.2,0.8,0.8,18,ENG,5b54bf3b
1,12,5,133.2,0,0,0,1.9,1.9,-0.9,-0.9,18,ENG,5bddccc9
1,2,2,20.8,0,0,0,0.2,0.2,0.8,0.8,18,ENG,5be28712
2,15,5,318.0,0,0,0,0.8,0.8,1.2,1.2,18,ENG,5c2b4f07
3,25,11,665.0,0,0,1,5.199999999999999,4.4,-2.1999999999999997,-1.4,18,ENG,5dbefa9d
16,85,41,1113.5,3,0,1,13.2,12.4,2.8,3.6,18,ENG,5eae500a
2,23,5,496.8,1,0,0,2.4,2.4,-0.4,-0.4,18,ENG,5eebbfdf
0,11,4,132.0,0,0,0,0.8,0.8,-0.8,-0.8,18,ENG,5eecec3d
5,33,11,772.2,4,0,0,3.1,3.1,1.9,1.9,18,ENG,5f09991f
1,10,2,126.0,0,0,0,1.8,1.8,-0.8,-0.8,18,ENG,601ef102
2,20,6,360.0,0,0,0,1.6,1.6,0.4,0.4,18,ENG,61abe9b6
4,46,16,731.4,0,0,1,6.0,5.2,-2.0,-1.2,18,ENG,6265208f
0,2,0,41.2,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,62a0089e
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,63d17038
8,68,30,1516.4,8,0,1,5.0,4.2,3.0,3.8,18,ENG,6421ec64
0,1,0,17.5,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,64b08de7
0,19,2,437.0,0,0,0,1.2,1.2,-1.2,-1.2,18,ENG,653ee42d
2,70,20,1309.0,4,0,0,6.4,6.4,-4.4,-4.4,18,ENG,67d23ab0
0,6,1,85.2,0,0,0,0.4,0.4,-0.4,-0.4,18,ENG,6813ac34
6,28,14,333.2,0,0,0,6.7,6.7,-0.7,-0.7,18,ENG,68796d61
0,3,0,63.6,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,691bef82
5,44,19,954.8,8,1,1,3.9,3.1,1.1,0.9,18,ENG,6992791d
2,11,4,126.5,0,0,0,1.3,1.3,0.7,0.7,18,ENG,6adbc307
0,41,6,926.6,0,0,0,2.1,2.1,-2.1,-2.1,18,ENG,6b47c5db
3,46,12,874.0,0,0,0,4.1,4.1,-1.1,-1.1,18,ENG,6c679c6d
0,1,0,16.9,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,6c96b263
3,45,22,828.0,0,0,0,3.9,3.9,-0.9,-0.9,18,ENG,6ca5ec4b
1,6,1,108.6,0,0,0,1.1,1.1,-0.1,-0.1,18,ENG,6cc47ae1
1,15,3,322.5,1,0,1,1.9,1.1,-0.9,-0.1,18,ENG,6cdd8245
0,11,5,193.6,0,0,0,0.6,0.6,-0.6,-0.6,18,ENG,6d6f09dc
0,10,2,214.0,0,0,0,0.9,0.9,-0.9,-0.9,18,ENG,6dfd5af0
0,13,2,273.0,2,0,0,0.6,0.6,-0.6,-0.6,18,ENG,6eaed4eb
0,1,0,8.6,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,6fd8a334
1,19,7,319.2,0,0,0,1.5,1.5,-0.5,-0.5,18,ENG,715fc0fe
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,71672fa0
3,59,16,1351.1,6,0,0,3.1,3.1,-0.1,-0.1,18,ENG,71ef519e
2,23,7,581.9,0,0,0,1.5,1.5,0.5,0.5,18,ENG,72c812f3
0,28,4,280.0,0,0,0,2.3,2.3,-2.3,-2.3,18,ENG,7314bba4
1,19,7,492.1,4,0,0,0.8,0.8,0.3,0.3,18,ENG,73489527
0,3,0,87.9,1,0,0,0.1,0.1,-0.1,-0.1,18,ENG,7391c2d9
5,23,9,305.9,0,0,0,4.2,4.2,0.8,0.8,18,ENG,73d9bdc7
