sca,sca_pass_live,sca_pass_dead,sca_take_on,sca_shot,sca_fouled,sca_def,gca,gca_pass_live,gca_pass_dead,gca_take_on,gca_shot,gca_fouled,gca_def,season,comp,id
39,27,1,5,3,3,0,5,4,0,0,1,0,0,18,ENG,19b8b0b9
30,21,0,3,4,2,0,4,2,0,2,0,0,0,18,ENG,19ba6c6d
15,10,1,2,2,0,0,1,0,0,0,1,0,0,18,ENG,1a160ea3
21,17,0,0,4,0,0,3,2,0,0,1,0,0,18,ENG,1a2935f6
2,0,1,0,0,1,0,1,0,1,0,0,0,0,18,ENG,1a4ef233
14,12,2,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1ae30132
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1b780599
25,17,0,5,2,1,0,2,2,0,0,0,0,0,18,ENG,1b7ec703
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1bebde9d
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1bf811d4
10,9,1,0,0,0,0,1,1,0,0,0,0,0,18,ENG,1c7012b8
17,14,0,0,2,0,1,2,2,0,0,0,0,0,18,ENG,1cb49278
10,10,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG,1d387eee
20,14,0,0,2,4,0,1,0,0,0,1,0,0,18,ENG,1d6ac165
36,22,13,0,1,0,0,5,1,4,0,0,0,0,18,ENG,1d8c99b0
46,40,2,2,1,0,1,2,1,0,0,1,0,0,18,ENG,1e0b6a73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1e26e376
38,23,1,4,2,8,0,5,4,0,1,0,0,0,18,ENG,1ecb65be
37,29,4,1,0,3,0,2,2,0,0,0,0,0,18,ENG,1ef37668
12,8,0,1,1,2,0,0,0,0,0,0,0,0,18,ENG,1f9a3a04
53,39,3,8,1,1,1,6,5,0,1,0,0,0,18,ENG,20b104bc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,210d9ecb
72,59,11,1,0,1,0,9,7,2,0,0,0,0,18,ENG,21512407
6,6,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,21a66e33
125,71,1,22,21,9,1,14,9,0,4,1,0,0,18,ENG,21a66f6a
28,22,2,1,0,2,1,4,2,0,1,0,0,1,18,ENG,22551915
122,96,8,9,5,4,0,9,6,0,2,1,0,0,18,ENG,2475dcc6
3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,24fae784
9,6,0,0,2,1,0,1,1,0,0,0,0,0,18,ENG,25b166d0
9,7,0,0,2,0,0,0,0,0,0,0,0,0,18,ENG,25f50295
13,11,0,1,1,0,0,0,0,0,0,0,0,0,18,ENG,2649ff32
16,12,0,1,1,1,1,1,1,0,0,0,0,0,18,ENG,26679cdf
51,34,0,4,2,11,0,7,5,0,1,0,1,0,18,ENG,2691c772
86,56,11,9,2,8,0,12,9,1,1,0,1,0,18,ENG,26f6dca8
7,5,0,0,1,1,0,2,2,0,0,0,0,0,18,ENG,27d7453c
32,21,0,1,6,2,2,3,1,0,0,1,1,0,18,ENG,282f75f3
10,7,0,0,2,0,1,2,2,0,0,0,0,0,18,ENG,285a3d44
98,77,11,4,1,5,0,9,8,0,1,0,0,0,18,ENG,29733c72
9,7,0,1,1,0,0,2,2,0,0,0,0,0,18,ENG,2973d8ff
49,44,0,3,1,0,1,2,2,0,0,0,0,0,18,ENG,2acd49b9
65,53,5,3,2,1,1,6,6,0,0,0,0,0,18,ENG,2afc7272
124,87,8,18,4,6,1,28,18,3,6,1,0,0,18,ENG,2b114be3
33,25,0,4,1,1,2,1,1,0,0,0,0,0,18,ENG,2b471f99
17,12,0,1,0,3,1,1,1,0,0,0,0,0,18,ENG,2b622f01
14,10,2,0,0,1,1,1,1,0,0,0,0,0,18,ENG,2b91cf8e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,2baec6ce
171,109,10,20,18,13,1,23,12,1,3,5,2,0,18,ENG,2c0f8e9e
58,41,8,0,3,3,3,5,4,0,0,1,0,0,18,ENG,2ce2508a
52,47,3,1,0,1,0,8,8,0,0,0,0,0,18,ENG,2e4f5f03
23,19,2,0,0,0,2,1,0,0,0,0,0,1,18,ENG,2f4c5a52
35,24,4,3,1,3,0,2,2,0,0,0,0,0,18,ENG,2f72f79e
16,15,0,0,0,0,1,2,2,0,0,0,0,0,18,ENG,2f7acede
79,59,15,1,0,3,1,5,4,1,0,0,0,0,18,ENG,2f90f6b8
36,22,0,2,7,4,1,6,3,0,0,2,1,0,18,ENG,2ff964a0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,31dce0c8
15,11,3,0,1,0,0,0,0,0,0,0,0,0,18,ENG,3201b03d
10,8,0,0,1,0,1,1,1,0,0,0,0,0,18,ENG,3233eefd
4,1,3,0,0,0,0,1,1,0,0,0,0,0,18,ENG,32e7ce92
35,25,4,4,1,1,0,4,2,1,0,1,0,0,18,ENG,3312f911
168,110,49,2,5,0,2,13,8,5,0,0,0,0,18,ENG,33508c78
60,32,23,0,5,0,0,7,3,3,0,1,0,0,18,ENG,3515d404
8,6,1,0,1,0,0,0,0,0,0,0,0,0,18,ENG,356a9a62
1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,3680d723
2,1,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG,36c2ca73
82,57,18,3,3,0,1,7,4,2,0,1,0,0,18,ENG,3727dd3c
18,11,0,2,4,1,0,3,1,0,0,2,0,0,18,ENG,381d7d54
24,19,1,2,0,2,0,2,1,0,1,0,0,0,18,ENG,3831b9fe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,38aefb74
87,63,7,10,2,1,4,15,9,0,4,1,0,1,18,ENG,38c7feef
5,4,0,1,0,0,0,1,0,0,1,0,0,0,18,ENG,3925dbd6
50,41,3,3,2,1,0,6,6,0,0,0,0,0,18,ENG,3935e52e
17,9,3,2,1,2,0,1,0,0,0,0,1,0,18,ENG,39583cfd
4,3,0,1,0,0,0,0,0,0,0,0,0,0,18,ENG,3a24769f
3,2,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG,3a949a25
12,8,1,2,0,1,0,2,1,0,0,0,1,0,18,ENG,3bb625ac
3,2,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG,3bb7b8b4
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,3be1a627
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,3c066877
65,52,1,4,5,2,1,2,2,0,0,0,0,0,18,ENG,3ca7254a
24,17,0,4,1,1,1,2,2,0,0,0,0,0,18,ENG,3cefa66a
26,17,5,0,2,1,1,3,2,0,0,1,0,0,18,ENG,3e5e4e63
31,21,1,0,6,3,0,2,1,0,0,1,0,0,18,ENG,3e9e06cb
1,0,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,3ea50f67
61,55,3,1,0,2,0,5,4,0,0,0,1,0,18,ENG,3eb22ec9
18,15,1,0,1,0,1,2,2,0,0,0,0,0,18,ENG,3f2d59fe
13,12,0,0,1,0,0,2,2,0,0,0,0,0,18,ENG,3fe6bd8c
2,0,0,0,1,1,0,0,0,0,0,0,0,0,18,ENG,407feb71
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,4115ce4e
7,2,1,1,1,1,1,1,1,0,0,0,0,0,18,ENG,422862ea
86,59,0,8,2,13,4,9,5,0,2,0,2,0,18,ENG,43458538
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,434ad289
28,26,0,0,0,0,2,3,3,0,0,0,0,0,18,ENG,436a9dd0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,43a166b4
58,37,8,4,5,4,0,9,6,0,0,1,2,0,18,ENG,4468ec10
82,59,16,1,4,2,0,7,5,1,0,1,0,0,18,ENG,44781702
17,15,1,0,1,0,0,0,0,0,0,0,0,0,18,ENG,450ab6fc
3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,4535e4bb
5,2,1,1,1,0,0,0,0,0,0,0,0,0,18,ENG,453f566a
74,52,0,7,7,8,0,5,2,0,1,0,2,0,18,ENG,45963054
30,23,0,2,4,0,1,4,1,0,1,2,0,0,18,ENG,45da6694
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,46b5375e
51,43,4,3,1,0,0,3,3,0,0,0,0,0,18,ENG,46ee5234
25,22,0,0,2,1,0,1,1,0,0,0,0,0,18,ENG,47a34c4f
89,66,20,0,1,0,2,7,5,2,0,0,0,0,18,ENG,47b7e3af
6,3,2,0,1,0,0,0,0,0,0,0,0,0,18,ENG,4806ec67
8,7,0,0,0,1,0,1,1,0,0,0,0,0,18,ENG,4830e0af
17,14,2,0,1,0,0,2,0,1,0,1,0,0,18,ENG,495945ef
5,5,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,49b05a83
22,12,4,2,1,3,0,3,2,0,0,1,0,0,18,ENG,4a537185
56,33,0,6,7,9,1,2,2,0,0,0,0,0,18,ENG,4ab53cdb
11,8,3,0,0,0,0,0,0,0,0,0,0,0,18,ENG,4b40d9ca
59,55,0,0,0,2,2,1,1,0,0,0,0,0,18,ENG,4b511457
133,95,1,17,13,3,4,13,10,0,1,2,0,0,18,ENG,4c370d81
7,4,0,0,2,1,0,0,0,0,0,0,0,0,18,ENG,4cde5509
80,57,0,14,5,3,1,12,8,0,3,0,0,1,18,ENG,4d034881
29,21,0,3,2,3,0,3,1,0,0,2,0,0,18,ENG,4e9a0555
66,36,24,1,2,3,0,9,6,3,0,0,0,0,18,ENG,4f974391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,5167c97e
2,0,0,0,0,2,0,0,0,0,0,0,0,0,18,ENG,51a3caf1
21,19,0,0,0,1,1,0,0,0,0,0,0,0,18,ENG,51b41c5c
15,13,2,0,0,0,0,2,2,0,0,0,0,0,18,ENG,51cf8561
13,11,0,0,2,0,0,1,1,0,0,0,0,0,18,ENG,52105203
14,13,0,0,1,0,0,3,3,0,0,0,0,0,18,ENG,5271c8f1
29,21,1,4,1,1,1,1,0,0,1,0,0,0,18,ENG,53538b39
4,3,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG,53af52f3
61,58,0,1,1,0,1,8,8,0,0,0,0,0,18,ENG,53cad200
17,14,0,1,0,1,1,0,0,0,0,0,0,0,18,ENG,5540c9dc
8,8,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,562eed5c
1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,56f6f826
5,3,0,0,1,1,0,1,0,0,0,1,0,0,18,ENG,57c433c8
39,31,2,4,0,2,0,6,6,0,0,0,0,0,18,ENG,57df7a11
43,32,3,4,1,1,2,3,2,0,0,0,1,0,18,ENG,580d52dd
45,37,0,2,3,1,2,6,6,0,0,0,0,0,18,ENG,59bf127b
45,29,0,3,5,7,1,11,6,0,1,2,2,0,18,ENG,59e6e5bf
82,51,26,1,1,2,1,7,5,1,0,0,0,1,18,ENG,5a1900a4
10,8,0,0,1,0,1,3,3,0,0,0,0,0,18,ENG,5a4280b1
31,21,2,2,1,2,3,2,1,0,0,1,0,0,18,ENG,5acc4a10
3,2,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG,5b54bf3b
29,23,0,3,0,3,0,1,1,0,0,0,0,0,18,ENG,5bddccc9
1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,5be28712
38,29,1,2,5,1,0,4,1,0,1,1,1,0,18,ENG,5c2b4f07
33,23,1,4,2,3,0,8,5,0,1,1,1,0,18,ENG,5dbefa9d
80,61,0,4,14,1,0,18,13,0,2,3,0,0,18,ENG,5eae500a
38,20,7,5,3,2,1,3,1,1,0,1,0,0,18,ENG,5eebbfdf
7,5,0,0,1,1,0,1,0,0,0,0,1,0,18,ENG,5eecec3d
46,24,12,6,2,1,1,4,2,0,2,0,0,0,18,ENG,5f09991f
15,11,0,2,2,0,0,1,1,0,0,0,0,0,18,ENG,601ef102
16,9,0,2,2,3,0,1,0,0,0,1,0,0,18,ENG,61abe9b6
40,33,0,1,2,4,0,1,1,0,0,0,0,0,18,ENG,6265208f
1,1,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG,62a0089e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,63d17038
145,80,40,10,9,6,0,12,3,5,1,2,1,0,18,ENG,6421ec64
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,64b08de7
47,43,0,0,3,0,1,3,2,0,0,1,0,0,18,ENG,653ee42d
67,41,5,6,9,5,1,2,1,0,0,1,0,0,18,ENG,67d23ab0
41,32,3,3,0,2,1,1,1,0,0,0,0,0,18,ENG,6813ac34
35,25,0,1,3,4,2,5,4,0,0,1,0,0,18,ENG,68796d61
14,10,2,0,0,1,1,0,0,0,0,0,0,0,18,ENG,691bef82
53,34,6,7,5,1,0,6,4,0,0,2,0,0,18,ENG,6992791d
10,8,0,1,1,0,0,0,0,0,0,0,0,0,18,ENG,6adbc307
39,35,0,1,2,1,0,8,6,0,0,1,1,0,18,ENG,6b47c5db
84,58,8,12,2,4,0,8,8,0,0,0,0,0,18,ENG,6c679c6d
3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,6c96b263
82,70,1,5,4,2,0,12,11,0,0,1,0,0,18,ENG,6ca5ec4b
4,3,0,0,0,1,0,1,1,0,0,0,0,0,18,ENG,6cc47ae1
58,37,16,0,1,3,1,3,2,1,0,0,0,0,18,ENG,6cdd8245
10,5,0,1,4,0,0,1,1,0,0,0,0,0,18,ENG,6d6f09dc
29,23,0,2,1,2,1,1,0,0,0,1,0,0,18,ENG,6dfd5af0
19,15,0,1,1,1,1,3,3,0,0,0,0,0,18,ENG,6eaed4eb
3,2,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG,6fd8a334
12,9,0,0,1,2,0,1,1,0,0,0,0,0,18,ENG,715fc0fe
3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,71672fa0
106,63,25,5,6,6,1,8,3,4,0,1,0,0,18,ENG,71ef519e
49,40,0,2,0,3,4,3,1,0,0,0,0,2,18,ENG,72c812f3
13,8,0,0,3,2,0,2,1,0,0,0,1,0,18,ENG,7314bba4
45,40,0,1,4,0,0,3,3,0,0,0,0,0,18,ENG,73489527
17,13,3,0,1,0,0,0,0,0,0,0,0,0,18,ENG,7391c2d9
37,35,0,0,1,1,0,2,2,0,0,0,0,0,18,ENG,73d9bdc7
18,12,1,1,2,2,0,0,0,0,0,0,0,0,18,ENG,74b2cd7e
67,53,2,2,3,5,2,5,4,0,0,1,0,0,18,ENG,74e12f1e
64,38,1,17,2,4,2,3,2,0,1,0,0,0,18,ENG,7527558b
27,18,5,1,1,2,0,2,2,0,0,0,0,0,18,ENG,758dd7f0
61,39,8,6,5,2,1,10,5,1,1,2,1,0,18,ENG,75f2c59f
7,3,1,1,0,2,0,0,0,0,0,0,0,0,18,ENG,76c131da
78,42,25,6,2,2,1,7,4,2,1,0,0,0,18,ENG,76dd1480
5,4,1,0,0,0,0,1,1,0,0,0,0,0,18,ENG,76eca7e2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,76fa5f80
37,28,4,3,0,2,0,2,2,0,0,0,0,0,18,ENG,78803d03
3,3,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG,78b8ac63
7,6,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,7914b9fe
31,25,4,2,0,0,0,1,1,0,0,0,0,0,18,ENG,7a11550b
3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,7a1f2c08
4,2,2,0,0,0,0,1,0,1,0,0,0,0,18,ENG,7b4de647
6,3,3,0,0,0,0,3,1,2,0,0,0,0,18,ENG,7ba6d84e
60,33,17,6,1,3,0,3,2,1,0,0,0,0,18,ENG,7bb5f40e
5,5,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG,7bc34048
2,2,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG,7c104bb7
5,4,0,0,0,1,0,0,0,0,0,0,0,0,18,ENG,7c2a398c
14,13,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,7c4243d4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,7ca2d989
2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,7ca9f0f0
2,1,1,0,0,0,0,1,1,0,0,0,0,0,18,ENG,7d2d3329
42,33,3,2,2,2,0,8,3,3,1,1,0,0,18,ENG,7d41b619
38,28,5,1,0,4,0,2,2,0,0,0,0,0,18,ENG,7dbbe367
51,29,1,2,10,9,0,4,4,0,0,0,0,0,18,ENG,7f4f3e49
25,21,1,2,1,0,0,4,3,0,1,0,0,0,18,ENG,7fe90ccd
46,36,0,4,3,2,1,1,1,0,0,0,0,0,18,ENG,7fec31a0
14,11,0,0,2,0,1,0,0,0,0,0,0,0,18,ENG,80c31c97
69,45,6,9,4,5,0,10,6,0,3,1,0,0,18,ENG,810e3c74
85,61,0,3,8,9,4,10,7,0,0,3,0,0,18,ENG,819aa8e7
64,55,4,0,2,1,2,9,7,1,0,1,0,0,18,ENG,819b3158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,82b1198a
5,5,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,82dbf623
48,43,0,0,3,2,0,5,5,0,0,0,0,0,18,ENG,82e34b69
2,0,1,0,1,0,0,0,0,0,0,0,0,0,18,ENG,8309b068
6,5,0,0,1,0,0,1,1,0,0,0,0,0,18,ENG,833fb62e
3,3,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG,8397a50c
56,50,4,1,1,0,0,4,3,0,1,0,0,0,18,ENG,839c14e1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,85b011bb
4,2,0,1,0,0,1,0,0,0,0,0,0,0,18,ENG,861e0116
103,81,1,9,6,4,2,20,12,0,3,4,1,0,18,ENG,867239d3
58,53,2,1,0,2,0,7,7,0,0,0,0,0,18,ENG,86dd77d1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,87449a74
13,12,0,0,0,0,1,1,0,0,0,0,0,1,18,ENG,87575fd9
22,15,1,3,2,1,0,4,1,0,1,1,1,0,18,ENG,875898c7
5,5,0,0,0,0,0,3,3,0,0,0,0,0,18,ENG,87935cf3
54,38,1,8,1,5,1,6,3,0,1,1,1,0,18,ENG,8816329f
143,84,29,19,8,3,0,23,12,5,4,2,0,0,18,ENG,892d5bb1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,89cbc961
31,19,2,2,2,5,1,5,2,0,0,1,2,0,18,ENG,89d10e53
5,4,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,89e4b358
21,15,1,1,1,3,0,1,1,0,0,0,0,0,18,ENG,8a7ff278
7,7,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8aa5f52c
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8aadeaef
15,12,1,0,0,1,1,1,1,0,0,0,0,0,18,ENG,8abd0c03
16,13,0,0,1,0,2,1,1,0,0,0,0,0,18,ENG,8ae9869d
134,78,47,3,4,2,0,13,10,3,0,0,0,0,18,ENG,8aec0537
33,25,1,4,1,2,0,3,1,0,0,1,1,0,18,ENG,8b04d6c1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8b0d6fe9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8b6e0db2
76,58,1,9,4,4,0,13,11,0,1,0,1,0,18,ENG,8b788c01
1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8b8e759d
132,85,16,17,4,9,1,14,8,2,2,1,1,0,18,ENG,8b9ebd03
11,8,0,1,1,1,0,0,0,0,0,0,0,0,18,ENG,8cceca90
23,15,0,2,5,1,0,1,0,0,0,1,0,0,18,ENG,8d228291
38,32,0,0,2,2,2,8,7,0,0,0,0,1,18,ENG,8d3c902d
26,22,0,0,3,1,0,1,1,0,0,0,0,0,18,ENG,8df7a2fb
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8e65a5e5
4,3,1,0,0,0,0,1,1,0,0,0,0,0,18,ENG,8f62b6ee
14,11,0,1,1,1,0,1,1,0,0,0,0,0,18,ENG,8f866fe8
11,9,0,1,1,0,0,1,1,0,0,0,0,0,18,ENG,8f898ba8
9,7,1,0,1,0,0,2,1,0,0,1,0,0,18,ENG,90f87966
13,12,1,0,0,0,0,2,2,0,0,0,0,0,18,ENG,914ab9a1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,91bdc54a
34,25,3,1,2,3,0,6,5,0,0,1,0,0,18,ENG,9228b07c
104,69,1,17,12,3,2,20,14,0,3,2,1,0,18,ENG,92e7e919
37,31,0,1,1,3,1,1,0,0,0,0,1,0,18,ENG,9306d5ea
5,3,2,0,0,0,0,0,0,0,0,0,0,0,18,ENG,9328b835
63,58,3,1,1,0,0,4,4,0,0,0,0,0,18,ENG,935e6b8f
8,5,3,0,0,0,0,2,1,1,0,0,0,0,18,ENG,939bc634
5,4,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG,93ee387c
24,19,0,0,1,1,3,2,1,0,0,0,0,1,18,ENG,94b2001f
27,19,0,2,1,2,3,4,2,0,1,0,1,0,18,ENG,960acc0a
59,19,30,3,4,2,1,5,3,1,0,1,0,0,18,ENG,96bb8cc2
4,4,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,96e0490d
35,26,6,0,0,2,1,4,3,0,0,0,1,0,18,ENG,97572117
24,18,0,5,1,0,0,1,1,0,0,0,0,0,18,ENG,977ffc24
181,129,33,6,11,2,0,15,10,4,0,1,0,0,18,ENG,980522ec
7,6,0,0,0,1,0,2,2,0,0,0,0,0,18,ENG,984a5a64
35,26,5,0,4,0,0,2,1,1,0,0,0,0,18,ENG,987718f5
51,38,0,5,3,4,1,3,1,0,1,1,0,0,18,ENG,989d5705
26,22,0,2,1,0,1,0,0,0,0,0,0,0,18,ENG,98be0d02
20,17,0,1,1,1,0,2,1,0,0,1,0,0,18,ENG,99813635
26,22,1,1,1,1,0,0,0,0,0,0,0,0,18,ENG,9a104dee
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,9a8c6673
34,25,3,0,1,4,1,5,5,0,0,0,0,0,18,ENG,9a9c05db
41,34,4,1,1,1,0,1,1,0,0,0,0,0,18,ENG,9aa186b2
24,18,3,1,1,1,0,1,0,0,0,0,1,0,18,ENG,9aacb284
49,35,0,5,1,7,1,5,4,0,1,0,0,0,18,ENG,9c318325
19,17,2,0,0,0,0,0,0,0,0,0,0,0,18,ENG,9c94165b
57,43,10,0,2,0,2,4,3,0,0,1,0,0,18,ENG,9d107085
1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,9d597f08
1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,9dab6e3b
95,59,0,13,12,10,1,13,7,0,0,4,1,1,18,ENG,9dbb75ca
8,7,0,1,0,0,0,0,0,0,0,0,0,0,18,ENG,9e525177
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,9e53837d
55,36,0,2,5,9,3,5,3,0,1,0,1,0,18,ENG,9f472354
90,50,22,9,5,3,1,10,5,3,1,0,1,0,18,ENG,9f736ed2
2,1,0,0,0,1,0,0,0,0,0,0,0,0,18,ENG,9fa0a0b8
74,63,3,2,1,4,1,12,8,1,1,0,1,1,18,ENG,9feb8f24
38,31,0,2,0,4,1,6,5,0,1,0,0,0,18,ENG,a0666d3e
4,3,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,a1232f4e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,a179d516
55,34,4,10,2,3,2,8,5,1,1,0,1,0,18,ENG,a1d5bd30
1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,a32204c9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,a36d4785
205,143,8,31,6,17,0,19,11,0,5,1,2,0,18,ENG,a39bb753
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,a3b03921
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,a440d8ca
8,7,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,a498e276
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,a53649b7
3,3,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG,a634b9d2
