matches_gk,starts_gk,minutes_gk,nineties_gk,goals_ag,sot_ag,saves,gk_won,gk_drew,gk_lost,cs,pk_att_ag,pk_scored_ag,pk_saved,pk_missed_ag,season,comp,id
35,35,3131,34.8,37,117,83,17,6,12,11,2,1,1,0,21,ENG,2628fd2b
7,6,585,6.5,8,23,15,2,2,2,2,1,1,0,0,21,ENG,28d596a0
36,36,3240,36.0,48,161,114,5,13,18,9,6,6,0,0,21,ENG,2f965a72
31,31,2745,30.5,25,81,56,17,7,7,16,3,2,1,0,21,ENG,33887998
30,30,2700,30.0,57,147,91,8,7,15,7,6,6,0,0,21,ENG,36c2ca73
13,13,1170,13.0,19,62,44,5,5,3,3,1,1,0,0,21,ENG,3a949a25
36,36,3240,36.0,28,93,65,25,5,6,19,8,7,1,0,21,ENG,3bb7b8b4
1,1,90,1.0,3,5,1,1,0,0,0,2,1,1,0,21,ENG,3e1550ee
1,1,90,1.0,1,2,1,1,0,0,0,0,0,0,0,21,ENG,42130443
14,14,1260,14.0,21,44,24,3,5,6,3,5,5,0,0,21,ENG,4535e4bb
38,38,3420,38.0,63,206,145,7,2,29,5,4,3,0,1,21,ENG,466fb2c5
31,31,2742,30.5,39,128,90,15,5,11,10,3,2,0,1,21,ENG,4806ec67
4,4,360,4.0,14,24,10,0,0,4,0,0,0,0,0,21,ENG,4879f8cb
32,32,2880,32.0,37,149,113,10,9,13,11,3,3,0,0,21,ENG,4b40d9ca
38,38,3420,38.0,50,136,88,20,6,12,11,4,4,0,0,21,ENG,53af52f3
3,3,270,3.0,2,10,8,2,0,1,1,0,0,0,0,21,ENG,58bc7d18
2,2,180,2.0,1,7,6,1,0,1,1,0,0,0,0,21,ENG,62d7ef38
3,3,270,3.0,3,9,6,2,0,1,1,0,0,0,0,21,ENG,6385ebfb
27,27,2430,27.0,27,91,65,7,10,10,10,3,2,0,1,21,ENG,6a713852
35,35,3150,35.0,52,188,137,16,5,14,11,9,8,1,0,21,ENG,6b625ac2
1,0,48,0.5,0,3,3,0,0,0,0,0,0,0,0,21,ENG,728e9b2e
38,38,3420,38.0,46,186,133,16,7,15,15,6,5,1,0,21,ENG,7956236f
37,37,3329,37.0,51,148,99,12,9,16,10,8,7,1,0,21,ENG,79b0d6a0
33,33,2970,33.0,32,115,82,18,8,7,10,8,4,1,3,21,ENG,7a2e46a8
26,26,2295,25.5,32,90,59,12,9,5,9,4,4,0,0,21,ENG,7ba6d84e
38,38,3420,38.0,45,155,113,18,8,12,12,10,10,0,0,21,ENG,8f62b6ee
1,0,16,0.2,0,2,2,0,0,0,0,0,0,0,0,21,ENG,8fa8f8d2
35,35,3150,35.0,44,138,97,17,8,10,10,5,3,1,1,21,ENG,9328b835
37,37,3330,37.0,74,234,162,4,11,22,6,11,7,1,3,21,ENG,9e5708be
1,1,90,1.0,3,3,0,0,1,0,0,0,0,0,0,21,ENG,a179d516
37,37,3330,37.0,64,169,104,11,8,18,8,4,3,1,0,21,ENG,ab13a5aa
8,8,720,8.0,11,31,19,4,0,4,2,3,2,1,0,21,ENG,c3e39f12
2,2,180,2.0,4,6,2,0,0,2,0,0,0,0,0,21,ENG,c73ada83
1,1,90,1.0,2,5,3,1,0,0,0,0,0,0,0,21,ENG,cc70a1d5
25,25,2250,25.0,43,126,84,7,4,14,4,4,3,1,0,21,ENG,cde3309f
2,1,91,1.0,1,4,3,0,0,1,0,0,0,0,0,21,ENG,da8b19e2
13,12,1125,12.5,12,51,39,9,2,1,4,0,0,0,0,21,ENG,e5a76dfe
1,1,90,1.0,2,6,4,1,0,0,0,0,0,0,0,21,ENG,e608ed4c
7,7,630,7.0,9,30,21,2,3,2,2,1,1,0,0,21,ENG,e7ee38c3
3,3,270,3.0,9,18,9,1,1,1,1,0,0,0,0,21,ENG,f76e6b4e
4,4,360,4.0,12,22,9,0,1,3,0,3,2,1,0,22,ENG,19e50035
12,12,1080,12.0,28,72,46,1,0,11,0,3,3,0,0,22,ENG,1c0eea98
4,4,360,4.0,9,19,10,1,0,3,1,0,0,0,0,22,ENG,2628fd2b
1,1,90,1.0,2,5,3,0,0,1,0,0,0,0,0,22,ENG,28300a16
4,4,360,4.0,2,13,11,2,1,1,2,0,0,0,0,22,ENG,28d596a0
1,1,90,1.0,1,3,2,0,0,1,0,0,0,0,0,22,ENG,2f965a72
34,34,3060,34.0,31,102,72,19,10,5,14,6,6,0,0,22,ENG,33887998
17,17,1530,17.0,27,71,44,3,7,7,5,0,0,0,0,22,ENG,36c2ca73
26,26,2340,26.0,35,106,72,13,4,9,8,1,1,0,0,22,ENG,3a949a25
