matches,minutes,nineties,starts,completed,sub,sub_unused,onpitch_goals,onpitch_goals_ag,onpitch_goals_delta,onpitch_xg,onpitch_xga,onpitch_xg_delta,season,comp,id
4,79,0,0,0,4,4,0,2,-2,0.9,2.2,-1,18,ENG,38aefb74
35,1734,19,17,7,18,0,46,27,19,34.9,19.5,15,18,ENG,38c7feef
6,95,1,0,0,6,4,4,0,4,2.0,1.0,1,18,ENG,3925dbd6
27,2147,23,25,19,2,9,49,30,19,45.4,28.5,17,18,ENG,3935e52e
7,435,4,5,0,2,0,3,3,0,4.8,3.5,1,18,ENG,39583cfd
2,129,1,2,0,0,6,0,4,-4,1.4,2.8,-1,18,ENG,3a24769f
12,1080,12,12,12,0,1,15,11,4,15.2,13.8,1,18,ENG,3a949a25
14,845,9,9,3,5,5,11,20,-9,7.0,18.2,-11,18,ENG,3bb625ac
36,3194,35,36,35,0,1,99,26,73,74.7,22.1,52,18,ENG,3bb7b8b4
1,58,0,1,0,0,2,0,1,-1,0.5,1.0,0,18,ENG,3be1a627
1,21,0,0,0,1,4,0,0,0,0.2,0.1,0,18,ENG,3c066877
31,1523,16,17,4,14,4,29,14,15,21.0,15.2,5,18,ENG,3ca7254a
20,1397,15,15,10,5,4,12,26,-14,13.3,25.2,-12,18,ENG,3cefa66a
34,2767,30,31,29,3,3,37,53,-16,30.9,50.9,-20,18,ENG,3e5e4e63
28,2510,27,28,26,0,1,24,39,-15,25.9,34.6,-8,18,ENG,3e9e06cb
3,10,0,0,0,3,3,1,0,1,0.6,0.0,0,18,ENG,3ea50f67
35,1533,17,15,9,20,3,46,10,36,32.0,10.6,21,18,ENG,3eb22ec9
27,2273,25,25,23,2,3,51,30,21,46.8,30.9,15,18,ENG,3f2d59fe
20,1602,17,19,17,1,2,19,18,1,21.3,24.6,-3,18,ENG,3fe6bd8c
5,55,0,0,0,5,5,2,1,1,1.1,0.9,0,18,ENG,407feb71
5,426,4,5,3,0,9,5,5,0,4.4,2.8,1,18,ENG,4115ce4e
6,447,5,5,3,1,0,7,7,0,6.0,7.2,-1,18,ENG,422862ea
33,2453,27,27,18,6,0,31,38,-7,27.9,42.0,-14,18,ENG,43458538
2,19,0,0,0,2,3,0,0,0,0.0,0.4,0,18,ENG,434ad289
26,1268,14,13,7,13,7,20,14,6,15.5,19.0,-3,18,ENG,436a9dd0
1,10,0,0,0,1,1,0,1,-1,0.1,0.8,0,18,ENG,43a166b4
35,1697,18,17,6,18,3,25,35,-10,22.1,25.9,-3,18,ENG,4468ec10
29,2324,25,26,24,3,7,47,20,27,44.4,21.6,22,18,ENG,44781702
33,2928,32,32,31,1,1,33,31,2,37.2,41.6,-4,18,ENG,450ab6fc
38,3420,38,38,38,0,0,34,54,-20,37.0,50.8,-13,18,ENG,4535e4bb
4,170,1,1,0,3,0,2,2,0,1.9,1.8,0,18,ENG,453f566a
37,3247,36,37,26,0,0,52,57,-5,47.7,45.9,1,18,ENG,45963054
23,1820,20,21,17,2,12,21,37,-16,22.7,28.2,-5,18,ENG,45da6694
1,9,0,0,0,1,16,0,0,0,0.0,0.0,0,18,ENG,46b5375e
33,2827,31,32,27,1,0,23,44,-21,31.2,39.8,-8,18,ENG,46ee5234
13,867,9,11,5,2,11,18,12,6,16.8,12.2,4,18,ENG,47a34c4f
36,3067,34,34,29,2,0,25,52,-27,28.0,43.6,-15,18,ENG,47b7e3af
38,3420,38,38,38,0,0,44,58,-14,40.5,52.4,-11,18,ENG,4806ec67
5,220,2,2,0,3,8,1,5,-4,1.6,3.0,-1,18,ENG,4830e0af
19,1111,12,12,10,7,19,16,17,-1,13.4,17.1,-3,18,ENG,495945ef
7,135,1,1,0,6,18,2,3,-1,2.5,0.7,1,18,ENG,49b05a83
13,614,6,8,0,5,5,7,17,-10,5.8,13.4,-7,18,ENG,4a537185
37,2812,31,31,13,6,1,24,41,-17,28.6,38.3,-9,18,ENG,4ab53cdb
35,3115,34,34,34,1,3,31,35,-4,29.3,46.2,-17,18,ENG,4b40d9ca
34,2897,32,34,28,0,3,27,47,-20,32.0,40.0,-7,18,ENG,4b511457
37,2763,30,32,12,5,1,73,32,41,61.2,28.5,32,18,ENG,4c370d81
5,106,1,1,0,4,3,1,2,-1,2.2,1.0,1,18,ENG,4cde5509
25,1963,21,22,13,3,4,63,12,51,45.8,13.1,32,18,ENG,4d034881
24,1624,18,20,7,4,1,22,11,11,17.0,23.0,-6,18,ENG,4e9a0555
36,3069,34,35,30,1,1,45,60,-15,34.5,47.8,-13,18,ENG,4f974391
1,4,0,0,0,1,6,0,0,0,0.0,0.0,0,18,ENG,5167c97e
5,228,2,3,1,2,7,3,10,-7,1.0,6.7,-5,18,ENG,51a3caf1
30,2130,23,24,19,6,4,22,38,-16,23.4,31.7,-8,18,ENG,51b41c5c
8,532,5,6,3,2,12,16,3,13,10.6,3.4,7,18,ENG,51cf8561
17,1435,15,16,15,1,2,16,26,-10,23.7,20.1,3,18,ENG,52105203
7,363,4,4,3,3,1,14,1,13,9.2,2.5,6,18,ENG,5271c8f1
30,1406,15,14,8,16,8,8,21,-13,12.9,21.5,-8,18,ENG,53538b39
33,2965,32,33,32,0,0,49,47,2,44.7,39.6,5,18,ENG,53af52f3
37,3330,37,37,37,0,1,61,38,23,52.9,33.8,19,18,ENG,53cad200
38,3386,37,38,37,0,0,30,55,-25,35.6,47.8,-12,18,ENG,5540c9dc
17,1452,16,17,15,0,3,14,27,-13,14.9,19.4,-4,18,ENG,562eed5c
3,200,2,2,2,1,28,1,5,-4,2.0,2.9,0,18,ENG,56f6f826
14,306,3,0,0,14,4,5,11,-6,4.5,7.8,-3,18,ENG,57c433c8
27,1870,20,21,13,6,5,27,29,-2,21.2,27.3,-6,18,ENG,57df7a11
27,1641,18,20,11,7,6,13,30,-17,15.8,23.3,-7,18,ENG,580d52dd
29,2126,23,24,20,5,5,37,20,17,31.4,21.5,9,18,ENG,59bf127b
32,1882,20,18,13,14,1,26,29,-3,23.9,29.0,-5,18,ENG,59e6e5bf
37,2570,28,28,20,9,1,18,39,-21,24.4,44.3,-20,18,ENG,5a1900a4
16,1440,16,16,16,0,22,14,21,-7,13.0,22.4,-9,18,ENG,5a4280b1
23,1542,17,18,13,5,13,15,29,-14,18.5,23.3,-4,18,ENG,5acc4a10
5,260,2,2,0,3,6,3,3,0,2.4,4.9,-2,18,ENG,5b54bf3b
19,1329,14,17,6,2,1,12,23,-11,12.3,18.6,-6,18,ENG,5bddccc9
6,366,4,4,3,2,16,9,7,2,7.3,5.1,2,18,ENG,5be28712
17,1429,15,16,14,1,13,35,12,23,30.5,9.7,20,18,ENG,5c2b4f07
30,1845,20,19,11,11,4,20,41,-21,20.9,34.4,-13,18,ENG,5dbefa9d
34,2867,31,33,30,1,0,63,26,37,49.6,35.6,14,18,ENG,5eae500a
13,1023,11,13,6,0,0,13,9,4,14.2,12.0,2,18,ENG,5eebbfdf
18,1302,14,16,11,2,4,44,11,33,30.7,8.5,22,18,ENG,5eecec3d
28,2184,24,25,21,3,8,31,38,-7,32.2,34.7,-2,18,ENG,5f09991f
15,453,5,3,0,12,3,9,12,-3,7.1,8.5,-1,18,ENG,601ef102
15,707,7,8,4,7,0,3,8,-5,5.5,9.7,-4,18,ENG,61abe9b6
30,1712,19,19,4,11,4,20,25,-5,18.5,26.2,-7,18,ENG,6265208f
3,37,0,0,0,3,5,1,0,1,1.0,0.8,0,18,ENG,62a0089e
1,90,1,1,1,0,1,1,0,1,0.9,0.8,0,18,ENG,63d17038
36,3039,33,36,26,0,1,30,58,-28,31.6,54.3,-22,18,ENG,6421ec64
4,205,2,3,0,1,0,0,6,-6,1.6,5.3,-3,18,ENG,64b08de7
36,3240,36,36,36,0,0,34,50,-16,34.9,48.1,-13,18,ENG,653ee42d
33,2452,27,27,17,6,3,22,39,-17,24.4,29.3,-4,18,ENG,67d23ab0
37,3289,36,37,35,0,0,45,62,-17,34.3,50.6,-16,18,ENG,6813ac34
27,1324,14,17,2,10,2,25,19,6,21.2,18.7,2,18,ENG,68796d61
