y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp,id
3,0,0,23,17,1,0,0,0,139,10,21,31,18,ENG,5a1900a4
1,0,0,15,21,1,0,1,1,68,78,57,135,18,ENG,5a4280b1
3,0,0,21,16,1,0,0,0,119,42,23,65,18,ENG,5acc4a10
1,0,0,1,0,0,0,0,0,15,1,2,3,18,ENG,5b54bf3b
1,0,0,20,32,5,0,0,0,79,17,35,52,18,ENG,5bddccc9
0,0,0,2,4,0,0,0,0,32,22,6,28,18,ENG,5be28712
2,2,1,21,16,2,0,1,0,89,48,29,77,18,ENG,5c2b4f07
5,0,0,24,36,6,1,0,0,93,45,98,143,18,ENG,5dbefa9d
4,0,0,31,16,18,0,0,0,55,108,95,203,18,ENG,5eae500a
1,0,0,15,20,0,1,0,0,84,2,17,19,18,ENG,5eebbfdf
0,0,0,6,2,0,0,0,0,67,33,10,43,18,ENG,5eecec3d
7,0,0,18,10,3,0,0,0,162,6,5,11,18,ENG,5f09991f
2,0,0,21,9,4,0,0,0,23,22,28,50,18,ENG,601ef102
2,0,0,7,11,2,0,0,0,15,43,58,101,18,ENG,61abe9b6
2,0,0,30,23,3,0,0,0,54,144,120,264,18,ENG,6265208f
0,0,0,3,1,0,0,0,0,1,1,0,1,18,ENG,62a0089e
0,0,0,0,0,0,0,0,0,0,1,0,1,18,ENG,63d17038
5,0,0,28,50,15,0,0,0,153,5,20,25,18,ENG,6421ec64
0,0,0,3,2,0,0,0,0,20,4,4,8,18,ENG,64b08de7
6,0,0,50,17,0,0,1,0,293,28,30,58,18,ENG,653ee42d
0,0,0,22,36,10,0,0,0,136,16,43,59,18,ENG,67d23ab0
9,0,0,33,34,1,0,2,1,182,57,56,113,18,ENG,6813ac34
2,0,0,20,28,9,0,0,0,66,30,58,88,18,ENG,68796d61
0,0,0,4,4,0,0,0,0,23,8,6,14,18,ENG,691bef82
1,0,0,6,2,1,0,0,0,74,10,25,35,18,ENG,6992791d
6,1,0,13,11,2,0,0,0,138,45,34,79,18,ENG,6adbc307
8,4,2,60,26,1,1,0,0,296,116,74,190,18,ENG,6b47c5db
4,1,0,22,23,8,0,0,0,171,15,19,34,18,ENG,6c679c6d
0,0,0,1,5,1,0,0,0,6,0,2,2,18,ENG,6c96b263
1,0,0,11,12,1,0,0,0,110,3,14,17,18,ENG,6ca5ec4b
0,0,0,2,3,2,0,0,0,12,1,10,11,18,ENG,6cc47ae1
2,2,1,33,26,1,0,0,0,151,24,42,66,18,ENG,6cdd8245
0,0,0,1,1,2,0,0,0,5,4,4,8,18,ENG,6d6f09dc
2,0,0,17,20,1,0,0,0,82,5,26,31,18,ENG,6dfd5af0
3,0,0,17,14,2,0,1,0,128,82,51,133,18,ENG,6eaed4eb
2,0,0,7,3,0,0,0,0,50,13,9,22,18,ENG,6fd8a334
0,0,0,12,11,4,0,0,0,55,11,9,20,18,ENG,715fc0fe
1,0,0,0,4,0,0,0,0,47,14,1,15,18,ENG,71672fa0
6,0,0,37,36,3,0,1,0,184,33,81,114,18,ENG,71ef519e
7,2,1,50,52,1,0,0,0,287,33,32,65,18,ENG,72c812f3
8,0,0,33,25,7,1,1,0,162,192,89,281,18,ENG,7314bba4
6,0,0,13,7,0,0,0,0,156,5,12,17,18,ENG,73489527
0,0,0,5,2,0,0,0,0,59,14,13,27,18,ENG,7391c2d9
4,0,0,40,11,14,0,0,0,40,243,122,365,18,ENG,73d9bdc7
3,0,0,15,17,0,0,1,0,135,79,71,150,18,ENG,74b2cd7e
7,0,0,23,54,1,0,0,0,244,51,78,129,18,ENG,74e12f1e
2,0,0,13,15,4,0,0,0,102,13,40,53,18,ENG,7527558b
2,0,0,24,12,2,0,1,0,70,22,19,41,18,ENG,758dd7f0
3,0,0,18,27,2,2,0,0,101,3,17,20,18,ENG,75f2c59f
1,0,0,4,7,0,0,0,0,21,0,1,1,18,ENG,76c131da
2,0,0,19,16,1,0,0,0,120,19,39,58,18,ENG,76dd1480
1,0,0,0,2,0,0,0,0,21,8,0,8,18,ENG,76eca7e2
0,0,0,0,0,0,0,0,0,1,0,0,0,18,ENG,76fa5f80
3,0,0,19,8,0,0,1,0,116,28,22,50,18,ENG,78803d03
0,0,0,4,4,0,0,0,0,10,22,20,42,18,ENG,78b8ac63
1,1,0,17,17,0,0,0,0,103,91,30,121,18,ENG,7914b9fe
3,0,0,15,10,1,0,0,0,144,33,30,63,18,ENG,7a11550b
0,0,0,3,0,0,0,0,0,23,4,3,7,18,ENG,7a1f2c08
2,0,0,2,7,0,0,1,0,23,8,2,10,18,ENG,7b4de647
0,0,0,0,4,0,0,0,0,39,1,1,2,18,ENG,7ba6d84e
3,0,0,14,13,11,0,0,0,114,35,36,71,18,ENG,7bb5f40e
3,0,0,12,6,1,0,1,0,55,25,21,46,18,ENG,7bc34048
0,0,0,5,3,0,0,0,0,10,1,2,3,18,ENG,7c104bb7
0,0,0,6,2,2,0,0,0,8,3,6,9,18,ENG,7c2a398c
3,0,0,14,10,0,0,1,0,86,1,3,4,18,ENG,7c4243d4
1,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,7ca2d989
0,0,0,1,2,0,0,0,0,3,2,1,3,18,ENG,7ca9f0f0
1,0,0,5,5,0,0,0,0,22,0,1,1,18,ENG,7d2d3329
