att_tackle,cmp_tackle,att_tackle_def,att_tackle_mid,att_tackle_att,cmp_drib_tackle,att_drib_tackle,uns_drib_tackle,block,block_shot,block_pass,intercept,tackle_plus_intercept,clearance,error,season,comp,id
17,15,6,9,2,4,23,19,27,0,27,11,28,14,1,18,ENG,4468ec10
47,33,13,21,13,25,48,23,24,5,19,28,75,70,1,18,ENG,44781702
31,19,19,11,1,12,19,7,33,24,9,28,59,232,1,18,ENG,450ab6fc
0,0,0,0,0,0,3,3,0,0,0,3,3,10,3,18,ENG,4535e4bb
6,3,2,3,1,2,8,6,5,0,5,0,6,2,0,18,ENG,453f566a
15,9,3,7,5,1,8,7,21,1,20,2,17,17,0,18,ENG,45963054
46,31,29,10,7,22,52,30,16,5,11,33,79,61,0,18,ENG,45da6694
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,46b5375e
41,24,27,10,4,16,30,14,32,12,20,48,89,102,0,18,ENG,46ee5234
12,6,6,3,3,6,10,4,11,0,11,10,22,12,2,18,ENG,47a34c4f
102,60,39,51,12,23,55,32,39,5,34,38,140,52,0,18,ENG,47b7e3af
0,0,0,0,0,0,2,2,0,0,0,2,2,26,5,18,ENG,4806ec67
5,4,2,0,3,1,7,6,4,0,4,1,6,2,0,18,ENG,4830e0af
13,10,10,3,0,2,16,14,17,9,8,19,32,16,0,18,ENG,495945ef
2,0,0,1,1,0,0,0,3,0,3,2,4,0,1,18,ENG,49b05a83
10,7,3,5,2,3,13,10,5,0,5,0,10,3,0,18,ENG,4a537185
31,21,12,11,8,9,50,41,32,2,30,19,50,41,0,18,ENG,4ab53cdb
0,0,0,0,0,0,1,1,0,0,0,0,0,21,0,18,ENG,4b40d9ca
93,64,41,44,8,32,100,68,59,19,40,69,162,77,2,18,ENG,4b511457
65,50,9,36,20,8,58,50,40,2,38,18,83,10,0,18,ENG,4c370d81
2,1,1,0,1,0,1,1,0,0,0,0,2,1,0,18,ENG,4cde5509
9,6,2,6,1,2,17,15,12,1,11,6,15,3,0,18,ENG,4d034881
7,3,2,3,2,3,13,10,12,4,8,0,7,16,0,18,ENG,4e9a0555
34,21,12,20,2,19,30,11,42,17,25,44,78,117,1,18,ENG,4f974391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,5167c97e
6,4,5,1,0,6,8,2,4,1,3,7,13,6,0,18,ENG,51a3caf1
58,40,34,21,3,15,44,29,18,7,11,61,119,59,1,18,ENG,51b41c5c
23,16,11,9,3,7,13,6,3,0,3,6,29,7,0,18,ENG,51cf8561
10,5,8,2,0,7,17,10,17,14,3,23,33,98,1,18,ENG,52105203
5,4,2,0,3,5,7,2,5,0,5,8,13,9,0,18,ENG,5271c8f1
40,28,23,14,3,10,55,45,18,4,14,20,60,22,0,18,ENG,53538b39
1,0,1,0,0,1,3,2,1,0,1,0,1,18,5,18,ENG,53af52f3
80,59,47,26,7,27,54,27,48,22,26,54,134,135,1,18,ENG,53cad200
58,38,46,12,0,26,50,24,55,37,18,60,118,278,2,18,ENG,5540c9dc
11,9,7,4,0,4,15,11,27,14,13,22,33,104,0,18,ENG,562eed5c
2,2,1,1,0,1,4,3,3,3,0,1,3,9,0,18,ENG,56f6f826
5,2,1,4,0,0,3,3,3,0,3,1,6,2,0,18,ENG,57c433c8
58,37,36,16,6,25,58,33,25,2,23,26,84,38,1,18,ENG,57df7a11
39,24,18,17,4,12,49,37,23,5,18,45,84,23,0,18,ENG,580d52dd
64,41,25,32,7,16,48,32,23,6,17,37,101,38,4,18,ENG,59bf127b
15,8,5,3,7,2,15,13,13,1,12,10,25,23,1,18,ENG,59e6e5bf
53,33,22,23,8,14,53,39,37,8,29,29,82,18,1,18,ENG,5a1900a4
32,23,28,4,0,16,26,10,25,14,11,19,51,129,1,18,ENG,5a4280b1
43,26,15,25,3,19,47,28,21,1,20,43,86,38,0,18,ENG,5acc4a10
1,0,1,0,0,1,4,3,0,0,0,0,1,4,0,18,ENG,5b54bf3b
30,26,13,12,5,8,19,11,14,1,13,2,32,9,0,18,ENG,5bddccc9
2,2,0,2,0,0,1,1,4,3,1,6,8,22,2,18,ENG,5be28712
48,27,27,13,8,11,31,20,20,1,19,31,79,54,1,18,ENG,5c2b4f07
34,24,9,20,5,8,32,24,18,1,17,9,43,11,0,18,ENG,5dbefa9d
7,4,1,3,3,0,13,13,9,2,7,3,10,22,2,18,ENG,5eae500a
31,17,16,13,2,12,35,23,12,1,11,14,45,11,0,18,ENG,5eebbfdf
15,11,11,4,0,4,11,7,8,5,3,19,34,44,0,18,ENG,5eecec3d
47,32,29,15,3,16,34,18,24,5,19,47,94,64,2,18,ENG,5f09991f
6,4,0,6,0,3,6,3,3,0,3,0,6,0,0,18,ENG,601ef102
5,4,2,2,1,1,5,4,4,1,3,2,7,15,0,18,ENG,61abe9b6
22,17,10,11,1,7,34,27,25,2,23,11,33,39,0,18,ENG,6265208f
1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,18,ENG,62a0089e
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,ENG,63d17038
25,17,9,11,5,10,39,29,9,1,8,16,41,6,2,18,ENG,6421ec64
9,9,3,4,2,1,5,4,9,2,7,5,14,3,1,18,ENG,64b08de7
104,62,63,39,2,32,114,82,53,16,37,63,167,69,1,18,ENG,653ee42d
35,27,14,16,5,10,29,19,20,0,20,12,47,12,0,18,ENG,67d23ab0
96,67,54,28,14,48,98,50,72,13,59,61,157,152,0,18,ENG,6813ac34
25,16,3,18,4,4,28,24,15,1,14,8,33,6,0,18,ENG,68796d61
6,4,3,2,1,2,7,5,3,0,3,7,13,14,0,18,ENG,691bef82
16,8,8,4,4,7,15,8,21,6,15,6,22,15,0,18,ENG,6992791d
29,20,24,5,0,13,25,12,30,18,12,41,70,108,2,18,ENG,6adbc307
138,89,68,65,5,45,119,74,67,10,57,51,189,103,2,18,ENG,6b47c5db
39,26,25,11,3,16,55,39,29,3,26,23,62,16,0,18,ENG,6c679c6d
2,2,2,0,0,2,4,2,0,0,0,1,3,3,0,18,ENG,6c96b263
19,15,8,8,3,5,18,13,19,1,18,7,26,10,1,18,ENG,6ca5ec4b
1,0,0,1,0,0,1,1,0,0,0,1,2,1,1,18,ENG,6cc47ae1
48,26,25,16,7,21,52,31,11,1,10,25,73,21,0,18,ENG,6cdd8245
4,3,1,2,1,2,7,5,5,0,5,1,5,0,0,18,ENG,6d6f09dc
22,16,8,9,5,6,24,18,13,0,13,11,33,3,0,18,ENG,6dfd5af0
34,20,26,8,0,14,30,16,21,15,6,46,80,154,0,18,ENG,6eaed4eb
13,10,13,0,0,7,13,6,16,8,8,16,29,46,0,18,ENG,6fd8a334
8,7,4,1,3,2,7,5,5,0,5,4,12,8,0,18,ENG,715fc0fe
1,1,1,0,0,1,1,0,0,0,0,0,1,23,7,18,ENG,71672fa0
46,32,22,18,6,14,53,39,37,5,32,35,81,63,1,18,ENG,71ef519e
117,93,65,41,11,35,86,51,59,9,50,62,179,48,1,18,ENG,72c812f3
31,19,22,9,0,7,20,13,66,59,7,50,81,332,5,18,ENG,7314bba4
33,22,12,18,3,10,46,36,35,7,28,46,79,25,0,18,ENG,73489527
25,15,18,4,3,10,22,12,16,2,14,12,37,49,1,18,ENG,7391c2d9
2,0,0,1,1,0,12,12,7,4,3,1,3,31,0,18,ENG,73d9bdc7
30,24,18,10,2,8,18,10,40,27,13,58,88,197,1,18,ENG,74b2cd7e
60,44,25,27,8,20,62,42,36,15,21,41,101,86,1,18,ENG,74e12f1e
31,24,16,12,3,8,33,25,7,0,7,15,46,16,0,18,ENG,7527558b
36,22,25,8,3,15,30,15,25,6,19,18,54,65,0,18,ENG,758dd7f0
10,8,4,5,1,2,13,11,16,0,16,9,19,6,0,18,ENG,75f2c59f
7,6,5,1,1,3,8,5,4,0,4,1,8,2,0,18,ENG,76c131da
38,26,15,14,9,16,57,41,37,7,30,34,72,36,0,18,ENG,76dd1480
0,0,0,0,0,0,0,0,1,0,1,2,2,5,1,18,ENG,76eca7e2
1,1,1,0,0,0,1,1,1,0,1,0,1,4,0,18,ENG,76fa5f80
30,17,21,6,3,14,22,8,17,11,6,38,68,76,0,18,ENG,78803d03
4,3,0,2,2,1,3,2,2,0,2,0,4,3,0,18,ENG,78b8ac63
29,21,15,9,5,10,21,11,21,14,7,27,56,127,1,18,ENG,7914b9fe
58,45,32,23,3,21,40,19,19,8,11,34,92,57,1,18,ENG,7a11550b
11,8,6,4,1,0,2,2,7,1,6,12,23,13,0,18,ENG,7a1f2c08
0,0,0,0,0,0,2,2,0,0,0,2,2,16,7,18,ENG,7b4de647
0,0,0,0,0,0,1,1,1,0,1,0,0,9,3,18,ENG,7ba6d84e
27,16,17,5,5,10,29,19,21,1,20,24,51,43,0,18,ENG,7bb5f40e
21,12,18,3,0,10,19,9,16,11,5,21,42,77,1,18,ENG,7bc34048
1,1,0,1,0,0,2,2,2,0,2,1,2,3,0,18,ENG,7c104bb7
6,3,1,5,0,1,3,2,1,0,1,0,6,2,0,18,ENG,7c2a398c
20,13,8,8,4,10,37,27,6,0,6,13,33,8,1,18,ENG,7c4243d4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,ENG,7ca2d989
1,1,1,0,0,1,3,2,2,2,0,0,1,1,0,18,ENG,7ca9f0f0
9,5,6,3,0,2,10,8,12,1,11,8,17,4,0,18,ENG,7d2d3329
16,12,5,8,3,6,23,17,33,12,21,16,32,52,2,18,ENG,7d41b619
35,19,17,14,4,15,45,30,19,11,8,14,49,34,0,18,ENG,7dbbe367
48,36,26,15,7,8,21,13,22,0,22,14,62,76,1,18,ENG,7f4f3e49
26,11,14,9,3,11,25,14,11,2,9,6,32,26,0,18,ENG,7fe90ccd
50,25,19,26,5,19,68,49,36,8,28,25,75,35,0,18,ENG,7fec31a0
35,25,26,8,1,12,18,6,41,27,14,31,66,146,1,18,ENG,80c31c97
30,21,10,13,7,5,27,22,18,3,15,9,39,13,0,18,ENG,810e3c74
39,21,11,15,13,12,54,42,36,1,35,24,63,28,0,18,ENG,819aa8e7
27,15,8,14,5,9,37,28,14,1,13,16,43,12,0,18,ENG,819b3158
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,ENG,82b1198a
6,3,1,2,3,1,2,1,0,0,0,0,6,6,0,18,ENG,82dbf623
15,11,3,8,4,3,11,8,14,1,13,5,20,20,0,18,ENG,82e34b69
7,3,6,1,0,4,6,2,1,1,0,1,8,4,0,18,ENG,8309b068
2,1,0,1,1,0,3,3,1,0,1,1,3,0,0,18,ENG,833fb62e
1,1,1,0,0,0,0,0,2,2,0,6,7,13,1,18,ENG,8397a50c
54,34,40,10,4,22,31,9,32,8,24,24,78,109,2,18,ENG,839c14e1
0,0,0,0,0,0,2,2,0,0,0,1,1,3,3,18,ENG,85b011bb
12,6,6,4,2,6,9,3,7,2,5,5,17,19,0,18,ENG,861e0116
33,23,13,15,5,5,33,28,16,0,16,21,54,26,0,18,ENG,867239d3
47,31,20,21,6,18,31,13,21,2,19,29,76,75,2,18,ENG,86dd77d1
1,1,0,1,0,1,2,1,0,0,0,0,1,0,0,18,ENG,87449a74
15,8,6,8,1,2,11,9,12,3,9,14,29,19,1,18,ENG,87575fd9
60,51,48,12,0,36,61,25,32,17,15,40,100,177,2,18,ENG,875898c7
21,14,15,5,1,9,16,7,19,11,8,30,51,101,3,18,ENG,87935cf3
17,16,10,7,0,7,20,13,35,5,30,13,30,27,1,18,ENG,8816329f
39,27,16,17,6,10,63,53,32,1,31,18,57,15,0,18,ENG,892d5bb1
0,0,0,0,0,0,0,0,1,1,0,3,3,14,0,18,ENG,89cbc961
15,11,6,7,2,8,15,7,12,6,6,9,24,15,0,18,ENG,89d10e53
8,5,5,3,0,4,5,1,8,6,2,3,11,38,0,18,ENG,89e4b358
35,30,23,12,0,16,28,12,27,11,16,28,63,76,0,18,ENG,8a7ff278
45,26,33,12,0,14,34,20,25,16,9,45,90,133,4,18,ENG,8aa5f52c
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8aadeaef
23,18,15,3,5,11,24,13,5,1,4,20,43,30,0,18,ENG,8abd0c03
83,61,56,27,0,24,41,17,54,30,24,75,158,275,1,18,ENG,8ae9869d
36,24,18,16,2,10,67,57,31,5,26,14,50,20,0,18,ENG,8aec0537
45,29,24,18,3,13,56,43,30,3,27,37,82,26,1,18,ENG,8b04d6c1
4,3,2,1,1,2,5,3,2,1,1,4,8,7,0,18,ENG,8b0d6fe9
2,1,1,1,0,1,1,0,0,0,0,0,2,0,0,18,ENG,8b6e0db2
15,13,9,2,4,3,12,9,5,1,4,3,18,7,0,18,ENG,8b788c01
2,2,0,1,1,2,2,0,0,0,0,0,2,0,0,18,ENG,8b8e759d
22,17,7,12,3,0,16,16,13,1,12,10,32,10,0,18,ENG,8b9ebd03
7,5,5,2,0,3,12,9,7,2,5,10,17,23,0,18,ENG,8cceca90
7,5,1,3,3,3,10,7,15,3,12,1,8,10,0,18,ENG,8d228291
71,49,43,26,2,23,62,39,31,11,20,32,103,56,1,18,ENG,8d3c902d
33,20,22,11,0,16,29,13,51,42,9,33,66,217,1,18,ENG,8df7a2fb
0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,18,ENG,8e65a5e5
1,1,1,0,0,1,4,3,0,0,0,2,3,34,8,18,ENG,8f62b6ee
3,2,0,2,1,1,15,14,3,0,3,4,7,6,0,18,ENG,8f866fe8
5,1,0,3,2,0,1,1,4,0,4,0,5,5,0,18,ENG,8f898ba8
11,6,5,6,0,2,6,4,12,9,3,14,25,37,1,18,ENG,90f87966
42,25,28,14,0,21,36,15,37,23,14,34,76,185,0,18,ENG,914ab9a1
0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,18,ENG,91bdc54a
30,20,14,11,5,12,54,42,19,5,14,24,54,21,0,18,ENG,9228b07c
17,10,2,12,3,2,28,26,18,0,18,10,27,12,0,18,ENG,92e7e919
