id,Player,Nation
07f73a4f,Jack Lahne,Sweden
07f8bcc8,Assan Ceesay,Gambia
080440a4,Martin Hinteregger,Austria
08082af0,Loïck Landre,France
080ac8d8,Sergio Araujo,Argentina
080de72a,Yannis M'Bemba,France
0810b6df,Patrick Pentz,Austria
081b6080,Lorenzo Del Pinto,Italy
0821331c,Mattia Bani,Italy
0827221a,Didar Schalmukan,Kazakhstan
0830a4f9,Mauro Antonio Burruchaga,Argentina
083525e5,Papy Djilobodji,Senegal
08452314,Alireza Jahanbakhsh,Iran
0847b5a5,Mattia Aramu,Italy
08511d65,Sergio Ramos,Spain
08534272,Karim Aribi,Algeria
08593525,Diadie Samassékou,Mali
085e71a7,Bartłomiej Drągowski,Poland
0861b8d6,Pietro Iemmello,Italy
086d7db3,Ivan Santini,Croatia
0880e10b,Ruslan Neshcheret,Ukraine
088ca1bd,Jonathan Schmid,France
088e6424,Vlastimil Hrubý,Czech Republic
089550f5,Kwadwo Asamoah,Ghana
089667a5,Lewis O'Brien,England
08990838,Denis Vavro,Slovakia
089c7323,Igor Paixão,Brazil
08a2c314,Tolga Zengin,Turkey
08aa17d0,Antonio Valencia,Ecuador
08aa9cd1,Andrea Pinamonti,Italy
08c982a0,Maksim Nenakhov,Russia
08d37c53,Franz Brorsson,Sweden
08eb3b58,Matías Viña,Uruguay
08f5afaa,Gianluigi Donnarumma,Italy
08fe932d,Nicolai Boilesen,Denmark
091795f2,Gabriele Corbo,Italy
091c86e2,Felix Kalu Nmecha,Germany
09332647,Bruno Soriano,Spain
09507ffa,Aleksandar Radovanović,Serbia
09538fdb,Kevin Lasagna,Italy
09586899,Arjen Robben,Netherlands
0959184b,Joel Mugisha,Norway
0959c2a2,Federico Valverde,Uruguay
095e4199,Arber Zeneli,Kosovo 
095ec83c,Anthony Olusanya,Finland
0967845b,Fabiano Parisi,Italy
096a77c4,Ibrahima Traoré,Guinea
098139eb,Danilo Soddimo,Italy
0984c5d5,Rémi Walter,France
09899de8,Simone Romagnoli,Italy
0990f2fb,Fernando Varela,Cape Verde
0999a593,Jan-Ingwer Callsen-Bracker,Germany
099a2de5,Giuseppe Caso,Italy
099b9c78,Georgii Kyrnats,Russia
099e666f,Jonjoe Kenny,England
09a9e921,Carlos Bacca,Colombia
09bcc566,Virgil Misidjan,Netherlands
09e81276,Jacobo,Spain
09f24df6,Maxime Pélican,France
09fec029,Sean Morrison,England
0a084b35,Josip Juranović,Croatia
0a0cc13c,Sergio León,Spain
0a16eb36,Jordi Osei-Tutu,England
0a1cb833,Jiří Pavlenka,Czech Republic
0a1efd3c,Andrey Galabinov,Bulgaria
0a215326,Roman Zobnin,Russia
0a3065c8,Mitchell Dijks,Netherlands
0a396655,Frank Castañeda,Colombia
0a3d6d2b,Chris Richards,United States
0a3f6cde,Christopher Antwi-Adjei,Ghana
0a447501,Antonio Sanabria,Paraguay
0a483542,Giorgos Kyriakopoulos,Greece
0a63446f,Mickaël Alphonse,Guadeloupe
0a69de7b,Enrique Valiente,Spain
0a6cb1b1,Harry Souttar,Australia
0a6dbbf7,Brandon Mechele,Belgium
0a721e85,Mikael Anderson,Iceland
0a74011c,Vladyslav Babohlo,Ukraine
0a86fd8b,Andrei Sinitsyn,Russia
0a89e877,Benjamin Henrichs,Germany
0a8bcb23,Jorge Pombo,Spain
0a8d6b91,Alexis Trouillet,France
0a8fd9cb,Javier Serrano,Spain
0a98ecc2,Samuel Stückler,Austria
0aa874f4,Alaixys Romao,Togo
0ab1f153,Juan Cuadrado,Colombia
0abc51f2,Jorge Cuenca,Spain
0ac893aa,Damjan Đoković,Croatia
0ac94a23,Denis Cheryshev,Russia
0acda699,Francesco Bardi,Italy
0acf0e1c,Veljko Simić,Serbia
0ad37003,Yvan Neyou,Cameroon
0ad69fd0,Bilal Kısa,Turkey
0adc7748,Frederico Venâncio,Portugal
0ae4e09a,Roger Martí,Spain
0aeeed3f,Christian Fassnacht,Switzerland
0af4b238,José Mena Rodríguez,Spain
0af4dcf0,Cédric Bakambu,DR Congo
0afff3b7,Omri Altman,Israel
0b0cbe5b,Denis Bouanga,Gabon
0b0f256d,Mory Bamba,Ivory Coast
0b104510,Marco Meyerhöfer,Germany
0b221abd,Andrej Prskalo,Croatia
0b243559,Nikolas Dyhr,Denmark
0b2c8585,Raúl Guti,Spain
0b2c9aec,Mitchell van Bergen,Netherlands
0b33f6ad,Mohammed Salisu,Ghana
0b380363,Marin Ljubičić,Croatia
0b45a8d7,Semir Telalovic,Germany
0b4854f9,Emil Bergström,Sweden
0b4d8274,Romain Hamouma,France
0b4f388a,Breel Embolo,Switzerland
0b5a292a,Mário Rui,Portugal
0b5b8057,Artem Kravets,Ukraine
0b7dae21,Sava Cestic,Serbia
0b90bb97,Santi Mina,Spain
0ba976e4,Ansu Fati,Spain
0bad4516,Ryan Bennett,England
0bb6e193,Yvann Macon,France
0bbab654,Guillem Molina,Spain
0bc4e720,Manu Vallejo,Spain
0bd57693,Nono,Spain
0bd57eb0,Arton Zekaj,Kosovo 
0bdda685,Dexter Lembikisa,Jamaica
0be276c6,Norbert Gyömbér,Slovakia
0be28faf,Scott Brown,Scotland
0be3255b,Alexander Walke,Germany
0be46103,Tefik Osmani,Albania
0be95d34,Romain Del Castillo,France
0bf123b6,Mario Mitaj,Albania
0bf3c11c,Patryk Klimala,Poland
0bfca6a1,Quentin Merlin,France
0c09c984,Oscar Lewicki,Sweden
0c0d6ed1,Okechukwu Godson Azubuike,Nigeria
0c152537,Daniel Bragança,Portugal
0c291a1a,Mathías Suárez,Uruguay
0c2ac3cb,Rafinha,Brazil
0c3057a9,Mikael Ishak,Sweden
0c35d28d,Felice D'Amico,Italy
0c3f7197,Emre Mor,Turkey
0c5c94d0,Nair Tiknizyan,Russia
0c61c77c,Dodi Lukebakio,Belgium
0c717ae6,Barcia,Spain
0c7a48f8,Piero Hincapié,Ecuador
0c81fbf1,Radim Černický,Czech Republic
0c8f27b5,Augustus Kargbo,Sierra Leone
0c971997,Gabriele Angella,Italy
0ca476cc,Dijon Kameri,Kosovo 
0caa2fd4,Johan Bakayoko,Belgium
0cadc46d,Vedat Muriqi,Kosovo 
0cb29e91,Njegoš Petrović,Serbia
0cbc8baa,Jean-Kevin Duverne,France
0cc07deb,Grigori Borisenko,Russia
0cc474e7,Ramon Azeez,Nigeria
0cc5f4a5,Lukas Nmecha,Germany
0ccac09c,Stefano Sabelli,Italy
0cd0e21b,Jordan Lukaku,Belgium
0cd31129,Brennan Johnson,Wales
0cddeaa7,Philipp Klement,Germany
0ceb43f6,Ruslan Litvinov,Russia
0cf465f2,Kaio Jorge,Brazil
0cf778df,Chris Führich,Germany
0d077b88,Mehdi Bourabia,Morocco
0d10333c,Gabriel,Brazil
0d115860,Tymur Stetskov,Ukraine
0d2158d5,Jordan Marié,France
0d267745,Nicolás Otamendi,Argentina
0d298637,Dani Plomer,Spain
0d2b0b84,Andriy Zaporozhan,Ukraine
0d2bdb4b,Mariano Julio Izco,Argentina
0d3585b5,Kevin Denkey,Togo
0d422df7,Marco Silvestri,Italy
0d4ceb32,Matěj Vydra,Czech Republic
0d4fd3a0,Sean Goldberg,Israel
0d55d942,Alexander Schwolow,Germany
0d57f1c1,Henri Bedimo,Cameroon
0d690336,Larra,Spain
0d72fbca,Gianluca Gaudino,Germany
0d7b6576,Sepe Elye Wahi,France
0d82903c,Alex Sandro,Brazil
0d85a4e8,Marcus Bettinelli,England
0d863fdc,Carlão,Brazil
0d8a37c2,Tobias Sippel,Germany
0d901d79,Ben Cottrell,England
0d99c6e1,Tyron Tormin,France
0d9b2d31,Pedri,Spain
0da32a38,Nils Seufert,Germany
0da5076f,Albert Gronbaek Erlykke,Denmark
0da6a13e,Theo Bongonda,DR Congo
0daa34cc,Francisco Daniel Simões Rodrigues,Portugal
0dabaf14,Dženis Burnić,Germany
0db169ae,Sandro Tonali,Italy
0db5d2c8,Mathias Jørgensen,Denmark
0dce3356,Tomás Tavares,Portugal
0de73fa4,Alhassan Yusuf,Nigeria
0def2376,Warren Bondo,France
0df2b165,John Lundstram,England
0dfce079,Boris Radunović,Serbia
0e0102eb,Omar Marmoush,Egypt
0e0ab524,Niko Bungert,Germany
0e0d6c53,Duccio Degli Innocenti,Italy
0e0e4422,Davide Angelo Ghislandi,Italy
0e100630,Martin Linnes,Norway
0e12089d,Maxime Dupé,France
0e21fc3c,Borja Valero,Spain
0e34de55,Filipe Augusto,Brazil
0e46fa2f,Matthis Abline,France
0e490f6e,Denis Drăguș,Romania
0e4fef6e,Lucas Torró,Spain
0e50f929,Fran Mérida,Spain
0e5753c7,Marcelo Goiano,Brazil
0e5b695f,Max Woltman,England
0e5ddc7c,Dani Gómez,Spain
0e61c46b,Marco Wölfli,Switzerland
0e6bc38c,Eric Maxim Choupo-Moting,Cameroon
0e7ccfc4,Sébastien Corchia,France
0e96a5e1,Christopher Martins,Luxembourg
0eac2f24,Emre Kaplan,Turkey
0eb03d5b,Vukašin Jovanović,Serbia
0eb5720b,Mërgim Mavraj,Albania
0eb83e1a,Bruno Felipe Souza da Silva,Brazil
