fk_ag,ck_ag,og_ag,ps_xG,ps_xG_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,season,comp,id
0,0,0,30.3,3.3,76,274,490,84,17591.0,154,6329,222,16,184,14.2,75,23,ITA,343f753a
0,0,0,10.1,4.1,30,99,244,44,7588.4,54,2111,134,4,173,15.8,25,23,ITA,4c62d0c8
0,3,1,34.3,1.3,112,320,868,170,28123.2,163,5476,371,13,233,12.3,58,23,ITA,4e0c8d66
0,0,0,1.7,-0.3,7,21,23,3,807.3,13,664,24,1,34,17.0,10,23,ITA,54f6afe3
0,4,2,32.3,-4.7,159,441,714,104,27917.4,200,8840,356,24,319,13.9,114,23,ITA,649b01d8
0,3,0,21.0,2.0,38,143,265,34,9884.5,67,3102,107,6,130,14.5,34,23,ITA,67f649be
0,1,1,12.0,-3.0,29,59,309,49,8003.1,54,1398,97,2,163,16.3,5,23,ITA,74419746
0,7,1,32.3,2.3,117,346,869,123,28937.7,139,5921,489,28,160,10.7,68,23,ITA,77d6fd4d
1,3,1,20.6,-4.4,108,259,509,99,17051.5,195,6610,319,11,298,14.2,67,23,ITA,79b0d6a0
0,3,0,28.1,-8.9,135,335,846,135,28848.6,225,7605,346,20,367,14.7,76,23,ITA,8cabdc1e
2,4,1,28.7,-0.3,100,327,483,98,19609.8,130,6682,244,19,234,13.8,83,23,ITA,8ec56e62
0,1,0,18.1,2.1,44,121,563,91,15088.4,158,4297,271,8,429,16.5,32,23,ITA,9413b19f
1,5,2,32.4,2.4,137,532,661,111,27497.6,212,11066,400,20,351,13.0,163,23,ITA,9f5a610b
0,6,0,28.3,-4.7,193,671,1001,119,41141.1,201,14411,340,23,787,16.4,191,23,ITA,9fa26bc2
0,3,2,16.6,-3.4,99,233,484,137,15342.8,134,6271,229,13,304,15.2,79,23,ITA,a111cf41
1,6,2,36.9,2.9,120,301,712,147,23282.4,198,6870,351,22,266,13.3,75,23,ITA,ab4449d6
1,2,0,7.8,-1.2,31,77,181,45,5158.5,61,2982,86,7,278,19.9,42,23,ITA,ac4003af
2,4,1,16.8,-4.2,94,195,473,75,15561.7,83,3469,195,9,187,14.4,43,23,ITA,b056e3da
0,0,0,0.8,0.8,6,30,21,0,1203.3,13,907,19,1,12,12.0,13,23,ITA,b9e11c1d
1,4,1,35.0,-5.0,233,515,649,89,28036.8,193,9244,348,17,820,16.4,124,23,ITA,c1d95617
0,0,0,0.7,-0.3,15,43,57,5,2376.9,8,452,24,1,47,15.7,7,23,ITA,cc1a0c57
0,3,1,24.3,-3.7,119,289,680,85,22576.0,151,6009,211,11,837,18.6,67,23,ITA,e1b0a70d
0,2,1,12.2,-1.8,74,192,596,82,17880.0,107,3798,206,10,77,12.9,34,23,ITA,e9c0c1b2
0,0,0,3.2,0.2,9,18,61,10,1811.7,16,452,28,2,0,9.0,5,23,ITA,f058ed1f
0,1,0,1.9,-0.09999999999999998,16,47,147,24,9422.7,16,1035,36,2,0,11.3,10,23,ITA,f0f7f62f
0,0,0,1.7,-1.3,2,4,25,4,565.0,6,199,7,0,51,25.7,1,23,ITA,f554e29b
0,0,0,1.5,-0.5,2,4,10,2,243.0,8,259,8,0,22,22.0,3,23,ITA,f794b426
0,1,0,12.9,-1.1,47,114,359,56,11559.8,31,1174,111,7,268,16.8,11,23,ITA,fcb38f57
0,1,0,9.0,1.0,76,147,291,24,10214.1,70,2898,127,9,222,14.8,41,18,SPA,011d8c56
0,0,0,0.7,-0.3,1,6,21,5,585.9,10,304,7,0,0,7.7,1,18,SPA,04ac8285
0,0,0,10.3,0.3,30,89,76,3,3693.6,33,2112,57,1,0,11.1,33,18,SPA,113fb4ea
0,2,0,2.7,-1.3,3,14,18,2,694.8,10,457,17,1,0,3.0,5,18,SPA,1fa85681
1,5,0,36.5,5.5,182,507,578,133,24044.8,237,13840,422,27,301,13.1,199,18,SPA,20b9f052
3,9,2,47.3,-8.7,167,421,474,106,18817.8,234,12589,443,23,135,11.3,172,18,SPA,24279b8b
1,0,2,13.3,2.3,63,162,196,47,8565.2,52,2979,77,5,214,15.3,45,18,SPA,26f2473f
3,5,3,43.4,3.4,318,644,843,112,35574.6,206,11968,395,23,294,13.4,168,18,SPA,28d596a0
0,2,0,5.0,-1.0,10,34,42,9,1344.0,27,1301,45,0,80,16.1,18,18,SPA,307fcd26
0,1,0,1.8,0.8,12,31,22,2,1185.8,11,649,21,2,0,7.8,10,18,SPA,581c5276
0,1,1,10.5,0.5,31,76,195,48,6045.0,72,2973,118,4,66,13.3,33,18,SPA,58bc7d18
1,5,0,34.3,-4.7,96,305,475,118,15960.0,192,9580,349,18,156,12.0,128,18,SPA,5f0241b2
0,0,0,1.2,0.0,11,26,29,9,1084.6,19,1033,27,0,0,9.3,13,18,SPA,60713cb3
0,0,0,1.3,1.3,13,38,28,1,1467.2,12,816,19,0,64,21.4,12,18,SPA,61bb7498
2,5,1,38.9,-5.1,143,361,959,114,30592.1,151,6553,301,18,523,15.4,81,18,SPA,625c144a
0,5,4,41.8,-7.2,176,490,1002,130,32865.6,253,11233,468,17,321,14.6,151,18,SPA,65d62814
0,1,0,36.3,8.3,129,304,1040,192,28600.0,262,10925,404,15,619,15.1,122,18,SPA,6f51e382
1,3,0,16.3,1.3,108,248,228,33,10898.4,95,5966,185,8,302,17.8,90,18,SPA,6fb59070
0,0,2,10.7,1.7,55,166,178,39,6995.4,92,4986,146,4,11,11.3,80,18,SPA,73683fa9
3,4,0,44.4,1.4,311,894,859,89,42434.6,258,16460,481,29,737,15.7,248,18,SPA,75751c99
0,2,0,6.4,-0.6,49,128,103,11,5407.5,48,3153,70,4,29,9.9,47,18,SPA,7956236f
1,0,0,4.7,-1.3,19,43,38,4,1759.4,19,1107,21,1,32,16.0,18,18,SPA,7a9fae62
0,0,0,1.5,1.5,8,40,94,10,3243.0,20,728,62,3,20,10.4,8,18,SPA,7c218bf9
0,4,1,23.3,-4.7,110,285,494,48,17932.2,129,6527,214,8,253,14.1,85,18,SPA,8875b8c9
1,4,1,50.8,4.8,156,443,907,175,30928.7,230,10833,376,23,969,17.0,124,18,SPA,8d957256
0,1,1,17.4,-0.6,69,150,279,70,9039.6,98,4645,199,12,169,13.0,62,18,SPA,8f8c6934
0,0,0,8.5,2.5,89,196,223,28,9722.8,65,3971,130,6,127,14.2,58,18,SPA,9109185e
0,4,0,26.2,-4.8,137,415,660,76,25608.0,151,8335,325,6,276,13.8,114,18,SPA,967f34d3
2,7,2,49.2,1.2,325,773,698,101,30293.2,355,20057,646,17,237,12.5,317,18,SPA,97852360
0,0,0,2.7,0.7,8,26,25,1,1362.5,8,572,9,1,0,8.0,8,18,SPA,983ccabe
0,0,0,0.2,0.0,5,13,10,2,486.0,5,332,11,0,0,9.0,5,18,SPA,9970da54
1,2,0,32.0,2.0,124,346,454,118,16979.6,200,10560,399,26,332,12.8,147,18,SPA,9f0ea33f
1,4,0,43.7,10.7,170,488,541,150,21477.7,277,15678,541,21,67,9.6,219,18,SPA,a9dc785c
0,2,0,13.8,-0.2,46,152,230,57,7452.0,105,5680,243,5,50,10.0,82,18,SPA,aad4f74f
0,1,0,35.8,9.8,243,797,710,69,34932.0,284,18204,479,21,510,15.0,275,18,SPA,ab13a5aa
2,2,3,44.7,-1.3,334,888,942,93,48418.8,216,15141,339,21,1843,19.0,206,18,SPA,ac295d9e
0,4,3,38.0,2.0,168,481,501,78,22094.1,225,12195,402,22,338,14.7,181,18,SPA,b5bdf144
1,3,0,56.3,5.3,278,733,717,88,33412.2,279,16907,480,28,236,11.8,257,18,SPA,ba3ca78f
0,2,0,4.7,-3.3,15,47,143,23,3961.1,39,1552,54,5,65,13.0,17,18,SPA,bfa29677
0,1,0,3.7,-0.3,4,16,19,2,769.5,10,439,14,0,27,13.5,7,18,SPA,bfb15d99
0,0,0,0.5,0.5,3,15,10,1,512.0,7,394,16,1,13,13.5,7,18,SPA,c0b1a6da
0,0,0,1.8,-0.2,0,2,24,6,595.2,8,223,7,2,0,10.5,1,18,SPA,c818c4d9
0,1,0,6.9,1.9,18,48,106,31,3095.2,34,1659,81,2,35,11.9,21,18,SPA,c9cb972b
0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,18,SPA,c9e39d91
0,0,0,2.9,0.9,10,37,30,6,1380.0,18,995,36,2,12,12.0,16,18,SPA,cfd68aa7
1,0,1,8.3,0.3,45,101,117,25,4609.8,49,2528,77,4,0,11.0,35,18,SPA,d24e154c
0,1,0,4.8,-1.2,15,51,106,11,3286.0,25,1325,42,1,0,7.8,20,18,SPA,dc4511f3
0,6,1,33.1,3.1,74,199,537,130,16271.1,163,7563,309,12,496,16.0,90,18,SPA,ecada4fc
1,2,1,32.7,11.7,191,566,632,108,26796.8,275,14795,534,25,154,11.9,218,18,SPA,ee8508c0
2,2,1,44.5,-0.5,226,635,633,86,29118.0,243,14774,411,9,417,14.4,218,18,SPA,f6798fc3
0,3,0,22.9,-4.1,42,116,288,64,8294.4,94,4004,157,7,124,13.8,50,18,SPA,f69e9eee
0,1,0,10.2,-0.8,63,126,284,35,8946.0,77,3326,160,5,373,17.8,46,19,SPA,011d8c56
0,0,0,2.9,-1.1,11,21,87,14,2262.0,24,794,45,0,94,15.8,8,19,SPA,04ac8285
1,1,1,17.1,-0.9,74,237,252,23,11239.2,80,4864,140,2,45,11.3,75,19,SPA,129dd8e7
0,0,0,1.2,0.2,3,11,18,2,635.4,5,268,9,0,0,8.5,4,19,SPA,17a1299d
0,5,1,32.9,-1.1,108,259,415,82,15438.0,138,6389,255,5,279,15.5,85,19,SPA,17d9e354
0,3,0,36.3,0.3,93,270,655,167,21156.5,184,7838,288,21,284,14.2,84,19,SPA,1840e36d
2,7,0,45.6,-1.4,106,281,995,173,26268.0,249,9138,406,23,731,15.9,92,19,SPA,20b9f052
0,1,1,11.1,2.1,40,106,167,44,6379.4,64,2803,113,4,28,9.6,36,19,SPA,26f2473f
0,1,0,6.3,1.3,32,70,91,19,3621.8,33,1864,43,1,31,15.7,25,19,SPA,3061e1ec
0,1,0,8.5,1.5,45,93,142,20,5325.0,49,2249,97,3,161,16.1,31,19,SPA,307fcd26
0,0,0,3.6,1.6,22,85,114,28,4582.8,33,1758,56,1,186,20.7,26,19,SPA,5512b1a9
0,0,1,16.6,-2.4,126,278,308,41,13736.8,80,4968,132,5,488,18.1,76,19,SPA,581c5276
0,2,0,13.3,0.3,42,102,134,34,4917.8,55,3124,89,4,22,11.1,44,19,SPA,5dcf3e90
1,0,0,5.3,-0.7,26,71,80,6,3800.0,18,1170,31,2,26,13.1,16,19,SPA,61bb7498
1,10,2,29.7,-3.3,155,430,872,107,28514.4,218,10747,430,23,446,14.4,149,19,SPA,625c144a
0,1,0,3.0,1.0,5,16,13,2,432.9,11,577,18,0,0,0.0,9,19,SPA,65d62814
0,2,1,37.5,6.5,114,223,883,197,24105.9,200,7680,395,8,518,16.2,84,19,SPA,6f51e382
5,7,2,51.8,3.8,226,562,868,133,30727.2,333,15850,674,24,233,12.3,216,19,SPA,73683fa9
2,2,1,36.9,-0.1,312,764,803,93,37259.2,274,16631,542,27,375,13.4,246,19,SPA,75751c99
2,4,0,45.5,1.5,166,534,743,186,28159.7,256,14233,474,29,277,13.2,199,19,SPA,7b456af7
1,2,1,19.1,-1.9,91,237,330,47,12045.0,128,6668,230,8,90,12.9,92,19,SPA,8875b8c9
0,0,0,0.5,-0.5,8,22,24,3,1207.2,3,213,7,0,0,15.5,3,19,SPA,8d957256
1,2,2,39.5,7.5,351,941,808,49,41773.6,279,16516,468,20,524,13.8,265,19,SPA,8f8c6934
0,8,1,47.8,3.8,243,771,820,166,34768.0,329,19838,583,18,134,11.2,294,19,SPA,8fae77ea
0,4,0,29.5,-2.5,316,723,767,89,35972.3,209,13438,419,18,588,17.3,196,19,SPA,9109185e
3,3,0,40.7,0.7,166,432,595,114,22610.0,220,12496,351,12,468,15.6,167,19,SPA,967f34d3
3,1,2,50.0,6.0,292,714,749,87,32057.2,294,16464,557,19,624,15.6,257,19,SPA,97852360
0,1,0,2.5,-1.5,33,80,66,11,3227.4,33,2072,75,2,17,8.6,31,19,SPA,9970da54
2,4,3,47.3,5.3,182,439,566,134,22187.2,254,13081,580,20,306,11.8,176,19,SPA,9f0ea33f
0,3,1,25.8,2.8,89,252,295,83,11623.0,162,7954,224,5,248,14.6,111,19,SPA,a01c3d54
2,5,2,39.8,7.8,162,499,574,158,22615.6,275,15785,562,10,200,12.5,226,19,SPA,a9dc785c
2,3,0,27.5,-2.5,199,577,604,67,30139.6,155,10648,271,15,1060,18.6,146,19,SPA,ac295d9e
1,3,1,40.7,1.7,116,318,351,97,14215.5,224,10640,363,14,165,11.8,147,19,SPA,b5bdf144
1,0,1,33.5,4.5,219,483,418,37,21401.6,165,10461,309,5,81,11.6,156,19,SPA,bca21ef3
0,0,0,2.5,0.5,2,7,16,4,556.8,8,224,8,0,16,16.5,0,19,SPA,bfb15d99
0,0,1,10.9,-4.1,39,131,112,15,4905.6,65,3841,76,0,10,10.5,58,19,SPA,c0b1a6da
0,1,0,1.7,-0.3,3,8,29,2,800.4,11,379,11,0,46,23.3,3,19,SPA,c818c4d9
0,1,0,2.6,1.6,24,49,61,18,2141.1,30,1641,58,4,25,12.5,26,19,SPA,c9cb972b
0,1,0,6.0,1.0,22,56,158,22,4834.8,27,996,60,2,224,18.7,11,19,SPA,cda0b317
0,2,0,10.0,2.0,30,85,239,64,7504.6,61,2647,101,5,289,18.1,26,19,SPA,ecada4fc
0,3,2,39.3,14.3,215,580,570,102,23370.0,291,16703,537,22,192,12.0,257,19,SPA,ee8508c0
2,5,1,49.7,7.7,182,471,718,133,26637.8,264,13068,439,15,248,13.1,179,19,SPA,f6798fc3
0,5,0,32.9,-2.1,132,322,472,115,17700.0,168,7828,319,8,244,14.4,104,19,SPA,fc70e345
0,1,1,15.4,0.4,81,158,361,57,10938.3,100,4430,150,7,407,17.7,69,20,SPA,011d8c56
2,1,1,29.1,0.1,116,366,549,133,19269.9,205,10516,385,6,179,13.8,141,20,SPA,04ac8285
0,4,0,26.7,6.7,76,280,865,200,26469.0,217,8180,403,21,478,14.5,78,20,SPA,1840e36d
1,1,0,21.2,-2.8,128,367,376,61,17672.0,142,8236,226,5,200,15.4,117,20,SPA,24279b8b
0,1,0,4.1,-0.9,14,32,105,27,2824.5,29,1200,57,2,56,14.2,14,20,SPA,2f965a72
0,2,1,6.5,-0.5,16,45,112,16,3136.0,43,1474,72,3,0,10.2,17,20,SPA,307fcd26
2,3,0,30.0,-2.0,139,351,767,76,25157.6,146,7387,297,6,730,17.4,101,20,SPA,374ee424
0,1,0,7.9,-4.1,23,58,147,34,4527.6,36,1461,69,2,146,18.3,15,20,SPA,4df0dff8
1,0,1,15.8,-1.2,47,175,223,58,9321.4,74,4469,117,7,58,14.5,60,20,SPA,5512b1a9
1,2,2,34.6,7.6,304,716,838,145,35363.6,268,16508,495,20,262,13.1,242,20,SPA,5dcf3e90
2,6,1,60.9,1.9,241,644,888,176,35164.8,306,14657,520,26,383,13.7,179,20,SPA,605eb473
0,0,0,6.4,1.4,31,74,67,5,3544.3,24,1608,52,2,20,10.2,24,20,SPA,61bb7498
0,0,0,0.0,0.0,1,3,5,1,151.0,1,65,1,0,0,0.0,1,20,SPA,65d62814
0,0,0,3.1,0.1,25,76,100,22,4250.0,26,1214,39,2,27,13.6,14,20,SPA,67669ce7
2,1,0,34.8,-1.2,122,239,1206,177,30994.2,224,6585,379,18,592,15.2,55,20,SPA,6f51e382
0,4,2,53.9,-2.1,218,661,834,118,34277.4,302,15039,474,26,795,15.9,210,20,SPA,73683fa9
1,7,0,30.7,-2.3,213,598,605,107,27890.5,217,13714,396,11,615,16.2,199,20,SPA,75751c99
3,2,1,27.3,-2.7,145,375,692,155,23666.4,234,10506,405,18,420,15.0,134,20,SPA,7b456af7
0,2,0,3.4,0.4,19,76,73,8,3613.5,24,1536,49,3,31,10.5,21,20,SPA,81a606fc
0,0,0,1.0,0.0,5,18,35,6,1053.5,19,737,37,0,16,16.0,9,20,SPA,8875b8c9
0,0,0,2.6,-0.4,12,38,50,10,2230.0,14,740,27,0,54,18.2,10,20,SPA,8f29e08b
0,2,2,38.3,3.3,359,970,880,46,46376.0,259,15151,383,20,1248,18.1,236,20,SPA,8f8c6934
2,3,0,43.6,4.6,238,711,714,122,31130.4,336,18614,540,12,163,10.9,269,20,SPA,8fae77ea
1,0,0,5.2,-3.8,41,101,138,27,5713.2,30,1644,52,6,0,10.0,24,20,SPA,9109185e
3,3,0,41.1,-1.9,184,518,691,122,25843.4,292,14483,523,19,107,9.8,199,20,SPA,967f34d3
3,2,0,34.3,-2.7,262,572,558,85,23715.0,250,14175,386,8,144,13.1,226,20,SPA,97852360
0,0,0,2.2,-0.8,29,61,56,9,2581.6,27,1563,34,1,9,9.1,23,20,SPA,9970da54
0,8,1,38.7,-1.3,130,397,750,157,24900.0,282,11731,576,16,380,14.1,148,20,SPA,9f0ea33f
1,8,2,52.7,3.7,170,491,772,193,29027.2,333,13253,590,20,648,14.4,157,20,SPA,a01c3d54
2,4,0,27.4,0.4,149,453,462,73,21760.2,147,8702,235,16,508,16.4,133,20,SPA,a4995f48
0,0,0,1.6,-0.4,5,10,46,5,1127.0,15,363,22,1,66,16.6,3,20,SPA,a9dc785c
0,0,0,1.0,0.0,1,6,2,0,99.0,5,326,1,0,0,0.0,5,20,SPA,aae17c81
2,3,1,45.8,-4.2,266,822,815,88,42054.0,244,17299,419,24,1342,17.9,234,20,SPA,ac295d9e
0,1,0,2.3,-0.7,6,14,24,6,912.0,9,360,7,0,0,8.3,4,20,SPA,af245161
0,0,0,0.5,0.5,6,17,51,15,1586.1,12,496,21,3,0,7.8,6,20,SPA,b5bdf144
0,1,0,20.1,1.1,84,195,170,9,8942.0,66,4349,107,3,34,11.5,61,20,SPA,ba3ca78f
0,1,0,1.6,-0.4,9,24,43,13,1578.1,19,598,46,0,64,16.1,7,20,SPA,bfb15d99
1,3,0,21.0,-2.0,95,233,329,68,11251.8,132,6428,234,6,64,10.8,95,20,SPA,c9cb972b
1,3,1,46.9,-0.1,135,406,905,137,29865.0,241,8555,455,10,907,17.8,93,20,SPA,cda0b317
0,0,0,3.7,-1.3,13,40,58,8,1838.6,28,1425,44,1,51,12.8,19,20,SPA,cde52ef5
1,5,0,42.8,0.8,304,823,974,115,41979.4,299,16684,499,25,1095,16.6,240,20,SPA,ea83bfa6
1,4,3,29.8,5.8,232,589,635,111,26162.0,316,15768,532,12,157,13.1,229,20,SPA,ee8508c0
0,0,0,4.7,1.7,34,75,123,24,4145.1,45,2142,73,1,11,11.7,30,20,SPA,f6798fc3
0,0,0,0.6,-1.4,6,12,21,3,789.6,4,228,12,0,0,0.0,2,20,SPA,f9b42381
0,0,0,11.0,-1.0,79,183,203,33,8810.2,68,3726,127,5,49,12.3,55,21,SPA,039ae103
1,0,0,11.3,0.3,67,187,225,42,9315.0,95,4949,170,3,211,19.2,63,21,SPA,04ac8285
0,0,0,1.5,-0.5,1,4,18,6,471.6,7,212,16,0,61,30.5,2,21,SPA,0f7dbaf6
0,0,1,24.0,0.0,117,328,518,82,19735.8,129,6256,287,11,208,13.0,83,21,SPA,10072610
0,3,1,32.7,5.7,89,300,1086,243,32145.6,235,8601,472,26,690,15.7,76,21,SPA,1840e36d
0,0,0,4.4,-0.6,32,50,45,2,2227.5,14,834,23,1,77,19.4,14,21,SPA,24279b8b
1,3,1,18.2,-1.8,80,232,447,73,15287.4,120,4860,258,4,147,13.4,59,21,SPA,307fcd26
0,4,1,35.0,-2.0,204,520,998,132,35029.8,217,10784,415,9,813,17.3,139,21,SPA,374ee424
1,6,1,36.0,-3.0,205,489,799,204,28124.8,263,13886,539,24,513,15.1,193,21,SPA,5dcf3e90
0,0,0,2.3,-0.7,34,69,102,26,4100.4,17,1188,19,0,364,24.3,17,21,SPA,61bb7498
0,0,0,2.7,-1.3,10,25,76,18,1968.4,21,863,33,1,0,9.7,9,21,SPA,625c144a
0,3,1,6.3,-1.7,59,151,180,24,8100.0,63,3937,93,2,37,12.4,52,21,SPA,63d17038
0,0,0,10.2,2.2,37,111,125,13,5812.5,33,1996,65,2,198,18.0,27,21,SPA,67669ce7
2,3,1,44.7,0.7,342,834,708,60,35683.2,297,19334,512,31,241,11.5,281,21,SPA,6c4776b1
1,4,2,28.6,-1.4,78,171,881,156,23346.5,161,5087,283,17,505,15.8,42,21,SPA,6f51e382
0,0,0,5.8,0.8,17,37,120,22,3504.0,25,755,62,4,22,11.2,6,21,SPA,7b456af7
0,0,0,3.1,0.1,20,55,58,8,2395.4,29,1838,44,0,39,13.0,27,21,SPA,8f29e08b
0,3,3,28.7,0.7,291,730,660,15,34122.0,195,10842,317,12,851,18.5,167,21,SPA,8f8c6934
1,3,0,38.4,-1.6,165,522,579,94,25012.8,217,12586,377,6,268,14.9,178,21,SPA,8fae77ea
0,0,0,2.9,-0.1,22,60,53,3,2867.3,15,943,32,0,108,27.0,15,21,SPA,94084f83
1,2,0,22.6,-4.4,94,269,520,79,17004.0,143,6177,234,3,219,15.7,86,21,SPA,967f34d3
0,5,0,51.1,-5.9,305,601,777,112,31313.1,299,13335,535,18,536,14.5,184,21,SPA,97852360
0,0,0,0.0,0.0,4,14,15,4,592.5,7,375,10,1,0,8.0,6,21,SPA,9970da54
0,3,2,36.0,-2.0,157,406,1022,190,30864.4,283,11433,564,27,444,13.9,137,21,SPA,9f0ea33f
1,6,2,36.6,-5.4,100,281,721,153,23648.8,206,5788,396,6,955,17.7,52,21,SPA,a01c3d54
0,5,2,39.5,1.5,389,891,892,82,42816.0,259,15824,533,29,1207,17.5,244,21,SPA,a4995f48
0,1,0,7.4,1.4,14,36,189,37,4687.2,52,1196,86,2,111,13.9,7,21,SPA,a9dc785c
0,5,0,45.3,-3.7,306,778,836,98,40964.0,233,15913,387,14,840,17.5,212,21,SPA,ac295d9e
0,1,0,3.1,1.1,9,24,14,0,611.8,17,931,20,0,0,7.7,14,21,SPA,b1e5bbec
0,2,0,15.0,-2.0,86,288,299,39,13993.2,114,6714,201,1,139,13.9,95,21,SPA,ba3ca78f
0,0,0,2.2,0.2,3,12,19,3,706.8,10,320,12,0,12,12.3,3,21,SPA,bfb15d99
2,5,2,36.9,-3.1,224,477,646,103,23643.6,243,12077,485,8,268,13.4,173,21,SPA,c9cb972b
1,4,2,22.8,-0.2,95,278,440,81,16632.0,116,4953,218,9,608,19.0,65,21,SPA,cda0b317
1,2,1,27.1,-1.9,100,338,505,77,18735.5,172,8496,319,7,480,15.5,111,21,SPA,cde52ef5
0,0,0,11.2,0.2,33,89,203,41,6536.6,59,2017,125,2,291,18.2,22,21,SPA,e1846dde
0,3,0,52.5,6.5,208,453,864,144,28252.8,285,11799,444,8,430,13.9,168,21,SPA,e4346678
2,3,1,48.6,-5.4,264,713,806,66,35383.4,265,14760,461,10,958,18.8,216,21,SPA,ea83bfa6
0,5,3,33.1,11.1,202,539,710,131,27761.0,293,13448,513,14,423,15.7,186,21,SPA,ee8508c0
0,7,1,30.1,-0.9,108,276,635,114,21653.5,173,6435,281,12,354,15.4,64,21,SPA,f127d782
0,4,2,27.8,1.8,166,381,895,147,28640.0,200,8140,450,26,510,15.0,108,21,SPA,f6798fc3
0,1,0,6.1,-3.9,32,104,85,9,4437.0,37,2382,62,2,9,9.0,36,21,SPA,fea23125
0,4,2,28.6,1.6,104,242,351,69,13969.8,94,5132,195,6,224,16.0,70,22,SPA,04ac8285
0,1,2,18.6,1.6,109,272,405,53,16159.5,99,4742,251,6,99,11.0,62,22,SPA,10072610
0,0,0,0.6,-0.4,5,10,31,2,902.1,3,147,17,1,0,13.7,2,22,SPA,17a1299d
1,2,0,33.3,4.3,74,251,936,188,26956.8,199,6825,467,21,480,15.5,61,22,SPA,1840e36d
1,0,0,1.5,-1.5,1,10,21,6,716.1,10,327,13,0,12,12.5,3,22,SPA,30061f53
0,0,0,3.6,1.6,5,10,57,13,1328.1,23,772,39,3,0,9.9,6,22,SPA,3061e1ec
0,7,2,56.0,3.0,232,730,839,149,35741.4,335,17587,574,29,950,17.6,254,22,SPA,3318286e
1,5,0,31.4,-0.6,195,466,1015,125,33393.5,241,10869,465,18,787,16.4,135,22,SPA,374ee424
0,3,0,4.1,-0.9,16,55,88,14,3467.2,19,885,57,3,41,13.7,13,22,SPA,4535e4bb
0,0,0,0.0,0.0,0,6,4,0,244.0,2,136,5,1,0,5.0,2,22,SPA,4eae5bc4
0,1,0,17.2,0.2,75,218,348,77,12667.2,136,5548,217,8,228,15.2,70,22,SPA,58bc7d18
0,2,1,31.9,1.9,145,371,692,189,23389.6,243,10278,529,29,532,15.2,125,22,SPA,5dcf3e90
0,4,2,21.4,-5.6,94,201,270,50,10638.0,90,4356,194,2,63,12.6,60,22,SPA,5f0241b2
0,1,1,27.2,2.2,140,357,453,67,18346.5,188,8253,333,14,104,11.6,113,22,SPA,605eb473
0,2,1,28.2,1.2,131,333,1073,161,31868.1,214,8003,478,22,858,16.5,85,22,SPA,625c144a
0,0,0,4.2,-1.8,35,88,91,13,4004.0,37,1894,41,3,161,16.1,29,22,SPA,67669ce7
0,10,0,52.8,1.8,272,792,840,119,38640.0,313,18842,586,42,338,12.1,260,22,SPA,6c4776b1
0,6,0,30.1,-3.9,130,255,1072,147,28836.8,205,6949,342,15,520,15.3,66,22,SPA,6f51e382
0,4,2,50.3,3.3,158,429,859,207,29034.2,298,11532,616,35,589,13.7,139,22,SPA,73683fa9
0,0,0,1.0,-2.0,4,10,32,9,921.6,2,142,16,0,131,26.3,2,22,SPA,87b498b0
0,1,1,1.1,-0.9,8,26,32,6,1395.2,9,554,17,1,154,22.0,8,22,SPA,8f29e08b
0,5,1,40.9,0.9,366,863,888,101,41380.8,292,15797,571,25,675,15.0,247,22,SPA,8f8c6934
0,0,1,3.6,-0.4,9,27,51,7,1744.2,16,585,36,1,94,18.9,7,22,SPA,924ff27e
0,9,0,51.8,-8.2,331,693,721,85,32084.5,308,15584,545,24,675,15.7,230,22,SPA,97852360
0,1,0,5.9,1.9,29,69,67,9,3008.3,40,2060,66,2,43,14.6,28,22,SPA,9970da54
0,1,0,8.9,-0.1,15,52,170,38,4760.0,56,1803,105,3,235,16.8,16,22,SPA,9f0ea33f
0,8,0,23.5,-5.5,59,154,286,66,10353.2,92,3210,177,9,380,18.1,35,22,SPA,a01c3d54
0,0,0,5.0,0.0,13,31,56,12,1853.6,26,936,48,1,105,17.5,12,22,SPA,a2c1a8d3
0,10,1,48.1,1.1,388,850,852,78,39618.0,306,17901,529,23,1158,18.1,262,22,SPA,a4995f48
1,1,0,4.1,0.1,17,34,106,18,3349.6,24,700,42,0,72,18.0,4,22,SPA,a9dc785c
0,0,0,4.1,-0.9,24,58,191,27,5825.5,33,1181,66,4,210,17.5,11,22,SPA,ac295d9e
0,0,0,2.4,1.4,9,27,33,5,1346.4,10,572,30,3,0,3.7,10,22,SPA,b5bdf144
0,1,2,43.3,2.3,303,804,1176,131,47392.8,283,14829,452,36,529,14.3,201,22,SPA,b6160ad0
0,0,0,0.0,0.0,2,4,3,0,171.0,1,65,4,0,0,0.0,1,22,SPA,c67cd65c
0,1,0,12.0,-1.0,42,94,178,42,6158.8,53,2469,90,9,66,11.0,30,22,SPA,c818c4d9
0,1,1,4.3,1.3,29,67,75,7,3195.0,32,1683,66,1,18,9.3,25,22,SPA,c9cb972b
0,2,0,21.1,1.1,115,314,346,64,14324.4,149,8001,273,13,472,16.3,114,22,SPA,d4b73232
