fk_ag,ck_ag,og_ag,ps_xG,ps_xG_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,season,comp,id
0,5,2,44.3,5.3,180,398,951,159,31383.0,241,8700,507,14,584,17.2,98,20,ENG,53af52f3
0,1,0,4.5,-0.5,14,29,26,4,1120.6,14,802,34,0,50,16.8,13,20,ENG,6385ebfb
1,2,1,22.6,-2.4,62,232,377,63,12554.1,142,6887,262,7,281,17.6,92,20,ENG,63d17038
1,2,0,8.3,0.3,35,85,65,7,3178.5,39,2390,60,0,39,13.2,34,20,ENG,76eca7e2
0,3,0,11.8,2.8,28,98,232,48,7284.8,61,2452,138,8,52,13.2,30,20,ENG,7956236f
1,6,1,35.5,-3.5,250,528,578,127,22542.0,283,13782,530,20,128,11.7,221,20,ENG,79b0d6a0
0,1,1,19.7,-2.3,85,189,778,140,21317.2,167,5160,299,10,1209,19.2,46,20,ENG,7a2e46a8
1,8,1,34.7,-0.3,83,262,672,153,20563.2,268,7772,489,10,330,15.0,71,20,ENG,7ba6d84e
0,2,1,30.4,10.4,105,252,421,97,14861.3,150,5280,312,16,81,10.2,75,20,ENG,8f62b6ee
1,2,2,32.1,0.1,189,455,480,100,20880.0,192,11251,382,11,82,10.3,166,20,ENG,9328b835
0,2,1,3.8,-2.2,19,52,136,17,4270.4,28,921,46,1,48,16.0,10,20,ENG,a179d516
1,7,1,28.4,-5.6,112,358,431,99,17024.5,195,9847,379,11,157,12.1,132,20,ENG,a6de6361
0,0,0,0.0,0.0,0,1,1,0,26.0,1,65,1,0,0,0.0,1,20,ENG,a8a3d139
0,3,2,47.4,7.4,202,625,783,173,30380.4,274,15563,591,23,295,12.3,223,20,ENG,ab13a5aa
1,2,1,17.9,1.9,46,158,188,26,8384.8,41,2410,101,0,150,15.0,37,20,ENG,ba3ca78f
0,0,0,8.5,-3.5,33,104,128,29,5120.0,53,3026,80,4,9,9.9,44,20,ENG,bdedffac
3,7,3,62.6,1.6,302,923,912,118,42772.8,295,18349,581,30,874,15.9,269,20,ENG,d0b3ceb9
1,1,0,17.5,-7.5,38,178,181,27,7656.3,77,4273,139,4,204,17.0,65,20,ENG,e082af5b
0,2,0,14.7,-5.3,95,202,302,51,11234.4,94,4004,168,8,225,16.1,56,20,ENG,e358587b
0,2,0,39.2,6.2,260,833,779,106,40430.1,261,18035,552,20,287,12.5,254,20,ENG,e5a76dfe
0,0,0,4.5,-1.5,10,39,37,4,1894.4,11,764,20,0,0,7.0,11,20,ENG,e7434f04
1,11,3,60.5,-4.5,169,598,1248,198,43180.8,332,12948,653,29,292,12.7,151,20,ENG,f23f9d20
1,1,0,7.5,-2.5,36,99,241,51,7953.0,70,2044,127,7,214,15.3,19,20,ENG,f76e6b4e
0,0,0,1.9,-1.1,2,9,23,5,671.6,7,303,12,0,13,13.3,4,20,ENG,fe558029
0,1,0,4.0,-1.0,6,13,40,6,1208.0,7,210,17,1,28,14.0,2,21,ENG,17acc2ed
0,3,4,32.3,-0.7,78,293,953,183,24206.2,227,9761,487,18,531,16.1,129,21,ENG,2628fd2b
0,0,0,8.0,0.0,21,53,200,41,5460.0,46,1430,68,3,9,9.6,16,21,ENG,28d596a0
0,2,1,50.5,3.5,144,389,760,173,22800.0,251,9989,501,26,403,13.0,140,21,ENG,2f965a72
1,4,1,21.9,-2.1,71,197,846,126,21488.4,179,4600,335,17,410,15.2,48,21,ENG,33887998
1,2,1,46.5,-9.5,109,435,900,131,28800.0,171,7028,365,23,483,15.6,101,21,ENG,36c2ca73
0,0,1,16.6,-1.4,70,166,316,67,10270.0,122,4941,244,9,138,12.6,62,21,ENG,3a949a25
0,2,1,28.6,1.6,108,266,967,161,27462.8,153,6012,309,19,730,16.6,67,21,ENG,3bb7b8b4
0,1,0,2.4,-0.6,0,1,14,6,264.6,2,59,10,0,0,16.5,1,21,ENG,3e1550ee
0,0,0,0.9,-0.1,0,4,22,4,594.0,8,98,14,0,0,0.0,1,21,ENG,42130443
0,3,1,16.2,-3.8000000000000003,45,118,414,82,20989.8,65,4069,164,12,199,24.9,46,21,ENG,4535e4bb
0,8,3,54.3,-5.7,263,817,866,128,39403.0,281,18124,578,33,435,12.8,258,21,ENG,466fb2c5
1,5,1,37.9,-0.1,230,590,951,151,35947.8,198,10375,468,20,412,13.3,139,21,ENG,4806ec67
0,2,0,7.9,-6.1,43,94,83,6,4133.4,29,1879,50,0,91,22.8,27,21,ENG,4879f8cb
0,4,1,40.2,4.2,254,699,724,136,33521.2,251,14783,523,32,1321,18.1,213,21,ENG,4b40d9ca
0,9,2,42.2,-5.8,159,425,1038,181,34461.6,210,7959,484,20,258,13.6,92,21,ENG,53af52f3
0,0,0,3.2,1.2,5,14,67,20,1554.4,31,765,30,4,10,10.8,7,21,ENG,58bc7d18
0,0,0,2.1,1.1,2,15,50,12,1425.0,14,425,27,1,32,16.3,4,21,ENG,62d7ef38
0,3,0,1.2,-1.8,12,39,43,5,1814.6,23,1051,49,0,27,13.6,15,21,ENG,6385ebfb
0,5,1,23.3,-2.7,151,411,925,118,31080.0,177,7274,340,22,420,14.5,90,21,ENG,6a713852
1,11,2,46.6,-3.4,100,305,1099,286,30112.6,267,7849,447,24,226,11.9,89,21,ENG,6b625ac2
0,0,0,0.3,0.3,2,9,12,3,535.2,3,201,4,1,0,10.0,3,21,ENG,728e9b2e
2,4,1,49.2,4.2,247,639,1058,177,39251.8,253,11891,613,42,482,14.2,162,21,ENG,7956236f
1,8,3,45.3,-2.7,160,383,540,146,19170.0,268,9862,558,21,127,10.6,146,21,ENG,79b0d6a0
1,4,0,35.0,3.0,74,194,980,165,25186.0,173,5259,341,20,1618,18.6,48,21,ENG,7a2e46a8
1,5,2,28.1,-1.9,67,174,417,88,12384.9,172,5005,310,2,470,16.8,57,21,ENG,7ba6d84e
0,3,3,45.6,3.6,159,408,814,180,26373.6,264,7418,590,23,314,13.1,94,21,ENG,8f62b6ee
0,0,0,0.1,0.1,0,3,10,2,282.0,1,15,3,0,0,0.0,0,21,ENG,8fa8f8d2
0,4,4,40.8,0.8,238,609,738,154,29815.2,272,14116,516,26,162,10.8,204,21,ENG,9328b835
2,7,3,67.2,-3.8,293,889,994,182,44730.0,296,16812,645,20,532,14.0,255,21,ENG,9e5708be
0,1,0,1.5,-1.5,1,3,20,2,432.0,6,115,9,0,84,28.0,0,21,ENG,a179d516
1,9,0,50.2,-13.8,223,651,762,156,29337.0,315,17640,604,19,319,13.3,266,21,ENG,ab13a5aa
0,1,0,9.8,-1.2,30,134,207,28,7307.1,64,2828,142,6,218,15.6,43,21,ENG,c3e39f12
0,2,0,0.9,-3.1,20,48,39,1,2125.5,18,1130,27,2,10,10.0,16,21,ENG,c73ada83
0,0,0,1.0,-1.0,3,18,13,2,635.7,8,544,18,1,46,23.3,8,21,ENG,cc70a1d5
1,4,2,37.2,-3.8,175,505,504,92,22629.6,216,11944,401,18,92,9.2,176,21,ENG,cde3309f
0,1,0,0.9,-0.1,1,6,19,10,630.8,5,155,19,3,0,8.7,1,21,ENG,da8b19e2
0,4,0,11.2,-0.8,19,92,230,66,7107.0,94,2820,169,9,330,17.4,27,21,ENG,e5a76dfe
0,1,0,0.8,-1.2,8,27,25,1,1045.0,12,772,25,0,0,7.0,12,21,ENG,e608ed4c
0,0,0,9.5,0.5,36,93,148,23,5268.8,51,2187,88,4,49,12.3,30,21,ENG,e7ee38c3
0,2,0,6.8,-2.2,11,28,77,19,2410.1,22,464,35,0,102,17.0,4,21,ENG,f76e6b4e
0,0,0,8.8,-3.2,23,66,79,11,3009.9,39,1868,55,3,0,7.8,26,22,ENG,19e50035
1,3,2,23.2,-2.8,71,207,275,47,11247.5,87,4158,187,7,193,16.1,59,22,ENG,1c0eea98
0,0,0,9.4,0.4,17,53,77,13,2602.6,37,1864,73,6,7,7.3,26,22,ENG,2628fd2b
0,1,0,1.6,-0.4,2,6,32,2,764.8,6,240,16,0,0,9.3,3,22,ENG,28300a16
0,1,0,3.2,1.2,8,29,117,29,3088.8,21,579,44,2,150,18.8,6,22,ENG,28d596a0
0,0,0,1.2,0.2,9,28,26,3,1203.8,14,679,15,1,0,5.5,10,22,ENG,2f965a72
0,1,1,28.4,-1.6,83,193,779,154,19708.7,177,4407,375,28,685,14.9,46,22,ENG,33887998
0,6,0,21.5,-5.5,74,246,383,78,13290.1,125,6325,255,22,48,9.6,90,22,ENG,36c2ca73
0,7,1,34.0,0.0,207,497,605,88,22385.0,236,14278,360,22,166,11.9,217,22,ENG,3a949a25
0,1,0,25.7,-0.3,87,182,988,165,25391.6,138,3698,300,21,1045,19.0,27,22,ENG,3bb7b8b4
0,0,0,0.6,0.6,1,3,8,2,243.2,3,86,7,0,47,23.7,1,22,ENG,3f70db80
0,0,0,0.1,0.1,1,6,32,6,748.8,7,135,10,0,49,16.6,1,22,ENG,42130443
0,3,1,38.2,0.2,134,480,993,162,32967.6,181,9973,414,26,984,16.4,134,22,ENG,466fb2c5
2,10,4,51.7,-2.3,272,782,873,119,40507.2,267,16153,518,23,521,14.9,218,22,ENG,4806ec67
1,6,1,44.3,-1.7,319,807,793,147,36636.6,283,17319,605,46,1392,17.4,258,22,ENG,4b40d9ca
1,14,1,55.5,-1.5,194,486,999,166,34065.9,291,10912,533,15,562,14.8,126,22,ENG,53af52f3
0,0,0,2.2,0.2,2,10,78,13,1770.6,13,299,20,0,51,17.1,1,22,ENG,62d7ef38
1,5,0,40.9,-1.1,158,561,1285,186,42405.0,234,11442,517,60,464,12.9,151,22,ENG,6a713852
3,10,1,61.8,-16.2,108,410,1101,274,32259.3,288,9590,438,23,639,14.2,107,22,ENG,6b625ac2
0,1,1,3.2,-1.8,27,63,57,7,2895.6,21,1335,37,0,68,17.0,19,22,ENG,76eca7e2
2,5,2,42.1,-3.9,146,406,824,162,27686.4,275,9377,474,34,508,15.4,106,22,ENG,7956236f
0,3,1,24.4,1.4,114,258,1216,211,31980.8,172,5744,340,22,1664,18.7,57,22,ENG,7a2e46a8
0,3,1,4.2,-2.8,20,62,54,5,2640.6,31,1590,50,3,21,10.7,22,22,ENG,7b4de647
0,4,3,55.1,1.1,103,315,623,134,19250.7,299,10734,525,8,350,14.0,128,22,ENG,7ba6d84e
