id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
7d3dfdfd,Ousmane Camara,fr FRA,DF,Angers,20-011,2003,4.0,7,4,3,4,0,4,8,50.0,4,4,2,2,7,14,13,0,Matches
9f4a940f,Axel Camblan,fr FRA,"FW,MF",Brest,19-199,2003,0.8,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches
79b2399c,Pierrick Capelle,fr FRA,"MF,DF",Angers,35-336,1987,11.6,30,18,16,11,3,18,38,47.4,20,13,1,12,13,43,21,0,Matches
f81ef10d,Maxence Caqueret,fr FRA,MF,Lyon,23-030,2000,21.3,64,34,19,26,19,34,81,42.0,47,31,2,29,22,86,18,0,Matches
5e080f73,Irvin Cardona,fr FRA,"FW,MF",Brest,25-221,1997,2.6,2,0,1,1,0,0,3,0.0,3,3,0,3,2,4,2,0,Matches
e3e32fbb,Igor Carioca,br BRA,"DF,MF",Lorient,26-208,1996,2.4,12,7,8,2,2,9,14,64.3,5,5,0,5,3,15,11,0,Matches
8608f269,Matis Carvalho,pt POR,GK,Montpellier,23-323,1999,1.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
e0f3a1f6,Jean-Charles Castelletto,cm CMR,DF,Nantes,28-050,1995,18.5,32,19,24,6,2,17,26,65.4,9,23,14,9,42,74,59,0,Matches
4db5915d,Yoann Cathline,fr FRA,"FW,MF",Lorient,20-238,2002,8.1,11,7,4,4,3,2,4,50.0,2,5,0,5,6,17,5,1,Matches
c92c24f0,Maximiliano Caufriez,be BEL,DF,Clermont Foot,26-029,1997,15.4,20,11,15,5,0,13,18,72.2,5,23,11,12,24,44,53,0,Matches
3c6bbbab,Fabien Centonze,fr FRA,DF,Nantes,27-060,1996,12.2,32,22,17,13,2,18,26,69.2,8,14,6,8,33,65,34,0,Matches
f5dfc256,Leonardo César Jardim,br BRA,GK,Lille,27-362,1995,6.0,,0,,,,,,,,,,,0,,,,Matches
5d9577aa,Florian Chabrolle,fr FRA,MF,Ajaccio,24-344,1998,3.6,6,4,1,5,0,2,3,66.7,1,3,0,3,6,12,1,0,Matches
2180c761,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,17-305,2005,2.5,7,4,5,1,1,1,4,25.0,3,5,3,2,7,14,4,1,Matches
357103bd,Fares Chaïbi,fr FRA,"FW,MF",Toulouse,20-109,2002,18.2,21,10,5,9,7,11,34,32.4,23,24,3,21,13,34,20,1,Matches
18ebca4b,Gaëtan Charbonnier,fr FRA,"FW,MF",Auxerre,34-080,1988,2.8,2,1,0,2,0,0,4,0.0,4,2,0,2,0,2,5,0,Matches
16aa7d4c,Brendan Chardonnet,fr FRA,DF,Brest,28-085,1994,17.5,29,17,18,11,0,12,21,57.1,9,25,11,14,36,65,49,1,Matches
279ddf6a,Xavier Chavalerin,fr FRA,MF,Troyes,32-010,1991,20.0,63,39,26,25,12,25,60,41.7,35,21,5,16,31,94,13,0,Matches
b34c63a5,Rayan Cherki,fr FRA,"MF,FW",Lyon,19-212,2003,12.1,11,6,1,4,6,6,13,46.2,7,3,0,3,4,15,0,0,Matches
9d498560,Ilyes Cheti,dz ALG,DF,Angers,28-054,1995,2.3,6,4,4,0,2,5,8,62.5,3,5,1,4,4,10,7,0,Matches
b3d76d84,Lucas Chevalier,fr FRA,GK,Lille,21-131,2001,21.0,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,4,2,Matches
68a26d51,Pedro Chirivella,es ESP,MF,Nantes,25-298,1997,20.5,27,19,11,12,4,14,36,38.9,22,22,1,21,20,47,6,0,Matches
7909ffa4,Joris Chotard,fr FRA,MF,Montpellier,21-174,2001,18.0,41,19,23,15,3,25,44,56.8,19,24,8,16,24,65,28,0,Matches
7495aba7,Yanis Cimignani,fr FRA,"MF,DF",Ajaccio,21-054,2002,3.1,11,5,3,7,1,4,5,80.0,1,5,1,4,2,13,2,0,Matches
ff4d0258,Souleymane Cissé,fr FRA,DF,Clermont Foot,20-221,2002,0.4,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,2,0,Matches
741418c3,Alexis Claude-Maurice,fr FRA,FW,Nice,24-284,1998,0.7,3,2,2,1,0,3,3,100.0,0,0,0,0,2,5,1,0,Matches
