id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
6d8f8441,4,12,6,0.33,0.67,11.2,0,0,0,1.9,1.9,2.1,2.1
85dace26,0,2,0,0.0,0.0,19.9,0,0,0,0.1,0.1,-0.1,-0.1
5ae499d0,1,8,1,0.13,1.0,15.4,0,0,0,0.7,0.7,0.3,0.3
8b0b02c9,0,16,5,0.0,0.0,12.4,0,0,0,2.2,2.2,-2.2,-2.2
a6951bf8,0,9,3,0.0,0.0,20.2,0,0,0,0.4,0.4,-0.4,-0.4
49ea92be,0,22,7,0.0,0.0,20.5,0,0,0,1.3,1.3,-1.3,-1.3
01eb744d,3,32,11,0.09,0.27,21.4,0,0,0,2.2,2.2,0.8,0.8
a190d597,2,16,10,0.13,0.2,14.6,0,0,0,1.7,1.7,0.3,0.3
808d48f3,1,13,2,0.08,0.5,21.3,0,0,0,0.5,0.5,0.5,0.5
545e2f01,0,2,1,0.0,0.0,9.8,0,0,0,0.2,0.2,-0.2,-0.2
1840e36d,0,1,0,0.0,0.0,11.9,0,0,0,0.1,0.1,-0.1,-0.1
0ef89a37,5,68,31,0.07,0.16,20.0,3,0,0,7.4,7.4,-2.4,-2.4
3c05c659,0,1,1,0.0,0.0,18.7,0,0,0,0.0,0.0,0.0,0.0
71b47ab9,4,78,22,0.03,0.09,17.0,4,2,2,10.8,9.2,-6.8,-7.2
1daec722,1,22,2,0.05,0.5,15.9,0,0,0,2.0,2.0,-1.0,-1.0
75751c99,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
070a3904,4,55,16,0.07,0.25,23.5,1,0,0,2.9,2.9,1.1,1.1
248c409d,0,2,0,0.0,0.0,32.5,0,0,0,0.0,0.0,0.0,0.0
b19db005,8,39,17,0.21,0.47,16.5,0,0,0,3.8,3.8,4.2,4.2
549c6ba7,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
d2110326,2,11,4,0.18,0.5,8.7,0,0,0,1.3,1.3,0.7,0.7
407feb71,1,7,5,0.14,0.2,12.5,0,0,0,1.2,1.2,-0.2,-0.2
17a1299d,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
70438d35,0,1,1,0.0,0.0,5.4,0,0,0,0.1,0.1,-0.1,-0.1
fc70e345,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7329018e,1,36,5,0.03,0.2,17.5,0,0,0,2.5,2.5,-1.5,-1.5
a4971d84,0,12,1,0.0,0.0,15.8,0,0,0,0.7,0.7,-0.7,-0.7
ac295d9e,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
c9cb972b,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
e208bcc8,0,1,1,0.0,0.0,21.5,0,0,0,0.1,0.1,-0.1,-0.1
c49afee6,2,15,9,0.13,0.22,11.4,0,0,0,2.7,2.7,-0.7,-0.7
aa0ac32d,0,2,1,0.0,0.0,20.3,0,0,0,0.1,0.1,-0.1,-0.1
1fe0492d,0,23,8,0.0,0.0,26.8,0,0,0,0.7,0.7,-0.7,-0.7
37e103f8,0,7,1,0.0,0.0,15.8,0,0,0,0.4,0.4,-0.4,-0.4
525f9bf4,0,4,2,0.0,0.0,13.8,0,0,0,0.7,0.7,-0.7,-0.7
7f8fb807,0,8,3,0.0,0.0,14.6,0,0,0,0.7,0.7,-0.7,-0.7
f7dc2ae5,1,10,5,0.1,0.2,10.2,0,0,0,1.5,1.5,-0.5,-0.5
7b309e55,0,2,0,0.0,0.0,30.2,0,0,0,0.0,0.0,0.0,0.0
fd47b4f2,0,2,1,0.0,0.0,13.2,0,0,0,0.1,0.1,-0.1,-0.1
db8f0eba,5,46,14,0.04,0.14,18.9,5,3,3,6.7,4.3,-1.7,-2.3
df8b52a5,0,3,1,0.0,0.0,18.2,0,0,0,0.2,0.2,-0.2,-0.2
04e17fd5,9,74,24,0.12,0.38,15.1,0,0,0,7.1,7.1,1.9,1.9
bb4b1242,7,67,16,0.1,0.44,11.2,0,0,0,10.9,10.9,-3.9,-3.9
aec0fb6f,0,3,2,0.0,0.0,17.2,0,0,0,0.1,0.1,-0.1,-0.1
3f79a1c8,4,22,8,0.18,0.5,17.5,0,0,0,2.9,2.9,1.1,1.1
b0616e3d,0,27,2,0.0,0.0,21.2,1,0,0,1.4,1.4,-1.4,-1.4
4242011c,1,15,6,0.07,0.17,9.1,0,0,0,2.1,2.1,-1.1,-1.1
b037bd4f,1,15,3,0.07,0.33,27.5,3,0,0,0.5,0.5,0.5,0.5
4a895384,4,24,8,0.17,0.5,10.6,0,0,0,2.7,2.7,1.3,1.3
